Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.401136346416219 
    wm_size = [1600 2560] 
    stim_amp = 4 
    baseline_stim = 1
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:17:36.863034 True [     449.288679] 0003 0036 00000347
2022-04-06 14:17:36.870665 True [     449.297096] 0003 0035 000003fd
2022-04-06 14:17:36.870665 True [     449.297096] 0003 0036 00000344
2022-04-06 14:17:36.877899 True [     449.305284] 0003 0035 000003f9
2022-04-06 14:17:36.879522 True [     449.305284] 0003 0036 00000342
2022-04-06 14:17:36.886704 True [     449.313757] 0003 0035 000003f6
2022-04-06 14:17:36.887701 True [     449.313757] 0003 0036 0000033e
2022-04-06 14:17:36.895115 True [     449.322063] 0003 0035 000003f3
2022-04-06 14:17:36.895115 True [     449.322063] 0003 0036 0000033c
2022-04-06 14:17:36.903565 True [     449.330444] 0003 0035 000003f1
2022-04-06 14:17:36.904407 True [     449.330444] 0003 0036 00000339
2022-04-06 14:17:36.914103 True [     449.338636] 0003 0035 000003ef
2022-04-06 14:17:36.914103 True [     449.338636] 0003 0036 00000337
2022-04-06 14:17:36.919782 True [     449.347180] 0003 0035 000003ec
2022-04-06 14:17:36.921455 True [     449.347180] 0003 0036 00000335
2022-04-06 14:17:36.929670 True [     449.355393] 0003 0035 000003eb
2022-04-06 14:17:36.929670 True [     449.355393] 0003 0036 00000333
2022-04-06 14:17:36.948613 True [     449.372058] 0003 0035 000003e8
2022-04-06 14:17:36.948613 True [     449.372058] 0003 0036 00000331
2022-04-06 14:17:36.953671 True [     449.380565] 0003 0035 000003e7
2022-04-06 14:17:36.953671 True [     449.380565] 0003 0036 00000330
2022-04-06 14:17:36.961728 True [     449.388739] 0003 0035 000003e5
2022-04-06 14:17:36.961728 True [     449.388739] 0003 0036 0000032f
2022-04-06 14:17:36.970535 True [     449.397191] 0003 0035 000003e3
2022-04-06 14:17:36.970535 True [     449.397191] 0003 0036 0000032d
2022-04-06 14:17:36.978185 True [     449.405327] 0003 0035 000003e1
2022-04-06 14:17:36.978185 True [     449.405327] 0003 0036 0000032c
2022-04-06 14:17:36.987622 True [     449.413856] 0003 0035 000003df
2022-04-06 14:17:36.987622 True [     449.413856] 0003 0036 0000032b
2022-04-06 14:17:36.996656 True [     449.422089] 0003 0035 000003dd
2022-04-06 14:17:36.996656 True [     449.422089] 0003 0036 0000032a
2022-04-06 14:17:37.004481 True [     449.430499] 0003 0035 000003db
2022-04-06 14:17:37.004481 True [     449.430499] 0003 0036 00000328
2022-04-06 14:17:37.011727 True [     449.438701] 0003 0035 000003d9
2022-04-06 14:17:37.020532 True [     449.447198] 0003 0035 000003d7
2022-04-06 14:17:37.020532 True [     449.447198] 0003 0036 00000327
2022-04-06 14:17:37.029396 True [     449.455429] 0003 0035 000003d5
2022-04-06 14:17:37.029396 True [     449.455429] 0003 0036 00000325
2022-04-06 14:17:37.037062 True [     449.463855] 0003 0035 000003d3
2022-04-06 14:17:37.037062 True [     449.463855] 0003 0036 00000324
2022-04-06 14:17:37.047095 True [     449.472078] 0003 0035 000003d2
2022-04-06 14:17:37.054260 True [     449.480599] 0003 0035 000003cf
2022-04-06 14:17:37.070717 True [     449.497238] 0003 0035 000003ce
2022-04-06 14:17:37.070717 True [     449.497238] 0003 0036 00000323
2022-04-06 14:17:37.078758 True [     449.505553] 0003 0035 000003cb
2022-04-06 14:17:37.087573 True [     449.513928] 0003 0035 000003ca
2022-04-06 14:17:37.087573 True [     449.513928] 0003 0036 00000322
2022-04-06 14:17:37.094781 True [     449.522110] 0003 0035 000003c9
2022-04-06 14:17:37.106255 True [     449.530535] 0003 0035 000003c7
2022-04-06 14:17:37.113405 True [     449.538786] 0003 0035 000003c6
2022-04-06 14:17:37.120677 True [     449.547230] 0003 0035 000003c5
2022-04-06 14:17:37.129294 True [     449.555474] 0003 0035 000003c4
2022-04-06 14:17:37.137567 True [     449.563857] 0003 0035 000003c2
2022-04-06 14:17:37.146070 True [     449.572160] 0003 0035 000003c0
2022-04-06 14:17:37.153755 True [     449.580576] 0003 0035 000003bf
2022-04-06 14:17:37.163078 True [     449.588738] 0003 0035 000003bd
2022-04-06 14:17:37.179421 True [     449.605424] 0003 0035 000003bb
2022-04-06 14:17:37.188003 True [     449.613903] 0003 0035 000003b9
2022-04-06 14:17:37.195951 True [     449.622078] 0003 0035 000003b8
2022-04-06 14:17:37.195951 True [     449.622078] 0003 0036 00000323
2022-04-06 14:17:37.203303 True [     449.630596] 0003 0035 000003b7
2022-04-06 14:17:37.212787 True [     449.638816] 0003 0035 000003b6
2022-04-06 14:17:37.221732 True [     449.647311] 0003 0035 000003b5
2022-04-06 14:17:37.221732 True [     449.647311] 0003 0036 00000324
2022-04-06 14:17:37.229876 True [     449.655450] 0003 0035 000003b4
2022-04-06 14:17:37.238252 True [     449.663897] 0003 0035 000003b3
2022-04-06 14:17:37.254099 True [     449.680589] 0003 0035 000003b2
2022-04-06 14:17:37.279450 True [     449.705466] 0003 0035 000003b1
2022-04-06 14:17:37.314021 True [     449.738853] 0003 0035 000003b0
2022-04-06 14:17:37.346962 True [     449.772152] 0003 0035 000003af
2022-04-06 14:17:37.507147 True [     449.930604] 0003 0035 000003b5
2022-04-06 14:17:37.507147 True [     449.930604] 0003 0036 00000333
2022-04-06 14:17:37.512791 True [     449.938908] 0003 0035 000003b8
2022-04-06 14:17:37.512791 True [     449.938908] 0003 0036 0000033a
2022-04-06 14:17:37.521089 True [     449.947288] 0003 0035 000003ba
2022-04-06 14:17:37.521089 True [     449.947288] 0003 0036 0000033f
2022-04-06 14:17:37.529404 True [     449.955491] 0003 0035 000003bc
2022-04-06 14:17:37.529404 True [     449.955491] 0003 0036 00000342
2022-04-06 14:17:37.538475 True [     449.963919] 0003 0035 000003bd
2022-04-06 14:17:37.538475 True [     449.963919] 0003 0036 00000343
2022-04-06 14:17:37.545860 True [     449.972149] 0003 0036 00000344
2022-04-06 14:17:37.553601 True [     449.980595] 0003 0036 00000345
2022-04-06 14:17:37.562688 True [     449.988775] 0003 0035 000003be
2022-04-06 14:17:37.562688 True [     449.988775] 0003 0036 00000346
2022-04-06 14:17:37.571060 True [     449.997249] 0003 0035 000003bf
2022-04-06 14:17:37.578958 True [     450.005492] 0003 0035 000003c0
2022-04-06 14:17:37.578958 True [     450.005492] 0003 0036 00000348
2022-04-06 14:17:37.587802 True [     450.013918] 0003 0035 000003c1
2022-04-06 14:17:37.587802 True [     450.013918] 0003 0036 00000349
2022-04-06 14:17:37.595948 True [     450.022088] 0003 0035 000003c3
2022-04-06 14:17:37.595948 True [     450.022088] 0003 0036 0000034a
2022-04-06 14:17:37.604036 True [     450.030574] 0003 0035 000003c4
2022-04-06 14:17:37.604036 True [     450.030574] 0003 0036 0000034b
2022-04-06 14:17:37.614076 True [     450.038861] 0003 0035 000003c5
2022-04-06 14:17:37.621081 True [     450.047189] 0003 0035 000003c7
2022-04-06 14:17:37.621081 True [     450.047189] 0003 0036 0000034c
2022-04-06 14:17:37.628953 True [     450.055577] 0003 0035 000003c8
2022-04-06 14:17:37.628953 True [     450.055577] 0003 0036 0000034d
2022-04-06 14:17:37.638015 True [     450.064066] 0003 0035 000003ca
2022-04-06 14:17:37.638015 True [     450.064066] 0003 0036 0000034e
2022-04-06 14:17:37.646347 True [     450.072388] 0003 0035 000003cb
2022-04-06 14:17:37.646347 True [     450.072388] 0003 0036 0000034f
2022-04-06 14:17:37.653961 True [     450.080673] 0003 0035 000003cd
2022-04-06 14:17:37.662480 True [     450.088935] 0003 0035 000003cf
2022-04-06 14:17:37.662480 True [     450.088935] 0003 0036 00000350
2022-04-06 14:17:37.671443 True [     450.097249] 0003 0035 000003d0
2022-04-06 14:17:37.671443 True [     450.097249] 0003 0036 00000351
2022-04-06 14:17:37.679078 True [     450.105446] 0003 0035 000003d1
2022-04-06 14:17:37.679078 True [     450.105446] 0003 0036 00000352
2022-04-06 14:17:37.686702 True [     450.113898] 0003 0035 000003d2
2022-04-06 14:17:37.686702 True [     450.113898] 0003 0036 00000353
2022-04-06 14:17:37.696122 True [     450.122159] 0003 0035 000003d4
2022-04-06 14:17:37.704106 True [     450.130567] 0003 0035 000003d5
2022-04-06 14:17:37.711946 True [     450.138798] 0003 0035 000003d6
2022-04-06 14:17:37.711946 True [     450.138798] 0003 0036 00000354
2022-04-06 14:17:37.720808 True [     450.147231] 0003 0035 000003d7
2022-04-06 14:17:37.720808 True [     450.147231] 0003 0036 00000355
2022-04-06 14:17:37.729407 True [     450.155532] 0003 0035 000003d9
2022-04-06 14:17:37.729407 True [     450.155532] 0003 0036 00000356
2022-04-06 14:17:37.746836 True [     450.172141] 0003 0035 000003da
