Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 3.062645015110699 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-12 15:29:36.771136 False [   14113.383730] 0003 0036 000002a8
2022-03-12 15:29:36.771136 False [   14113.383730] 0003 0035 000000a7
2022-03-12 15:29:36.771136 False [   14113.383730] 0003 0036 00000290
2022-03-12 15:29:36.790473 False [   14113.400851] 0003 0035 000001d3
2022-03-12 15:29:36.790473 False [   14113.400851] 0003 0036 000002a8
2022-03-12 15:29:36.790473 False [   14113.400851] 0003 0035 000000a7
2022-03-12 15:29:36.790473 False [   14113.400851] 0003 0036 00000290
2022-03-12 15:29:36.806904 False [   14113.417647] 0003 0035 000001d3
2022-03-12 15:29:36.806904 False [   14113.417647] 0003 0036 000002a8
2022-03-12 15:29:36.806904 False [   14113.417647] 0003 0035 000000a7
2022-03-12 15:29:36.806904 False [   14113.417647] 0003 0036 00000290
2022-03-12 15:29:36.825010 False [   14113.434591] 0003 0035 000001d3
2022-03-12 15:29:36.825010 False [   14113.434591] 0003 0036 000002a8
2022-03-12 15:29:36.825010 False [   14113.434591] 0003 0035 000000a7
2022-03-12 15:29:36.825010 False [   14113.434591] 0003 0036 00000290
2022-03-12 15:29:36.839742 False [   14113.451938] 0003 0035 000001d3
2022-03-12 15:29:36.839742 False [   14113.451938] 0003 0036 000002a8
2022-03-12 15:29:36.839742 False [   14113.451938] 0003 0035 000000a7
2022-03-12 15:29:36.839742 False [   14113.451938] 0003 0036 00000290
2022-03-12 15:29:36.857855 False [   14113.468806] 0003 0035 000001d3
2022-03-12 15:29:36.857855 False [   14113.468806] 0003 0036 000002a8
2022-03-12 15:29:36.857855 False [   14113.468806] 0003 0035 000000a7
2022-03-12 15:29:36.857855 False [   14113.468806] 0003 0036 00000290
2022-03-12 15:29:36.873340 False [   14113.485794] 0003 0035 000001d3
2022-03-12 15:29:36.873340 False [   14113.485794] 0003 0036 000002a8
2022-03-12 15:29:36.873340 False [   14113.485794] 0003 0035 000000a7
2022-03-12 15:29:36.874345 False [   14113.485794] 0003 0036 00000290
2022-03-12 15:29:36.894470 False [   14113.502285] 0003 0035 000001d3
2022-03-12 15:29:36.894470 False [   14113.502285] 0003 0036 000002a8
2022-03-12 15:29:36.894470 False [   14113.502285] 0003 0035 000000a7
2022-03-12 15:29:36.894470 False [   14113.502285] 0003 0036 00000290
2022-03-12 15:29:36.907955 False [   14113.519428] 0003 0035 000001d3
2022-03-12 15:29:36.909257 False [   14113.519428] 0003 0036 000002a8
2022-03-12 15:29:36.909257 False [   14113.519428] 0003 0035 000000a7
2022-03-12 15:29:36.909257 False [   14113.519428] 0003 0036 00000290
2022-03-12 15:29:36.926679 False [   14113.536116] 0003 0035 000001d3
2022-03-12 15:29:36.926679 False [   14113.536116] 0003 0036 000002a8
2022-03-12 15:29:36.926679 False [   14113.536116] 0003 0035 000000a7
2022-03-12 15:29:36.926679 False [   14113.536116] 0003 0036 00000290
2022-03-12 15:29:36.941316 False [   14113.553462] 0003 0035 000001d3
2022-03-12 15:29:36.942521 False [   14113.553462] 0003 0036 000002a8
2022-03-12 15:29:36.942521 False [   14113.553462] 0003 0035 000000a7
2022-03-12 15:29:36.942521 False [   14113.553462] 0003 0036 00000290
2022-03-12 15:29:37.689827 False [   14114.298519] 0003 0035 00000074
2022-03-12 15:29:37.689827 False [   14114.298519] 0003 0036 00000266
2022-03-12 15:29:37.703091 False [   14114.315276] 0003 0035 00000074
2022-03-12 15:29:37.705387 False [   14114.315276] 0003 0036 00000266
2022-03-12 15:29:37.720149 False [   14114.332077] 0003 0035 00000074
2022-03-12 15:29:37.720149 False [   14114.332077] 0003 0036 00000266
2022-03-12 15:29:37.738148 False [   14114.349472] 0003 0035 00000074
2022-03-12 15:29:37.738148 False [   14114.349472] 0003 0036 00000266
2022-03-12 15:29:37.754419 False [   14114.366547] 0003 0035 00000074
2022-03-12 15:29:37.754419 False [   14114.366547] 0003 0036 00000266
2022-03-12 15:29:37.772879 False [   14114.382761] 0003 0035 00000074
2022-03-12 15:29:37.772879 False [   14114.382761] 0003 0036 00000266
2022-03-12 15:29:37.788531 False [   14114.400131] 0003 0035 00000074
2022-03-12 15:29:37.788531 False [   14114.400131] 0003 0036 00000266
2022-03-12 15:29:37.805401 False [   14114.417281] 0003 0035 00000074
2022-03-12 15:29:37.805401 False [   14114.417281] 0003 0036 00000266
2022-03-12 15:29:37.823098 False [   14114.433986] 0003 0035 00000074
2022-03-12 15:29:37.823098 False [   14114.433986] 0003 0036 00000266
2022-03-12 15:29:37.837652 False [   14114.450456] 0003 0035 00000074
2022-03-12 15:29:37.837652 False [   14114.450456] 0003 0036 00000266
2022-03-12 15:29:37.856004 False [   14114.468136] 0003 0035 00000078
2022-03-12 15:29:37.856004 False [   14114.468136] 0003 0036 00000264
2022-03-12 15:29:37.872269 False [   14114.484432] 0003 0035 0000007c
2022-03-12 15:29:37.872269 False [   14114.484432] 0003 0036 00000262
2022-03-12 15:29:37.889618 False [   14114.501862] 0003 0035 0000007c
2022-03-12 15:29:37.889618 False [   14114.501862] 0003 0036 00000262
2022-03-12 15:29:37.907560 False [   14114.518869] 0003 0035 00000081
2022-03-12 15:29:37.908240 False [   14114.518869] 0003 0036 0000025e
2022-03-12 15:29:37.923423 False [   14114.535934] 0003 0035 00000086
2022-03-12 15:29:37.923423 False [   14114.535934] 0003 0036 0000025b
2022-03-12 15:29:37.941195 False [   14114.552896] 0003 0035 0000008c
2022-03-12 15:29:37.941195 False [   14114.552896] 0003 0036 00000258
2022-03-12 15:29:37.958099 False [   14114.569913] 0003 0035 00000093
2022-03-12 15:29:37.958099 False [   14114.569913] 0003 0036 00000255
2022-03-12 15:29:37.973994 False [   14114.586007] 0003 0035 0000009c
2022-03-12 15:29:37.973994 False [   14114.586007] 0003 0036 00000251
2022-03-12 15:29:37.991132 False [   14114.603181] 0003 0035 000000a5
2022-03-12 15:29:37.991132 False [   14114.603181] 0003 0036 0000024e
2022-03-12 15:29:38.010584 False [   14114.620868] 0003 0035 000000af
2022-03-12 15:29:38.010584 False [   14114.620868] 0003 0036 0000024a
2022-03-12 15:29:38.027900 False [   14114.637644] 0003 0035 000000b8
2022-03-12 15:29:38.027900 False [   14114.637644] 0003 0036 00000247
2022-03-12 15:29:38.044334 False [   14114.654339] 0003 0035 000000c0
2022-03-12 15:29:38.044334 False [   14114.654339] 0003 0036 00000244
2022-03-12 15:29:38.061775 False [   14114.670909] 0003 0035 000000c6
