Mode = area stim
        verts = 4 
        radius = 550 
        center = (800, 1280) 
        first_angle = 0.9920400165602349 
        wm_size = [1600 2560] 
        stim_amp = 6 
        baseline_stim = 4
        current_stim_group = stim
        sense_zone = 0
        task_code = 1
        ===============================
2022-04-07 14:40:16.024795 False [    7725.080587] 0003 0036 000005ef
2022-04-07 14:40:16.032735 False [    7725.088693] 0003 0035 000004f1
2022-04-07 14:40:16.032735 False [    7725.088693] 0003 0036 000005f3
2022-04-07 14:40:16.041344 False [    7725.097130] 0003 0035 000004f3
2022-04-07 14:40:16.041344 False [    7725.097130] 0003 0036 000005f4
2022-04-07 14:40:16.050278 False [    7725.105317] 0003 0035 000004f5
2022-04-07 14:40:16.051243 False [    7725.105317] 0003 0036 000005f5
2022-04-07 14:40:16.059150 False [    7725.113741] 0003 0035 000004f7
2022-04-07 14:40:16.059150 False [    7725.113741] 0003 0036 000005f6
2022-04-07 14:40:16.066129 False [    7725.121913] 0003 0035 000004f8
2022-04-07 14:40:16.074176 False [    7725.130371] 0003 0035 000004f9
2022-04-07 14:40:16.074176 False [    7725.130371] 0003 0036 000005f7
2022-04-07 14:40:16.083622 False [    7725.138552] 0003 0035 000004fb
2022-04-07 14:40:16.083622 False [    7725.138552] 0003 0036 000005f9
2022-04-07 14:40:16.091296 False [    7725.146966] 0003 0035 000004fe
2022-04-07 14:40:16.091296 False [    7725.146966] 0003 0036 000005fa
2022-04-07 14:40:16.101264 False [    7725.155198] 0003 0035 000004ff
2022-04-07 14:40:16.101264 False [    7725.155198] 0003 0036 000005fc
2022-04-07 14:40:16.109029 False [    7725.163623] 0003 0035 00000502
2022-04-07 14:40:16.109029 False [    7725.163623] 0003 0036 000005fe
2022-04-07 14:40:16.117105 False [    7725.171776] 0003 0035 00000504
2022-04-07 14:40:16.117105 False [    7725.171776] 0003 0036 000005ff
2022-04-07 14:40:16.125730 False [    7725.180386] 0003 0035 00000506
2022-04-07 14:40:16.125730 False [    7725.180386] 0003 0036 00000600
2022-04-07 14:40:16.134881 False [    7725.188566] 0003 0035 00000508
2022-04-07 14:40:16.134881 False [    7725.188566] 0003 0036 00000601
2022-04-07 14:40:16.141874 False [    7725.196884] 0003 0035 0000050b
2022-04-07 14:40:16.141874 False [    7725.196884] 0003 0036 00000604
2022-04-07 14:40:16.149388 False [    7725.205055] 0003 0035 0000050e
2022-04-07 14:40:16.149388 False [    7725.205055] 0003 0036 00000606
2022-04-07 14:40:16.159195 False [    7725.213448] 0003 0035 00000510
2022-04-07 14:40:16.159195 False [    7725.213448] 0003 0036 00000608
2022-04-07 14:40:16.166220 False [    7725.221623] 0003 0035 00000512
2022-04-07 14:40:16.166220 False [    7725.221623] 0003 0036 0000060a
2022-04-07 14:40:16.176834 False [    7725.230088] 0003 0035 00000514
2022-04-07 14:40:16.182607 False [    7725.238238] 0003 0036 0000060d
2022-04-07 14:40:16.190801 False [    7725.246643] 0003 0035 00000517
2022-04-07 14:40:16.190801 False [    7725.246643] 0003 0036 00000611
2022-04-07 14:40:16.198681 False [    7725.254854] 0003 0035 0000051a
2022-04-07 14:40:16.198681 False [    7725.254854] 0003 0036 00000614
2022-04-07 14:40:16.208132 False [    7725.263279] 0003 0035 0000051d
2022-04-07 14:40:16.209185 False [    7725.263279] 0003 0036 00000618
2022-04-07 14:40:16.215815 False [    7725.271481] 0003 0035 0000051f
2022-04-07 14:40:16.215815 False [    7725.271481] 0003 0036 0000061f
2022-04-07 14:40:16.224992 False [    7725.279920] 0003 0035 00000522
2022-04-07 14:40:16.224992 False [    7725.279920] 0003 0036 00000624
2022-04-07 14:40:16.232916 False [    7725.288120] 0003 0035 00000525
2022-04-07 14:40:16.232916 False [    7725.288120] 0003 0036 0000062a
2022-04-07 14:40:16.240671 False [    7725.296548] 0003 0035 00000527
2022-04-07 14:40:16.240671 False [    7725.296548] 0003 0036 00000630
2022-04-07 14:40:16.249696 False [    7725.304730] 0003 0035 0000052b
2022-04-07 14:40:16.249696 False [    7725.304730] 0003 0036 0000063b
2022-04-07 14:40:16.258402 False [    7725.313176] 0003 0035 00000530
2022-04-07 14:40:16.258402 False [    7725.313176] 0003 0036 00000646
2022-04-07 14:40:16.266358 False [    7725.321384] 0003 0035 00000534
2022-04-07 14:40:16.266358 False [    7725.321384] 0003 0036 0000064d
