Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.2787713170649056 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 14:43:44.469230 True [    1758.016828] 0003 0035 00000354
2022-04-06 14:43:44.476091 True [    1758.023652] 0003 0035 00000352
2022-04-06 14:43:44.484876 True [    1758.032429] 0003 0035 0000034e
2022-04-06 14:43:44.484876 True [    1758.032429] 0003 0036 00000424
2022-04-06 14:43:44.492780 True [    1758.040447] 0003 0035 0000034b
2022-04-06 14:43:44.501437 True [    1758.048989] 0003 0035 00000349
2022-04-06 14:43:44.509633 True [    1758.057116] 0003 0035 00000347
2022-04-06 14:43:44.518564 True [    1758.066547] 0003 0035 00000345
2022-04-06 14:43:44.526631 True [    1758.073932] 0003 0035 00000343
2022-04-06 14:43:44.534549 True [    1758.082112] 0003 0035 00000341
2022-04-06 14:43:44.542493 True [    1758.090161] 0003 0035 00000340
2022-04-06 14:43:44.542493 True [    1758.090161] 0003 0036 00000425
2022-04-06 14:43:44.550760 True [    1758.098804] 0003 0035 0000033e
2022-04-06 14:43:44.559186 True [    1758.106757] 0003 0035 0000033c
2022-04-06 14:43:44.567457 True [    1758.115388] 0003 0036 00000426
2022-04-06 14:43:44.575794 True [    1758.123974] 0003 0035 0000033a
2022-04-06 14:43:44.584898 True [    1758.132449] 0003 0036 00000427
2022-04-06 14:43:44.592811 True [    1758.140527] 0003 0035 00000339
2022-04-06 14:43:44.600678 True [    1758.148607] 0003 0036 00000428
2022-04-06 14:43:44.609076 True [    1758.156834] 0003 0036 00000429
2022-04-06 14:43:44.635883 True [    1758.183177] 0003 0036 0000042a
2022-04-06 14:43:44.642802 True [    1758.189927] 0003 0036 0000042c
2022-04-06 14:43:44.650670 True [    1758.198476] 0003 0036 0000042d
2022-04-06 14:43:44.659194 True [    1758.206486] 0003 0035 0000033b
2022-04-06 14:43:44.659194 True [    1758.206486] 0003 0036 0000042f
2022-04-06 14:43:44.668438 True [    1758.216082] 0003 0035 0000033c
2022-04-06 14:43:44.668438 True [    1758.216082] 0003 0036 00000431
2022-04-06 14:43:44.676025 True [    1758.223104] 0003 0035 0000033f
2022-04-06 14:43:44.676025 True [    1758.223104] 0003 0036 00000434
2022-04-06 14:43:44.684755 True [    1758.232352] 0003 0035 00000342
2022-04-06 14:43:44.684755 True [    1758.232352] 0003 0036 00000435
2022-04-06 14:43:44.693005 True [    1758.240456] 0003 0035 00000344
2022-04-06 14:43:44.693005 True [    1758.240456] 0003 0036 00000438
2022-04-06 14:43:44.701912 True [    1758.249341] 0003 0035 00000347
2022-04-06 14:43:44.701912 True [    1758.249341] 0003 0036 0000043a
2022-04-06 14:43:44.709182 True [    1758.256599] 0003 0035 0000034b
2022-04-06 14:43:44.709182 True [    1758.256599] 0003 0036 0000043d
2022-04-06 14:43:44.718407 True [    1758.265958] 0003 0035 0000034f
2022-04-06 14:43:44.718407 True [    1758.265958] 0003 0036 00000440
2022-04-06 14:43:44.725770 True [    1758.273250] 0003 0035 00000353
2022-04-06 14:43:44.725770 True [    1758.273250] 0003 0036 00000443
2022-04-06 14:43:44.735380 True [    1758.282718] 0003 0035 00000357
2022-04-06 14:43:44.735380 True [    1758.282718] 0003 0036 00000446
2022-04-06 14:43:44.741817 True [    1758.289801] 0003 0035 0000035a
2022-04-06 14:43:44.741817 True [    1758.289801] 0003 0036 00000449
2022-04-06 14:43:44.750633 True [    1758.298370] 0003 0035 0000035d
2022-04-06 14:43:44.750633 True [    1758.298370] 0003 0036 0000044b
2022-04-06 14:43:44.758074 True [    1758.306208] 0003 0035 00000361
2022-04-06 14:43:44.758074 True [    1758.306208] 0003 0036 0000044e
2022-04-06 14:43:44.766679 True [    1758.314845] 0003 0035 00000364
2022-04-06 14:43:44.766679 True [    1758.314845] 0003 0036 00000451
2022-04-06 14:43:44.775523 True [    1758.322795] 0003 0035 00000368
2022-04-06 14:43:44.775523 True [    1758.322795] 0003 0036 00000455
2022-04-06 14:43:44.784153 True [    1758.331716] 0003 0035 0000036b
2022-04-06 14:43:44.784153 True [    1758.331716] 0003 0036 00000457
2022-04-06 14:43:44.791792 True [    1758.339453] 0003 0035 0000036f
2022-04-06 14:43:44.791792 True [    1758.339453] 0003 0036 0000045a
2022-04-06 14:43:44.799731 True [    1758.348078] 0003 0035 00000372
2022-04-06 14:43:44.799731 True [    1758.348078] 0003 0036 0000045c
2022-04-06 14:43:44.809319 True [    1758.356515] 0003 0035 00000376
2022-04-06 14:43:44.809319 True [    1758.356515] 0003 0036 0000045f
2022-04-06 14:43:44.817122 True [    1758.364815] 0003 0035 0000037a
2022-04-06 14:43:44.817122 True [    1758.364815] 0003 0036 00000462
2022-04-06 14:43:44.824752 True [    1758.372905] 0003 0035 0000037d
