Mode = area stim
    verts = 22 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.97733540518634 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 15:26:57.775416 False [   19394.845732] 0003 0036 0000004c
2022-03-16 15:26:57.787949 False [   19394.862958] 0003 0035 00000427
2022-03-16 15:26:57.787949 False [   19394.862958] 0003 0036 0000004c
2022-03-16 15:26:57.804343 False [   19394.879125] 0003 0035 00000427
2022-03-16 15:26:57.804343 False [   19394.879125] 0003 0036 0000004c
2022-03-16 15:26:57.824276 False [   19394.896799] 0003 0035 00000427
2022-03-16 15:26:57.824276 False [   19394.896799] 0003 0036 0000004c
2022-03-16 15:26:57.839231 False [   19394.914427] 0003 0035 00000427
2022-03-16 15:26:57.839231 False [   19394.914427] 0003 0036 0000004c
2022-03-16 15:26:57.856266 False [   19394.930640] 0003 0035 00000427
2022-03-16 15:26:57.856266 False [   19394.930640] 0003 0036 0000004c
2022-03-16 15:26:57.872255 False [   19394.947156] 0003 0035 00000427
2022-03-16 15:26:57.872255 False [   19394.947156] 0003 0036 0000004c
2022-03-16 15:26:57.890503 False [   19394.965431] 0003 0035 00000427
2022-03-16 15:26:57.890503 False [   19394.965431] 0003 0036 0000004c
2022-03-16 15:26:57.906357 False [   19394.981842] 0003 0035 00000427
2022-03-16 15:26:57.907324 False [   19394.981842] 0003 0036 0000004c
2022-03-16 15:26:57.923272 False [   19394.998565] 0003 0035 00000427
2022-03-16 15:26:57.923272 False [   19394.998565] 0003 0036 0000004c
2022-03-16 15:26:57.941958 False [   19395.015715] 0003 0035 00000427
2022-03-16 15:26:57.945968 False [   19395.015715] 0003 0036 0000004c
2022-03-16 15:26:57.960168 False [   19395.033070] 0003 0035 00000427
2022-03-16 15:26:57.960168 False [   19395.033070] 0003 0036 00000051
2022-03-16 15:26:57.974131 False [   19395.049610] 0003 0035 00000427
2022-03-16 15:26:57.974131 False [   19395.049610] 0003 0036 00000057
2022-03-16 15:26:57.990193 False [   19395.065091] 0003 0035 00000427
2022-03-16 15:26:57.990193 False [   19395.065091] 0003 0036 0000005f
2022-03-16 15:26:58.013571 False [   19395.082450] 0003 0035 00000427
2022-03-16 15:26:58.013571 False [   19395.082450] 0003 0036 00000068
2022-03-16 15:26:58.027750 False [   19395.099201] 0003 0035 00000427
2022-03-16 15:26:58.027750 False [   19395.099201] 0003 0036 00000072
2022-03-16 15:26:58.041486 False [   19395.117203] 0003 0035 00000427
2022-03-16 15:26:58.042504 False [   19395.117203] 0003 0036 0000007e
2022-03-16 15:26:58.057850 False [   19395.132912] 0003 0035 00000427
2022-03-16 15:26:58.064832 False [   19395.132912] 0003 0036 0000008b
2022-03-16 15:26:58.078108 False [   19395.150313] 0003 0035 00000427
2022-03-16 15:26:58.078108 False [   19395.150313] 0003 0036 00000099
2022-03-16 15:26:58.095063 False [   19395.166813] 0003 0035 00000427
2022-03-16 15:26:58.095063 False [   19395.166813] 0003 0036 000000a8
2022-03-16 15:26:58.109423 False [   19395.184343] 0003 0035 00000429
2022-03-16 15:26:58.109423 False [   19395.184343] 0003 0036 000000b7
2022-03-16 15:26:58.126319 False [   19395.200870] 0003 0035 0000042b
2022-03-16 15:26:58.126319 False [   19395.200870] 0003 0036 000000c5
2022-03-16 15:26:58.149828 False [   19395.218031] 0003 0035 0000042d
2022-03-16 15:26:58.149828 False [   19395.218031] 0003 0036 000000d3
2022-03-16 15:26:58.164395 False [   19395.234907] 0003 0035 0000042f
2022-03-16 15:26:58.164395 False [   19395.234907] 0003 0036 000000e0
2022-03-16 15:26:58.179012 False [   19395.252589] 0003 0035 00000431
2022-03-16 15:26:58.179012 False [   19395.252589] 0003 0036 000000ec
2022-03-16 15:26:58.195494 False [   19395.269753] 0003 0035 00000431
2022-03-16 15:26:58.195494 False [   19395.269753] 0003 0036 000000f6
2022-03-16 15:26:58.211484 False [   19395.285828] 0003 0035 00000431
2022-03-16 15:26:58.211484 True [   19395.285828] 0003 0036 000000fe
2022-03-16 15:26:58.229806 True [   19395.303255] 0003 0035 00000433
2022-03-16 15:26:58.229806 True [   19395.303255] 0003 0036 00000103
2022-03-16 15:26:58.244126 True [   19395.319961] 0003 0035 00000433
2022-03-16 15:26:58.244126 True [   19395.319961] 0003 0036 00000107
2022-03-16 15:26:58.266687 True [   19395.336661] 0003 0035 00000433
2022-03-16 15:26:58.266687 True [   19395.336661] 0003 0036 00000107
2022-03-16 15:26:58.281744 True [   19395.353958] 0003 0035 00000433
2022-03-16 15:26:58.281744 True [   19395.353958] 0003 0036 00000107
2022-03-16 15:26:58.299176 True [   19395.371307] 0003 0035 00000433
2022-03-16 15:26:58.299176 True [   19395.371307] 0003 0036 00000107
2022-03-16 15:26:58.319341 True [   19395.388879] 0003 0035 00000433
2022-03-16 15:26:58.319341 True [   19395.388879] 0003 0036 00000107
2022-03-16 15:26:58.335172 True [   19395.405272] 0003 0035 00000433
2022-03-16 15:26:58.335172 True [   19395.405272] 0003 0036 00000107
2022-03-16 15:26:58.352369 True [   19395.422550] 0003 0035 00000433
2022-03-16 15:26:58.352369 True [   19395.422550] 0003 0036 00000101
2022-03-16 15:26:58.368670 True [   19395.439350] 0003 0035 00000435
2022-03-16 15:26:58.369662 False [   19395.439350] 0003 0036 000000fa
2022-03-16 15:26:58.379968 False [   19395.455237] 0003 0035 00000435
2022-03-16 15:26:58.379968 False [   19395.455237] 0003 0036 000000f4
2022-03-16 15:26:58.397467 False [   19395.472074] 0003 0035 00000435
2022-03-16 15:26:58.398488 False [   19395.472074] 0003 0036 000000ee
2022-03-16 15:26:58.416277 False [   19395.489380] 0003 0035 00000435
2022-03-16 15:26:58.416277 False [   19395.489380] 0003 0036 000000e7
2022-03-16 15:26:58.430792 False [   19395.506348] 0003 0035 00000435
2022-03-16 15:26:58.430792 False [   19395.506348] 0003 0036 000000df
2022-03-16 15:26:58.453636 False [   19395.523181] 0003 0035 00000435
2022-03-16 15:26:58.453636 False [   19395.523181] 0003 0036 000000d6
2022-03-16 15:26:58.469164 False [   19395.539704] 0003 0035 00000435
2022-03-16 15:26:58.469164 False [   19395.539704] 0003 0036 000000cd
2022-03-16 15:26:58.482087 False [   19395.557716] 0003 0035 00000437
2022-03-16 15:26:58.483083 False [   19395.557716] 0003 0036 000000c3
2022-03-16 15:26:58.502412 False [   19395.574372] 0003 0035 00000437
2022-03-16 15:26:58.502412 False [   19395.574372] 0003 0036 000000b8
2022-03-16 15:26:58.516097 False [   19395.591170] 0003 0035 00000439
2022-03-16 15:26:58.516097 False [   19395.591170] 0003 0036 000000ad
2022-03-16 15:26:58.533638 False [   19395.607753] 0003 0035 00000439
2022-03-16 15:26:58.533638 False [   19395.607753] 0003 0036 000000a1
2022-03-16 15:26:58.551906 False [   19395.626330] 0003 0035 00000439
2022-03-16 15:26:58.551906 False [   19395.626330] 0003 0036 00000096
2022-03-16 15:26:58.571845 False [   19395.642802] 0003 0035 00000439
2022-03-16 15:26:58.571845 False [   19395.642802] 0003 0036 0000008d
2022-03-16 15:26:58.582943 False [   19395.658712] 0003 0035 00000439
