Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.9981248280230397 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 14:19:20.154187 False [  146683.426158] 0003 0035 000001dd
2022-04-02 14:19:20.158312 False [  146683.438533] 0003 0036 00000285
2022-04-02 14:19:20.158312 False [  146683.449504] 0003 0035 000001de
2022-04-02 14:19:20.158312 False [  146683.449504] 0003 0036 00000287
2022-04-02 14:19:20.158312 False [  146683.459225] 0003 0035 000001df
2022-04-02 14:19:20.158312 False [  146683.459225] 0003 0036 00000288
2022-04-02 14:19:20.177707 False [  146683.479331] 0003 0035 000001e0
2022-04-02 14:19:20.177707 False [  146683.479331] 0003 0036 00000289
2022-04-02 14:19:20.211277 False [  146683.487487] 0003 0035 000001e1
2022-04-02 14:19:20.211277 False [  146683.487487] 0003 0036 0000028a
2022-04-02 14:19:20.252521 False [  146683.495896] 0003 0036 0000028b
2022-04-02 14:19:20.253147 False [  146683.507121] 0003 0035 000001e2
2022-04-02 14:19:20.253147 False [  146683.517266] 0003 0036 0000028c
2022-04-02 14:19:20.278546 False [  146683.529094] 0003 0035 000001e3
2022-04-02 14:19:20.278546 False [  146683.529094] 0003 0036 0000028d
2022-04-02 14:19:20.278546 False [  146683.537955] 0003 0036 0000028e
2022-04-02 14:19:20.278546 False [  146683.548599] 0003 0035 000001e4
2022-04-02 14:19:20.278546 False [  146683.559423] 0003 0036 0000028f
2022-04-02 14:19:20.278546 False [  146683.569461] 0003 0035 000001e5
2022-04-02 14:19:20.278546 False [  146683.569461] 0003 0036 00000290
2022-04-02 14:19:20.328794 False [  146683.576922] 0003 0036 00000291
2022-04-02 14:19:20.335166 False [  146683.596219] 0003 0035 000001e6
2022-04-02 14:19:20.335166 False [  146683.596219] 0003 0036 00000292
2022-04-02 14:19:20.335166 False [  146683.603947] 0003 0036 00000293
2022-04-02 14:19:20.335166 False [  146683.615963] 0003 0035 000001e7
2022-04-02 14:19:20.335166 False [  146683.628304] 0003 0035 000001e8
2022-04-02 14:19:20.335166 False [  146683.628304] 0003 0036 00000294
2022-04-02 14:19:20.335166 False [  146683.637276] 0003 0035 000001e9
2022-04-02 14:19:20.335166 False [  146683.637276] 0003 0036 00000295
2022-04-02 14:19:20.344903 False [  146683.653586] 0003 0035 000001ea
2022-04-02 14:19:20.344903 False [  146683.653586] 0003 0036 00000296
2022-04-02 14:19:20.353664 False [  146683.662202] 0003 0035 000001eb
2022-04-02 14:19:20.353664 False [  146683.662202] 0003 0036 00000297
2022-04-02 14:19:20.385184 False [  146683.670236] 0003 0035 000001ec
2022-04-02 14:19:20.390504 False [  146683.680144] 0003 0036 00000298
2022-04-02 14:19:20.390504 False [  146683.689587] 0003 0036 00000299
2022-04-02 14:19:20.411862 False [  146683.711920] 0003 0035 000001ed
2022-04-02 14:19:20.450506 False [  146683.720149] 0003 0035 000001ee
2022-04-02 14:19:20.450506 False [  146683.720149] 0003 0036 0000029a
2022-04-02 14:19:20.461983 False [  146683.728624] 0003 0035 000001ef
2022-04-02 14:19:20.461983 False [  146683.728624] 0003 0036 0000029b
2022-04-02 14:19:20.461983 False [  146683.736827] 0003 0036 0000029c
2022-04-02 14:19:20.461983 False [  146683.747072] 0003 0035 000001f0
2022-04-02 14:19:20.461983 False [  146683.747072] 0003 0036 0000029d
2022-04-02 14:19:20.461983 False [  146683.755187] 0003 0036 0000029e
2022-04-02 14:19:20.490514 False [  146683.770244] 0003 0035 000001f1
2022-04-02 14:19:20.491455 False [  146683.770244] 0003 0036 0000029f
2022-04-02 14:19:20.491455 False [  146683.778457] 0003 0036 000002a0
2022-04-02 14:19:20.513578 False [  146683.789475] 0003 0035 000001f2
2022-04-02 14:19:20.513578 False [  146683.789475] 0003 0036 000002a1
2022-04-02 14:19:20.513578 False [  146683.795443] 0003 0036 000002a2
2022-04-02 14:19:20.518262 False [  146683.811634] 0003 0035 000001f3
2022-04-02 14:19:20.518262 False [  146683.811634] 0003 0036 000002a3
2022-04-02 14:19:20.518262 False [  146683.820074] 0003 0036 000002a4
2022-04-02 14:19:20.557401 False [  146683.836624] 0003 0036 000002a5
2022-04-02 14:19:20.572088 False [  146683.847648] 0003 0035 000001f4
2022-04-02 14:19:20.572088 False [  146683.847648] 0003 0036 000002a6
2022-04-02 14:19:20.572088 False [  146683.857316] 0003 0035 000001f5
2022-04-02 14:19:20.614228 False [  146683.878205] 0003 0035 000001f6
2022-04-02 14:19:20.614228 False [  146683.878205] 0003 0036 000002a7
2022-04-02 14:19:20.614228 False [  146683.888299] 0003 0035 000001f7
2022-04-02 14:19:20.614228 False [  146683.888299] 0003 0036 000002a8
2022-04-02 14:19:20.619838 False [  146683.898862] 0003 0036 000002a9
2022-04-02 14:19:20.619838 False [  146683.911400] 0003 0035 000001f8
2022-04-02 14:19:20.619838 False [  146683.911400] 0003 0036 000002aa
2022-04-02 14:19:20.619838 False [  146683.921136] 0003 0035 000001f9
2022-04-02 14:19:20.619838 False [  146683.921136] 0003 0036 000002ab
2022-04-02 14:19:20.628366 False [  146683.936311] 0003 0035 000001fa
2022-04-02 14:19:20.643082 False [  146683.944670] 0003 0036 000002ac
2022-04-02 14:19:20.651628 False [  146683.961637] 0003 0035 000001fb
2022-04-02 14:19:20.695144 False [  146683.969475] 0003 0036 000002ad
2022-04-02 14:19:20.700291 False [  146683.981006] 0003 0036 000002ae
2022-04-02 14:19:20.700291 False [  146683.992850] 0003 0036 000002af
2022-04-02 14:19:20.700291 False [  146684.002543] 0003 0035 000001fc
2022-04-02 14:19:20.743534 False [  146684.019379] 0003 0035 000001fe
2022-04-02 14:19:20.743534 False [  146684.019379] 0003 0036 000002b1
2022-04-02 14:19:20.779459 False [  146684.028649] 0003 0036 000002b2
2022-04-02 14:19:20.779459 False [  146684.037612] 0003 0036 000002b3
2022-04-02 14:19:20.779459 False [  146684.048046] 0003 0035 000001ff
2022-04-02 14:19:20.813022 False [  146684.061041] 0003 0035 00000200
2022-04-02 14:19:20.813022 False [  146684.061041] 0003 0036 000002b4
2022-04-02 14:19:20.813022 False [  146684.069731] 0003 0035 00000201
2022-04-02 14:19:20.813022 False [  146684.069731] 0003 0036 000002b5
2022-04-02 14:19:20.813022 False [  146684.077657] 0003 0035 00000202
2022-04-02 14:19:20.813022 False [  146684.086910] 0003 0036 000002b6
2022-04-02 14:19:20.813022 False [  146684.095121] 0003 0036 000002b7
2022-04-02 14:19:20.819593 False [  146684.105891] 0003 0035 00000203
2022-04-02 14:19:20.819593 False [  146684.105891] 0003 0036 000002b8
2022-04-02 14:19:20.819593 False [  146684.110790] 0003 0035 00000204
2022-04-02 14:19:20.819593 False [  146684.110790] 0003 0036 000002b9
2022-04-02 14:19:20.819593 False [  146684.119128] 0003 0035 00000205
2022-04-02 14:19:20.834090 False [  146684.135821] 0003 0036 000002ba
2022-04-02 14:19:20.846687 False [  146684.152299] 0003 0035 00000206
2022-04-02 14:19:20.846687 False [  146684.152299] 0003 0036 000002bb
2022-04-02 14:19:20.860086 False [  146684.168859] 0003 0035 00000207
2022-04-02 14:19:20.860086 False [  146684.168859] 0003 0036 000002bc
2022-04-02 14:19:20.875225 False [  146684.177306] 0003 0036 000002bd
2022-04-02 14:19:20.918966 False [  146684.193875] 0003 0035 00000208
2022-04-02 14:19:20.971022 False [  146684.204942] 0003 0036 000002be
2022-04-02 14:19:20.971022 False [  146684.215213] 0003 0035 00000209
2022-04-02 14:19:20.971022 False [  146684.225596] 0003 0036 000002bf
2022-04-02 14:19:20.971022 False [  146684.235298] 0003 0036 000002c0
2022-04-02 14:19:20.975172 False [  146684.245152] 0003 0035 0000020a
2022-04-02 14:19:20.975172 False [  146684.245152] 0003 0036 000002c1
2022-04-02 14:19:20.975172 False [  146684.255815] 0003 0036 000002c2
2022-04-02 14:19:20.975172 False [  146684.267849] 0003 0036 000002c3
2022-04-02 14:19:20.975172 False [  146684.278421] 0003 0035 0000020b
2022-04-02 14:19:20.975172 False [  146684.278421] 0003 0036 000002c4
2022-04-02 14:19:21.031572 False [  146684.293617] 0003 0035 0000020c
2022-04-02 14:19:21.044110 False [  146684.303818] 0003 0036 000002c5
2022-04-02 14:19:21.044110 False [  146684.312604] 0003 0036 000002c6
2022-04-02 14:19:21.044110 False [  146684.324323] 0003 0036 000002c7
2022-04-02 14:19:21.044110 False [  146684.335943] 0003 0036 000002c8
2022-04-02 14:19:21.044110 False [  146684.347210] 0003 0035 0000020d
2022-04-02 14:19:21.044110 False [  146684.347210] 0003 0036 000002c9
2022-04-02 14:19:21.099082 False [  146684.360189] 0003 0035 0000020e
2022-04-02 14:19:21.107626 False [  146684.368491] 0003 0036 000002ca
2022-04-02 14:19:21.107626 False [  146684.380269] 0003 0036 000002cb
2022-04-02 14:19:21.107626 False [  146684.392092] 0003 0035 0000020f
2022-04-02 14:19:21.107626 False [  146684.404732] 0003 0036 000002cc
2022-04-02 14:19:21.123587 False [  146684.418210] 0003 0035 00000210
2022-04-02 14:19:21.123587 False [  146684.418210] 0003 0036 000002cd
2022-04-02 14:19:21.127220 False [  146684.426714] 0003 0036 000002ce
2022-04-02 14:19:21.154242 False [  146684.451419] 0003 0036 000002cf
2022-04-02 14:19:21.158726 False [  146684.463851] 0003 0035 00000211
2022-04-02 14:19:21.158726 False [  146684.463851] 0003 0036 000002d0
2022-04-02 14:19:21.214116 False [  146684.476569] 0003 0036 000002d1
2022-04-02 14:19:21.221441 False [  146684.490137] 0003 0035 00000212
2022-04-02 14:19:21.221441 False [  146684.501859] 0003 0036 000002d2
2022-04-02 14:19:21.221441 False [  146684.512958] 0003 0035 00000213
2022-04-02 14:19:21.221441 False [  146684.512958] 0003 0036 000002d3
2022-04-02 14:19:21.221441 False [  146684.520880] 0003 0035 00000214
2022-04-02 14:19:21.221441 False [  146684.520880] 0003 0036 000002d4
2022-04-02 14:19:21.273105 False [  146684.542984] 0003 0036 000002d5
2022-04-02 14:19:21.298269 False [  146684.555457] 0003 0036 000002d6
2022-04-02 14:19:21.298269 False [  146684.566604] 0003 0035 00000215
2022-04-02 14:19:21.298269 False [  146684.578726] 0003 0036 000002d7
2022-04-02 14:19:21.343168 False [  146684.592816] 0003 0036 000002d8
2022-04-02 14:19:21.343168 False [  146684.602620] 0003 0035 00000216
2022-04-02 14:19:21.343168 False [  146684.614971] 0003 0036 000002d9
2022-04-02 14:19:21.369259 False [  146684.626129] 0003 0035 00000217
2022-04-02 14:19:21.369259 False [  146684.634596] 0003 0036 000002da
2022-04-02 14:19:21.369259 False [  146684.647481] 0003 0036 000002db
2022-04-02 14:19:21.369259 False [  146684.659261] 0003 0035 00000218
2022-04-02 14:19:21.369259 False [  146684.659261] 0003 0036 000002dc
2022-04-02 14:19:21.374257 False [  146684.667953] 0003 0036 000002de
2022-04-02 14:19:21.374257 False [  146684.675914] 0003 0035 00000219
2022-04-02 14:19:21.374257 False [  146684.675914] 0003 0036 000002df
2022-04-02 14:19:21.397065 False [  146684.692498] 0003 0036 000002e0
2022-04-02 14:19:21.422018 False [  146684.700919] 0003 0036 000002e1
2022-04-02 14:19:21.422018 False [  146684.712826] 0003 0035 0000021a
2022-04-02 14:19:21.422018 False [  146684.712826] 0003 0036 000002e2
2022-04-02 14:19:21.430479 False [  146684.721071] 0003 0036 000002e3
2022-04-02 14:19:21.453159 False [  146684.742661] 0003 0036 000002e4
2022-04-02 14:19:21.469312 False [  146684.750803] 0003 0035 0000021b
2022-04-02 14:19:21.469312 False [  146684.762436] 0003 0036 000002e5
2022-04-02 14:19:21.527069 False [  146684.775733] 0003 0036 000002e6
2022-04-02 14:19:21.527069 False [  146684.785662] 0003 0036 000002e7
2022-04-02 14:19:21.573904 False [  146684.795514] 0003 0036 000002e8
2022-04-02 14:19:21.573904 False [  146684.805123] 0003 0035 0000021c
2022-04-02 14:19:21.573904 False [  146684.817264] 0003 0036 000002e9
2022-04-02 14:19:21.573904 False [  146684.829291] 0003 0035 0000021d
2022-04-02 14:19:21.573904 False [  146684.842068] 0003 0036 000002ea
2022-04-02 14:19:21.583967 False [  146684.852084] 0003 0035 0000021e
2022-04-02 14:19:21.583967 False [  146684.865193] 0003 0036 000002eb
2022-04-02 14:19:21.583967 False [  146684.875807] 0003 0036 000002ec
2022-04-02 14:19:21.632969 False [  146684.908546] 0003 0035 0000021f
2022-04-02 14:19:21.632969 False [  146684.908546] 0003 0036 000002ed
2022-04-02 14:19:21.657472 False [  146684.916995] 0003 0036 000002ee
2022-04-02 14:19:21.657472 False [  146684.927316] 0003 0036 000002ef
2022-04-02 14:19:21.657472 False [  146684.937577] 0003 0035 00000220
2022-04-02 14:19:21.657472 False [  146684.949975] 0003 0035 00000221
2022-04-02 14:19:21.657472 False [  146684.949975] 0003 0036 000002f0
2022-04-02 14:19:21.668439 False [  146684.958433] 0003 0036 000002f1
2022-04-02 14:19:21.672085 False [  146684.974935] 0003 0035 00000222
2022-04-02 14:19:21.672085 False [  146684.974935] 0003 0036 000002f2
2022-04-02 14:19:21.682118 False [  146684.991622] 0003 0036 000002f3
2022-04-02 14:19:21.698136 False [  146685.008263] 0003 0036 000002f4
2022-04-02 14:19:21.743743 False [  146685.033301] 0003 0035 00000223
2022-04-02 14:19:21.751203 False [  146685.049788] 0003 0035 00000224
2022-04-02 14:19:21.751203 False [  146685.049788] 0003 0036 000002f5
2022-04-02 14:19:21.798053 False [  146685.066479] 0003 0036 000002f6
2022-04-02 14:19:21.838344 False [  146685.083550] 0003 0035 00000225
2022-04-02 14:19:21.838344 False [  146685.093874] 0003 0035 00000226
