Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.6807939182022242 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:21:23.304283 True [  157606.473182] 0003 0036 0000045e
2022-04-02 17:21:23.311868 True [  157606.481653] 0003 0036 0000045f
2022-04-02 17:21:23.349073 True [  157606.515008] 0003 0036 00000460
2022-04-02 17:21:23.363806 True [  157606.531416] 0003 0036 00000461
2022-04-02 17:21:23.372824 True [  157606.539737] 0003 0036 00000462
2022-04-02 17:21:23.380192 True [  157606.548159] 0003 0036 00000463
2022-04-02 17:21:23.387491 True [  157606.556408] 0003 0036 00000464
2022-04-02 17:21:23.404264 True [  157606.572907] 0003 0035 000004e8
2022-04-02 17:21:23.404264 True [  157606.572907] 0003 0036 00000465
2022-04-02 17:21:23.413103 True [  157606.581363] 0003 0035 000004e9
2022-04-02 17:21:23.413103 True [  157606.581363] 0003 0036 00000467
2022-04-02 17:21:23.420426 True [  157606.589568] 0003 0036 00000468
2022-04-02 17:21:23.428708 True [  157606.598059] 0003 0035 000004ea
2022-04-02 17:21:23.436725 True [  157606.606200] 0003 0035 000004eb
2022-04-02 17:21:23.436725 True [  157606.606200] 0003 0036 00000469
2022-04-02 17:21:23.448070 True [  157606.614627] 0003 0036 0000046a
2022-04-02 17:21:23.463183 True [  157606.631224] 0003 0035 000004ec
2022-04-02 17:21:23.463183 True [  157606.631224] 0003 0036 0000046c
2022-04-02 17:21:23.481588 True [  157606.647762] 0003 0036 0000046d
2022-04-02 17:21:23.487415 True [  157606.656106] 0003 0035 000004ed
2022-04-02 17:21:23.487415 True [  157606.656106] 0003 0036 0000046e
2022-04-02 17:21:23.498865 True [  157606.664496] 0003 0036 0000046f
2022-04-02 17:21:23.504745 True [  157606.672761] 0003 0036 00000470
2022-04-02 17:21:23.512825 True [  157606.681153] 0003 0035 000004ee
2022-04-02 17:21:23.512825 True [  157606.681153] 0003 0036 00000471
2022-04-02 17:21:23.521273 True [  157606.689304] 0003 0036 00000472
2022-04-02 17:21:23.529346 True [  157606.697801] 0003 0036 00000474
2022-04-02 17:21:23.536163 True [  157606.705958] 0003 0035 000004ef
2022-04-02 17:21:23.536163 True [  157606.705958] 0003 0036 00000475
2022-04-02 17:21:23.547213 True [  157606.714562] 0003 0036 00000477
2022-04-02 17:21:23.551718 True [  157606.722588] 0003 0036 00000479
2022-04-02 17:21:23.570457 True [  157606.739199] 0003 0036 0000047b
2022-04-02 17:21:23.578918 True [  157606.747572] 0003 0036 0000047c
2022-04-02 17:21:23.588147 True [  157606.755801] 0003 0036 0000047d
2022-04-02 17:21:23.602593 True [  157606.772433] 0003 0035 000004ed
2022-04-02 17:21:23.602593 True [  157606.772433] 0003 0036 00000481
2022-04-02 17:21:23.611576 True [  157606.780888] 0003 0035 000004ec
2022-04-02 17:21:23.611576 True [  157606.780888] 0003 0036 00000484
2022-04-02 17:21:23.621820 True [  157606.789076] 0003 0036 00000486
2022-04-02 17:21:23.629228 True [  157606.797460] 0003 0035 000004ea
2022-04-02 17:21:23.629228 True [  157606.797460] 0003 0036 00000489
2022-04-02 17:21:23.639698 True [  157606.805641] 0003 0035 000004e9
2022-04-02 17:21:23.639698 True [  157606.805641] 0003 0036 0000048b
2022-04-02 17:21:23.646774 True [  157606.814226] 0003 0036 0000048d
2022-04-02 17:21:23.654295 True [  157606.822264] 0003 0036 0000048f
2022-04-02 17:21:23.663815 True [  157606.830694] 0003 0035 000004e8
