Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.4201613578430373 
    wm_size = [1600 2560] 
    stim_amp = 5 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:33:51.957112 True [    1424.367609] 0003 0036 0000039f
2022-04-06 14:33:51.973706 True [    1424.384315] 0003 0036 0000039d
2022-04-06 14:33:51.981405 True [    1424.392662] 0003 0036 0000039b
2022-04-06 14:33:51.990019 True [    1424.400950] 0003 0036 0000039a
2022-04-06 14:33:52.000626 True [    1424.409195] 0003 0035 0000038a
2022-04-06 14:33:52.000626 True [    1424.409195] 0003 0036 00000398
2022-04-06 14:33:52.007899 True [    1424.417662] 0003 0036 00000397
2022-04-06 14:33:52.016975 True [    1424.425836] 0003 0036 00000395
2022-04-06 14:33:52.022776 True [    1424.434320] 0003 0035 00000389
2022-04-06 14:33:52.022776 True [    1424.434320] 0003 0036 00000394
2022-04-06 14:33:52.031277 True [    1424.442532] 0003 0036 00000393
2022-04-06 14:33:52.039684 True [    1424.450948] 0003 0036 00000392
2022-04-06 14:33:52.049626 True [    1424.460306] 0003 0035 00000388
2022-04-06 14:33:52.049626 True [    1424.460306] 0003 0036 00000391
2022-04-06 14:33:52.057181 True [    1424.467664] 0003 0036 0000038f
2022-04-06 14:33:52.074708 True [    1424.484337] 0003 0036 0000038c
2022-04-06 14:33:52.081902 True [    1424.492687] 0003 0035 00000387
2022-04-06 14:33:52.081902 True [    1424.492687] 0003 0036 0000038a
2022-04-06 14:33:52.091311 True [    1424.501048] 0003 0036 00000389
2022-04-06 14:33:52.100166 True [    1424.509207] 0003 0036 00000388
2022-04-06 14:33:52.107528 True [    1424.517632] 0003 0036 00000387
2022-04-06 14:33:52.125705 True [    1424.534313] 0003 0036 00000386
2022-04-06 14:33:52.132948 True [    1424.542509] 0003 0036 00000385
2022-04-06 14:33:52.139973 True [    1424.550957] 0003 0036 00000384
2022-04-06 14:33:52.158773 True [    1424.567678] 0003 0036 00000383
2022-04-06 14:33:52.165936 True [    1424.575873] 0003 0036 00000382
2022-04-06 14:33:52.184509 True [    1424.592656] 0003 0036 00000381
2022-04-06 14:33:52.190930 True [    1424.601012] 0003 0036 00000380
2022-04-06 14:33:52.200678 True [    1424.609197] 0003 0036 0000037f
2022-04-06 14:33:52.244042 True [    1424.650992] 0003 0036 0000037e
2022-04-06 14:33:52.259219 True [    1424.667659] 0003 0036 0000037d
2022-04-06 14:33:52.299495 True [    1424.709137] 0003 0036 0000037c
2022-04-06 14:33:52.334944 True [    1424.742597] 0003 0036 0000037b
2022-04-06 14:33:52.357273 True [    1424.767620] 0003 0036 0000037a
2022-04-06 14:33:52.390761 True [    1424.800979] 0003 0036 00000379
2022-04-06 14:33:52.416973 True [    1424.825889] 0003 0036 00000378
