Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.113634001116318 
    wm_size = [1200 1920] 
    stim_amp = 4 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-03 19:12:56.481154 False [   71648.027528] 0003 0035 00000284
2022-03-03 19:12:56.499812 False [   71648.044270] 0003 0035 00000284
2022-03-03 19:12:56.515365 False [   71648.061057] 0003 0035 00000284
2022-03-03 19:12:56.532529 False [   71648.078013] 0003 0035 00000284
2022-03-03 19:12:56.550369 False [   71648.095056] 0003 0035 00000284
2022-03-03 19:12:56.566303 False [   71648.111918] 0003 0035 00000284
2022-03-03 19:12:56.585166 False [   71648.129315] 0003 0035 00000284
2022-03-03 19:12:56.601120 False [   71648.145739] 0003 0035 00000284
2022-03-03 19:12:56.617160 False [   71648.162555] 0003 0035 00000284
2022-03-03 19:12:56.634186 False [   71648.179474] 0003 0035 00000284
2022-03-03 19:12:56.654964 False [   71648.196480] 0003 0035 00000284
2022-03-03 19:12:56.667615 False [   71648.213688] 0003 0035 00000284
2022-03-03 19:12:56.684998 False [   71648.230662] 0003 0035 00000284
2022-03-03 19:12:56.701964 False [   71648.247168] 0003 0035 00000284
