Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.352692049053831 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:10:31.934175 False [  156955.114268] 0003 0036 0000043c
2022-04-02 17:10:31.951863 False [  156955.130920] 0003 0036 0000043b
2022-04-02 17:10:31.960507 False [  156955.140083] 0003 0035 000004e5
2022-04-02 17:10:31.960507 False [  156955.140083] 0003 0036 00000438
2022-04-02 17:10:31.969295 False [  156955.147552] 0003 0036 00000433
2022-04-02 17:10:31.976739 False [  156955.156284] 0003 0036 0000042f
2022-04-02 17:10:31.986933 False [  156955.164120] 0003 0035 000004e8
2022-04-02 17:10:31.986933 False [  156955.164120] 0003 0036 00000425
2022-04-02 17:10:31.993040 False [  156955.172808] 0003 0035 000004eb
2022-04-02 17:10:31.993040 False [  156955.172808] 0003 0036 0000041c
2022-04-02 17:10:32.004150 False [  156955.180782] 0003 0035 000004ed
2022-04-02 17:10:32.004150 False [  156955.180782] 0003 0036 00000414
2022-04-02 17:10:32.009681 False [  156955.189146] 0003 0035 000004f0
2022-04-02 17:10:32.009681 False [  156955.189146] 0003 0036 00000409
2022-04-02 17:10:32.017949 False [  156955.197381] 0003 0035 000004f3
2022-04-02 17:10:32.017949 False [  156955.197381] 0003 0036 00000403
2022-04-02 17:10:32.026227 False [  156955.206124] 0003 0035 000004f5
2022-04-02 17:10:32.026227 False [  156955.206124] 0003 0036 000003f9
2022-04-02 17:10:32.035191 False [  156955.214282] 0003 0035 000004f7
2022-04-02 17:10:32.035191 False [  156955.214282] 0003 0036 000003f3
2022-04-02 17:10:32.043422 False [  156955.222778] 0003 0035 000004f9
2022-04-02 17:10:32.043422 False [  156955.222778] 0003 0036 000003ee
2022-04-02 17:10:32.050380 False [  156955.230590] 0003 0035 000004fa
2022-04-02 17:10:32.050380 False [  156955.230590] 0003 0036 000003ea
2022-04-02 17:10:32.060136 False [  156955.239237] 0003 0035 000004fb
2022-04-02 17:10:32.060136 False [  156955.239237] 0003 0036 000003e6
2022-04-02 17:10:32.066484 False [  156955.247260] 0003 0036 000003e4
2022-04-02 17:10:32.077200 False [  156955.256506] 0003 0035 000004fc
2022-04-02 17:10:32.077200 False [  156955.256506] 0003 0036 000003e2
2022-04-02 17:10:32.085054 False [  156955.263877] 0003 0036 000003e1
2022-04-02 17:10:32.093321 False [  156955.272622] 0003 0035 000004fd
2022-04-02 17:10:32.093321 False [  156955.272622] 0003 0036 000003e0
2022-04-02 17:10:32.108995 False [  156955.289189] 0003 0035 000004fc
2022-04-02 17:10:32.108995 False [  156955.289189] 0003 0036 000003e2
