Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.21523805025642817 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:51:04.208814 False [  159387.217067] 0003 0035 00000562
2022-04-02 17:51:04.208814 False [  159387.217067] 0003 0036 000006d2
2022-04-02 17:51:04.208814 False [  159387.230758] 0003 0035 0000055f
2022-04-02 17:51:04.208814 False [  159387.230758] 0003 0036 000006bc
2022-04-02 17:51:04.208814 False [  159387.241311] 0003 0035 0000055c
2022-04-02 17:51:04.208814 False [  159387.241311] 0003 0036 0000069c
2022-04-02 17:51:04.208814 False [  159387.252495] 0003 0035 0000055b
2022-04-02 17:51:04.208814 False [  159387.252495] 0003 0036 00000690
2022-04-02 17:51:04.208814 False [  159387.263345] 0003 0035 00000559
2022-04-02 17:51:04.208814 False [  159387.263345] 0003 0036 00000672
2022-04-02 17:51:04.208814 False [  159387.276138] 0003 0035 00000557
2022-04-02 17:51:04.208814 False [  159387.276138] 0003 0036 00000660
2022-04-02 17:51:04.208814 False [  159387.287361] 0003 0036 00000655
2022-04-02 17:51:04.208814 False [  159387.301886] 0003 0035 00000555
2022-04-02 17:51:04.208814 False [  159387.301886] 0003 0036 00000637
2022-04-02 17:51:04.280156 False [  159387.312200] 0003 0035 00000554
2022-04-02 17:51:04.280156 False [  159387.312200] 0003 0036 00000622
2022-04-02 17:51:04.280156 False [  159387.318796] 0003 0035 00000552
2022-04-02 17:51:04.280156 False [  159387.318796] 0003 0036 00000609
2022-04-02 17:51:04.280156 False [  159387.327349] 0003 0035 00000551
2022-04-02 17:51:04.280156 False [  159387.327349] 0003 0036 000005fb
2022-04-02 17:51:04.280156 False [  159387.335932] 0003 0035 00000550
2022-04-02 17:51:04.280156 False [  159387.335932] 0003 0036 000005e7
2022-04-02 17:51:04.280156 False [  159387.346500] 0003 0035 0000054f
2022-04-02 17:51:04.280156 False [  159387.346500] 0003 0036 000005db
2022-04-02 17:51:04.280156 False [  159387.356731] 0003 0035 0000054d
2022-04-02 17:51:04.280156 False [  159387.356731] 0003 0036 000005c4
2022-04-02 17:51:04.325235 False [  159387.367610] 0003 0036 000005b7
2022-04-02 17:51:04.325235 False [  159387.380381] 0003 0035 0000054b
2022-04-02 17:51:04.325235 False [  159387.380381] 0003 0036 000005a0
2022-04-02 17:51:04.325235 False [  159387.392394] 0003 0035 00000549
2022-04-02 17:51:04.325235 False [  159387.392394] 0003 0036 00000580
2022-04-02 17:51:04.325235 False [  159387.401413] 0003 0036 00000575
2022-04-02 17:51:04.325235 False [  159387.410211] 0003 0036 00000560
2022-04-02 17:51:04.325235 False [  159387.418869] 0003 0035 00000548
2022-04-02 17:51:04.325235 False [  159387.418869] 0003 0036 00000544
2022-04-02 17:51:04.325235 False [  159387.427266] 0003 0036 00000534
2022-04-02 17:51:04.367987 False [  159387.435226] 0003 0036 00000529
2022-04-02 17:51:04.367987 False [  159387.447409] 0003 0036 00000522
2022-04-02 17:51:04.367987 False [  159387.458984] 0003 0035 00000549
2022-04-02 17:51:04.367987 False [  159387.458984] 0003 0036 0000050a
2022-04-02 17:51:04.367987 False [  159387.465037] 0003 0036 000004fe
2022-04-02 17:51:04.367987 False [  159387.470316] 0003 0035 0000054a
2022-04-02 17:51:04.367987 False [  159387.470316] 0003 0036 000004e9
2022-04-02 17:51:04.367987 False [  159387.476669] 0003 0036 000004db
2022-04-02 17:51:04.433302 False [  159387.484942] 0003 0036 000004c4
2022-04-02 17:51:04.433302 False [  159387.493201] 0003 0036 000004b7
2022-04-02 17:51:04.433302 False [  159387.505185] 0003 0035 00000549
2022-04-02 17:51:04.433302 False [  159387.505185] 0003 0036 00000499
2022-04-02 17:51:04.433302 False [  159387.511398] 0003 0036 00000489
2022-04-02 17:51:04.503958 False [  159387.518189] 0003 0035 00000546
2022-04-02 17:51:04.503958 False [  159387.518189] 0003 0036 0000046c
2022-04-02 17:51:04.503958 False [  159387.526409] 0003 0035 00000545
2022-04-02 17:51:04.503958 False [  159387.526409] 0003 0036 0000045e
2022-04-02 17:51:04.503958 False [  159387.534835] 0003 0035 00000544
2022-04-02 17:51:04.503958 False [  159387.534835] 0003 0036 00000442
2022-04-02 17:51:04.503958 False [  159387.545554] 0003 0035 00000543
2022-04-02 17:51:04.503958 False [  159387.545554] 0003 0036 00000433
2022-04-02 17:51:04.503958 False [  159387.556146] 0003 0035 00000541
2022-04-02 17:51:04.503958 False [  159387.556146] 0003 0036 00000418
2022-04-02 17:51:04.503958 False [  159387.567600] 0003 0035 0000053f
2022-04-02 17:51:04.503958 False [  159387.567600] 0003 0036 00000409
2022-04-02 17:51:04.503958 False [  159387.577779] 0003 0035 0000053e
2022-04-02 17:51:04.503958 False [  159387.577779] 0003 0036 000003f3
2022-04-02 17:51:04.587209 False [  159387.587024] 0003 0035 0000053b
2022-04-02 17:51:04.587209 False [  159387.587024] 0003 0036 000003d1
2022-04-02 17:51:04.587209 False [  159387.598616] 0003 0036 000003c0
2022-04-02 17:51:04.587209 False [  159387.610531] 0003 0035 0000053a
2022-04-02 17:51:04.587209 False [  159387.610531] 0003 0036 000003b0
2022-04-02 17:51:04.587209 False [  159387.618958] 0003 0035 00000538
2022-04-02 17:51:04.587209 False [  159387.618958] 0003 0036 00000395
2022-04-02 17:51:04.587209 False [  159387.629058] 0003 0035 00000537
2022-04-02 17:51:04.587209 False [  159387.629058] 0003 0036 00000389
2022-04-02 17:51:04.587209 False [  159387.639927] 0003 0036 0000037f
2022-04-02 17:51:04.587209 False [  159387.650951] 0003 0035 00000536
2022-04-02 17:51:04.587209 False [  159387.650951] 0003 0036 00000377
