Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.314948854366252 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 16:52:37.621246 False [     233.983251] 0003 0035 00000253
2022-03-10 16:52:37.638438 False [     234.000338] 0003 0035 00000267
2022-03-10 16:52:37.654655 False [     234.017113] 0003 0035 0000027a
2022-03-10 16:52:37.671915 False [     234.033929] 0003 0035 0000028b
2022-03-10 16:52:37.689153 False [     234.050772] 0003 0035 00000297
2022-03-10 16:52:39.028347 False [     235.390101] 0003 0035 000000f3
2022-03-10 16:52:39.028347 True [     235.390101] 0003 0035 000002b8
2022-03-10 16:52:39.045731 False [     235.406979] 0003 0035 000000f3
2022-03-10 16:52:39.045731 True [     235.406979] 0003 0035 000002b8
2022-03-10 16:52:39.062882 False [     235.424104] 0003 0035 000000f3
2022-03-10 16:52:39.062882 False [     235.424104] 0003 0035 000002b8
2022-03-10 16:52:39.080309 False [     235.441599] 0003 0035 000000f3
2022-03-10 16:52:39.080309 True [     235.441599] 0003 0035 000002b8
2022-03-10 16:52:39.095825 False [     235.457960] 0003 0035 000000f3
2022-03-10 16:52:39.096821 True [     235.457960] 0003 0035 000002b8
2022-03-10 16:52:39.112806 False [     235.474849] 0003 0035 000000f3
2022-03-10 16:52:39.112806 False [     235.474849] 0003 0035 000002b8
2022-03-10 16:52:39.129914 False [     235.492053] 0003 0035 000000f3
2022-03-10 16:52:39.129914 True [     235.492053] 0003 0035 000002b8
2022-03-10 16:52:39.146974 False [     235.509077] 0003 0035 000000f3
2022-03-10 16:52:39.146974 True [     235.509077] 0003 0035 000002b8
2022-03-10 16:52:39.164388 False [     235.526124] 0003 0035 000000f3
2022-03-10 16:52:39.164649 True [     235.526124] 0003 0035 000002b8
2022-03-10 16:52:39.180851 False [     235.542544] 0003 0035 000000f3
2022-03-10 16:52:39.181378 False [     235.542544] 0003 0035 000002b8
2022-03-10 16:52:39.197936 False [     235.559636] 0003 0035 000000f3
2022-03-10 16:52:39.197936 True [     235.559636] 0003 0035 000002b4
2022-03-10 16:52:39.215076 False [     235.576444] 0003 0035 000000f3
2022-03-10 16:52:39.215076 True [     235.576444] 0003 0035 000002b4
2022-03-10 16:52:39.232102 False [     235.593489] 0003 0035 000000f3
2022-03-10 16:52:39.232530 False [     235.593489] 0003 0035 000002b0
2022-03-10 16:52:39.249440 False [     235.610994] 0003 0035 000000f3
2022-03-10 16:52:39.249440 True [     235.610994] 0003 0035 000002b0
