Mode = area stim
        verts = 22 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.2744603292816725 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 19:02:39.985670 False [   19289.290166] 0003 0036 000002f8
2022-04-07 19:02:39.991669 False [   19289.298601] 0003 0036 000002f6
2022-04-07 19:02:40.001372 False [   19289.306764] 0003 0036 000002f4
2022-04-07 19:02:40.009388 False [   19289.315225] 0003 0036 000002f3
2022-04-07 19:02:40.025832 False [   19289.323432] 0003 0036 000002f2
2022-04-07 19:02:40.029084 False [   19289.331798] 0003 0036 000002f1
2022-04-07 19:02:40.042384 False [   19289.348462] 0003 0035 000004a3
2022-04-07 19:02:40.069024 False [   19289.373263] 0003 0035 000004a2
2022-04-07 19:02:40.069024 False [   19289.373263] 0003 0036 000002f2
2022-04-07 19:02:40.076984 False [   19289.381806] 0003 0035 000004a1
2022-04-07 19:02:40.089799 False [   19289.390248] 0003 0035 0000049f
2022-04-07 19:02:40.089799 False [   19289.390248] 0003 0036 000002f3
2022-04-07 19:02:40.093597 False [   19289.398394] 0003 0035 0000049d
2022-04-07 19:02:40.093597 False [   19289.398394] 0003 0036 000002f4
2022-04-07 19:02:40.100419 False [   19289.406457] 0003 0035 0000049a
2022-04-07 19:02:40.100419 False [   19289.406457] 0003 0036 000002f6
2022-04-07 19:02:40.105013 False [   19289.414950] 0003 0035 00000497
2022-04-07 19:02:40.105013 False [   19289.414950] 0003 0036 000002f9
2022-04-07 19:02:40.114467 False [   19289.423096] 0003 0035 00000493
2022-04-07 19:02:40.114467 False [   19289.423096] 0003 0036 000002fa
2022-04-07 19:02:40.125451 False [   19289.431542] 0003 0035 0000048f
2022-04-07 19:02:40.125451 False [   19289.431542] 0003 0036 000002fd
2022-04-07 19:02:40.132696 False [   19289.439725] 0003 0035 0000048c
2022-04-07 19:02:40.132696 False [   19289.439725] 0003 0036 000002ff
2022-04-07 19:02:40.140516 False [   19289.448187] 0003 0035 00000485
2022-04-07 19:02:40.140516 False [   19289.448187] 0003 0036 00000305
2022-04-07 19:02:40.149892 False [   19289.456352] 0003 0035 0000047f
2022-04-07 19:02:40.149892 False [   19289.456352] 0003 0036 0000030a
2022-04-07 19:02:40.158093 False [   19289.464820] 0003 0035 0000047a
2022-04-07 19:02:40.158093 False [   19289.464820] 0003 0036 0000030e
2022-04-07 19:02:40.166513 False [   19289.472990] 0003 0035 00000476
2022-04-07 19:02:40.166513 False [   19289.472990] 0003 0036 00000311
2022-04-07 19:02:40.174338 False [   19289.481393] 0003 0035 00000473
2022-04-07 19:02:40.174338 False [   19289.481393] 0003 0036 00000313
2022-04-07 19:02:40.181387 False [   19289.489611] 0003 0035 0000046f
2022-04-07 19:02:40.181387 False [   19289.489611] 0003 0036 00000316
2022-04-07 19:02:40.189042 False [   19289.497959] 0003 0035 0000046b
2022-04-07 19:02:40.189042 False [   19289.497959] 0003 0036 0000031a
2022-04-07 19:02:40.198709 False [   19289.506194] 0003 0035 00000467
2022-04-07 19:02:40.198709 False [   19289.506194] 0003 0036 0000031e
2022-04-07 19:02:40.206419 False [   19289.514646] 0003 0035 00000461
2022-04-07 19:02:40.206419 False [   19289.514646] 0003 0036 00000321
2022-04-07 19:02:40.215715 False [   19289.522845] 0003 0035 0000045d
2022-04-07 19:02:40.215715 False [   19289.522845] 0003 0036 00000324
2022-04-07 19:02:40.225092 False [   19289.531288] 0003 0035 00000459
2022-04-07 19:02:40.225092 False [   19289.531288] 0003 0036 00000328
2022-04-07 19:02:40.233287 False [   19289.539442] 0003 0035 00000452
2022-04-07 19:02:40.233287 False [   19289.539442] 0003 0036 0000032c
2022-04-07 19:02:40.240416 False [   19289.547891] 0003 0035 0000044c
2022-04-07 19:02:40.240416 False [   19289.547891] 0003 0036 0000032e
2022-04-07 19:02:40.250345 False [   19289.556063] 0003 0035 00000447
2022-04-07 19:02:40.250345 True [   19289.556063] 0003 0036 00000331
2022-04-07 19:02:40.258286 True [   19289.564611] 0003 0035 00000443
2022-04-07 19:02:40.258286 True [   19289.564611] 0003 0036 00000334
2022-04-07 19:02:40.266992 True [   19289.572702] 0003 0035 0000043f
2022-04-07 19:02:40.266992 True [   19289.572702] 0003 0036 00000336
2022-04-07 19:02:40.273619 True [   19289.581166] 0003 0035 0000043c
2022-04-07 19:02:40.273619 True [   19289.581166] 0003 0036 00000339
2022-04-07 19:02:40.283890 True [   19289.589269] 0003 0035 0000043a
2022-04-07 19:02:40.283890 True [   19289.589269] 0003 0036 0000033b
2022-04-07 19:02:40.290043 True [   19289.597773] 0003 0035 00000438
2022-04-07 19:02:40.290043 True [   19289.597773] 0003 0036 0000033c
2022-04-07 19:02:40.300388 True [   19289.605932] 0003 0035 00000436
2022-04-07 19:02:40.300388 True [   19289.605932] 0003 0036 0000033d
2022-04-07 19:02:40.315485 True [   19289.614805] 0003 0036 0000033e
2022-04-07 19:02:40.325583 True [   19289.622544] 0003 0035 00000435
2022-04-07 19:02:40.341438 True [   19289.631015] 0003 0035 00000434
2022-04-07 19:02:40.349370 True [   19289.639180] 0003 0035 00000433
2022-04-07 19:02:40.349370 True [   19289.647677] 0003 0036 0000033f
2022-04-07 19:02:40.356922 True [   19289.655809] 0003 0035 00000435
2022-04-07 19:02:40.356922 True [   19289.655809] 0003 0036 0000033b
2022-04-07 19:02:40.360297 True [   19289.664251] 0003 0035 00000436
2022-04-07 19:02:40.360297 True [   19289.664251] 0003 0036 00000338
2022-04-07 19:02:40.372578 True [   19289.672515] 0003 0035 00000437
2022-04-07 19:02:40.372578 True [   19289.672515] 0003 0036 00000335
2022-04-07 19:02:40.380270 True [   19289.680865] 0003 0035 0000043a
2022-04-07 19:02:40.380270 True [   19289.680865] 0003 0036 00000330
2022-04-07 19:02:40.384264 True [   19289.689069] 0003 0035 0000043d
2022-04-07 19:02:40.384264 True [   19289.689069] 0003 0036 0000032b
2022-04-07 19:02:40.390345 False [   19289.697522] 0003 0035 00000440
2022-04-07 19:02:40.390345 False [   19289.697522] 0003 0036 00000327
2022-04-07 19:02:40.398019 False [   19289.705657] 0003 0035 00000444
2022-04-07 19:02:40.400020 False [   19289.705657] 0003 0036 0000031f
2022-04-07 19:02:40.408475 False [   19289.714080] 0003 0035 00000448
2022-04-07 19:02:40.408475 False [   19289.714080] 0003 0036 00000319
2022-04-07 19:02:40.414108 False [   19289.722276] 0003 0035 0000044a
2022-04-07 19:02:40.414108 False [   19289.722276] 0003 0036 00000314
2022-04-07 19:02:40.423816 False [   19289.730756] 0003 0035 0000044c
2022-04-07 19:02:40.423816 False [   19289.730756] 0003 0036 00000310
2022-04-07 19:02:40.431320 False [   19289.738891] 0003 0035 0000044e
2022-04-07 19:02:40.431320 False [   19289.738891] 0003 0036 0000030d
2022-04-07 19:02:40.441396 False [   19289.747342] 0003 0035 0000044f
2022-04-07 19:02:40.441396 False [   19289.747342] 0003 0036 0000030a
2022-04-07 19:02:40.449790 False [   19289.755483] 0003 0036 00000309
2022-04-07 19:02:40.466086 False [   19289.763927] 0003 0036 00000307
2022-04-07 19:02:40.472877 False [   19289.772372] 0003 0036 00000306
2022-04-07 19:02:40.472877 False [   19289.780615] 0003 0035 00000450
2022-04-07 19:02:40.472877 False [   19289.780615] 0003 0036 00000304
2022-04-07 19:02:40.514603 False [   19289.813728] 0003 0036 00000303
2022-04-07 19:02:40.524331 False [   19289.822019] 0003 0035 00000451
2022-04-07 19:02:40.524331 False [   19289.822019] 0003 0036 00000301
2022-04-07 19:02:40.533515 False [   19289.830484] 0003 0036 00000300
2022-04-07 19:02:40.539771 False [   19289.838705] 0003 0036 000002ff
2022-04-07 19:02:40.548212 False [   19289.847053] 0003 0035 00000452
2022-04-07 19:02:40.548212 False [   19289.847053] 0003 0036 000002fc
2022-04-07 19:02:40.551389 False [   19289.855331] 0003 0035 00000453
