Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.6624202323168413 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 14:15:13.590677 False [     306.019109] 0003 0035 00000498
2022-04-06 14:15:13.592029 False [     306.019109] 0003 0036 000003a5
2022-04-06 14:15:13.599492 False [     306.027594] 0003 0036 000003a8
2022-04-06 14:15:13.607537 False [     306.035833] 0003 0036 000003ab
2022-04-06 14:15:13.616514 False [     306.044306] 0003 0036 000003ae
2022-04-06 14:15:13.624493 False [     306.052522] 0003 0036 000003b1
2022-04-06 14:15:13.632560 False [     306.060895] 0003 0036 000003b4
2022-04-06 14:15:13.640723 False [     306.069166] 0003 0036 000003b5
2022-04-06 14:15:13.648609 False [     306.077599] 0003 0036 000003b8
2022-04-06 14:15:13.656903 False [     306.085819] 0003 0036 000003b9
2022-04-06 14:15:13.665682 False [     306.094278] 0003 0036 000003ba
2022-04-06 14:15:13.673730 False [     306.102495] 0003 0036 000003bb
2022-04-06 14:15:13.682392 False [     306.110929] 0003 0036 000003bc
2022-04-06 14:15:13.690678 False [     306.119252] 0003 0036 000003bd
2022-04-06 14:15:13.699140 False [     306.127648] 0003 0036 000003be
2022-04-06 14:15:13.707077 False [     306.135814] 0003 0036 000003bf
2022-04-06 14:15:13.740677 False [     306.169117] 0003 0036 000003c0
2022-04-06 14:15:13.790681 False [     306.219173] 0003 0035 00000497
2022-04-06 14:15:13.799137 False [     306.227672] 0003 0036 000003bf
2022-04-06 14:15:13.807837 False [     306.235855] 0003 0036 000003be
2022-04-06 14:15:13.814652 False [     306.243771] 0003 0035 00000496
2022-04-06 14:15:13.815599 False [     306.243771] 0003 0036 000003bb
2022-04-06 14:15:13.824936 False [     306.252002] 0003 0035 00000497
2022-04-06 14:15:13.824936 False [     306.252002] 0003 0036 000003bc
2022-04-06 14:15:13.832322 False [     306.260530] 0003 0036 000003bb
2022-04-06 14:15:13.840682 False [     306.268707] 0003 0035 00000498
2022-04-06 14:15:13.849667 False [     306.277154] 0003 0035 0000049a
2022-04-06 14:15:13.849667 False [     306.277154] 0003 0036 000003ba
2022-04-06 14:15:13.857314 False [     306.285433] 0003 0036 000003bb
2022-04-06 14:15:13.865348 False [     306.293900] 0003 0035 000004ac
2022-04-06 14:15:13.865348 False [     306.293900] 0003 0036 000003b0
2022-04-06 14:15:13.876916 False [     306.302057] 0003 0035 000004a8
2022-04-06 14:15:13.876916 False [     306.302057] 0003 0036 000003b3
2022-04-06 14:15:14.097459 False [     306.518615] 0003 0035 00000449
2022-04-06 14:15:14.097459 False [     306.518615] 0003 0036 000003a0
2022-04-06 14:15:14.132208 False [     306.560694] 0003 0035 00000446
2022-04-06 14:15:14.133175 False [     306.560694] 0003 0036 0000039c
2022-04-06 14:15:14.139690 False [     306.568928] 0003 0035 00000444
2022-04-06 14:15:14.139690 False [     306.568928] 0003 0036 0000039a
2022-04-06 14:15:14.149489 False [     306.577316] 0003 0035 00000443
2022-04-06 14:15:14.149489 False [     306.577316] 0003 0036 00000397
2022-04-06 14:15:14.156875 False [     306.585578] 0003 0035 00000441
2022-04-06 14:15:14.156875 False [     306.585578] 0003 0036 00000395
2022-04-06 14:15:14.164674 False [     306.594058] 0003 0035 0000043f
2022-04-06 14:15:14.164674 False [     306.594058] 0003 0036 0000038f
2022-04-06 14:15:14.173409 False [     306.602284] 0003 0035 0000043d
2022-04-06 14:15:14.173409 False [     306.602284] 0003 0036 00000389
2022-04-06 14:15:14.181670 False [     306.610663] 0003 0036 00000386
2022-04-06 14:15:14.191735 False [     306.618962] 0003 0035 0000043b
2022-04-06 14:15:14.191735 False [     306.618962] 0003 0036 00000384
2022-04-06 14:15:14.199390 False [     306.627363] 0003 0035 00000439
2022-04-06 14:15:14.199390 False [     306.627363] 0003 0036 0000037e
2022-04-06 14:15:14.207141 False [     306.635546] 0003 0035 00000437
2022-04-06 14:15:14.207141 False [     306.635546] 0003 0036 00000379
2022-04-06 14:15:14.215529 False [     306.643999] 0003 0035 00000436
2022-04-06 14:15:14.215529 False [     306.643999] 0003 0036 00000375
2022-04-06 14:15:14.223464 False [     306.652394] 0003 0035 00000435
2022-04-06 14:15:14.223464 False [     306.652394] 0003 0036 00000373
2022-04-06 14:15:14.232339 False [     306.660812] 0003 0036 00000371
2022-04-06 14:15:14.240625 False [     306.668982] 0003 0035 00000432
2022-04-06 14:15:14.240625 False [     306.668982] 0003 0036 0000036b
2022-04-06 14:15:14.249050 False [     306.677384] 0003 0035 00000430
2022-04-06 14:15:14.249050 False [     306.677384] 0003 0036 00000367
2022-04-06 14:15:14.256518 False [     306.685547] 0003 0035 0000042f
2022-04-06 14:15:14.256518 False [     306.685547] 0003 0036 00000364
2022-04-06 14:15:14.264954 False [     306.694025] 0003 0035 0000042d
2022-04-06 14:15:14.264954 False [     306.694025] 0003 0036 00000361
2022-04-06 14:15:14.273700 False [     306.702323] 0003 0035 0000042b
2022-04-06 14:15:14.273700 False [     306.702323] 0003 0036 0000035b
2022-04-06 14:15:14.280837 False [     306.710711] 0003 0035 00000428
2022-04-06 14:15:14.281837 False [     306.710711] 0003 0036 00000356
2022-04-06 14:15:14.289767 False [     306.719046] 0003 0035 00000427
2022-04-06 14:15:14.289767 False [     306.719046] 0003 0036 00000353
2022-04-06 14:15:14.298640 False [     306.727414] 0003 0035 00000426
2022-04-06 14:15:14.298640 False [     306.727414] 0003 0036 00000350
2022-04-06 14:15:14.307657 False [     306.735617] 0003 0035 00000423
2022-04-06 14:15:14.307657 False [     306.735617] 0003 0036 0000034a
2022-04-06 14:15:14.315515 False [     306.744051] 0003 0035 00000421
2022-04-06 14:15:14.315515 False [     306.744051] 0003 0036 00000345
2022-04-06 14:15:14.323308 False [     306.752293] 0003 0035 0000041f
2022-04-06 14:15:14.323308 False [     306.752293] 0003 0036 00000341
2022-04-06 14:15:14.331372 False [     306.760749] 0003 0035 0000041e
2022-04-06 14:15:14.331372 False [     306.760749] 0003 0036 0000033e
2022-04-06 14:15:14.339666 False [     306.768929] 0003 0035 0000041d
2022-04-06 14:15:14.339666 False [     306.768929] 0003 0036 0000033d
2022-04-06 14:15:14.348229 False [     306.777351] 0003 0036 0000033b
2022-04-06 14:15:14.356405 False [     306.785717] 0003 0035 00000418
2022-04-06 14:15:14.356405 False [     306.785717] 0003 0036 00000336
