Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.23816853657635756 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:59:27.804243 False [  159890.845428] 0003 0035 0000052f
2022-04-02 17:59:27.804243 False [  159890.845428] 0003 0036 000006de
2022-04-02 17:59:27.804243 False [  159890.850615] 0003 0035 0000052c
2022-04-02 17:59:27.804243 False [  159890.850615] 0003 0036 000006e4
2022-04-02 17:59:27.804243 False [  159890.857288] 0003 0035 00000529
2022-04-02 17:59:27.804243 False [  159890.857288] 0003 0036 000006eb
2022-04-02 17:59:27.804243 False [  159890.870189] 0003 0035 00000527
2022-04-02 17:59:27.804243 False [  159890.870189] 0003 0036 000006ef
2022-04-02 17:59:27.804243 False [  159890.878789] 0003 0035 00000525
2022-04-02 17:59:27.804243 False [  159890.878789] 0003 0036 000006f3
2022-04-02 17:59:27.804243 False [  159890.890298] 0003 0036 000006f5
2022-04-02 17:59:27.811370 False [  159890.902614] 0003 0036 000006f7
2022-04-02 17:59:27.811370 False [  159890.915324] 0003 0036 000006f9
2022-04-02 17:59:27.811370 False [  159890.932101] 0003 0036 000006fa
2022-04-02 17:59:27.916390 False [  159890.982179] 0003 0035 00000526
2022-04-02 17:59:27.979573 False [  159890.998677] 0003 0035 00000527
2022-04-02 17:59:27.979573 False [  159891.015314] 0003 0035 00000528
2022-04-02 17:59:27.979573 False [  159891.028999] 0003 0035 00000529
2022-04-02 17:59:27.979573 False [  159891.043293] 0003 0036 000006f9
2022-04-02 17:59:27.979573 False [  159891.056547] 0003 0035 0000052d
2022-04-02 17:59:27.979573 False [  159891.056547] 0003 0036 000006f2
2022-04-02 17:59:28.051209 False [  159891.065390] 0003 0035 00000533
2022-04-02 17:59:28.051209 False [  159891.065390] 0003 0036 000006db
2022-04-02 17:59:28.051209 False [  159891.077264] 0003 0035 00000535
2022-04-02 17:59:28.051209 False [  159891.077264] 0003 0036 000006cb
2022-04-02 17:59:28.051209 False [  159891.088742] 0003 0035 00000538
2022-04-02 17:59:28.051209 False [  159891.088742] 0003 0036 000006b8
2022-04-02 17:59:28.051209 False [  159891.097019] 0003 0035 0000053a
2022-04-02 17:59:28.051209 False [  159891.097019] 0003 0036 000006a4
2022-04-02 17:59:28.051209 False [  159891.105815] 0003 0035 0000053d
2022-04-02 17:59:28.051209 False [  159891.105815] 0003 0036 0000068a
2022-04-02 17:59:28.051209 False [  159891.112325] 0003 0035 0000053f
2022-04-02 17:59:28.051209 False [  159891.112325] 0003 0036 00000671
2022-04-02 17:59:28.051209 False [  159891.119080] 0003 0035 00000542
2022-04-02 17:59:28.051209 False [  159891.119080] 0003 0036 00000653
2022-04-02 17:59:28.128177 False [  159891.132070] 0003 0035 00000546
2022-04-02 17:59:28.128177 False [  159891.132070] 0003 0036 0000063a
2022-04-02 17:59:28.128177 False [  159891.143971] 0003 0035 0000054d
2022-04-02 17:59:28.128177 False [  159891.143971] 0003 0036 0000060a
2022-04-02 17:59:28.128177 False [  159891.157733] 0003 0035 00000550
2022-04-02 17:59:28.128177 False [  159891.157733] 0003 0036 000005f1
2022-04-02 17:59:28.128177 False [  159891.165001] 0003 0035 0000055d
2022-04-02 17:59:28.128177 False [  159891.165001] 0003 0036 000005bb
2022-04-02 17:59:28.128177 False [  159891.178218] 0003 0035 00000562
2022-04-02 17:59:28.128177 False [  159891.178218] 0003 0036 000005a2
2022-04-02 17:59:28.128177 False [  159891.187090] 0003 0035 00000566
2022-04-02 17:59:28.128177 False [  159891.187090] 0003 0036 0000058a
2022-04-02 17:59:28.128177 False [  159891.193124] 0003 0035 00000569
2022-04-02 17:59:28.128177 False [  159891.193124] 0003 0036 00000571
2022-04-02 17:59:28.215118 False [  159891.198259] 0003 0035 0000056d
2022-04-02 17:59:28.215118 False [  159891.198259] 0003 0036 0000055a
2022-04-02 17:59:28.215118 False [  159891.211364] 0003 0035 0000056e
2022-04-02 17:59:28.215118 False [  159891.211364] 0003 0036 00000548
