Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.7653129007762625 
    wm_size = [1200 1920] 
    stim_amp = 3 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-16 15:12:58.203158 False [   18555.294121] 0003 0035 00000337
2022-03-16 15:12:58.203158 True [   18555.294121] 0003 0036 00000220
2022-03-16 15:12:58.218839 True [   18555.310914] 0003 0035 00000332
2022-03-16 15:12:58.219872 True [   18555.310914] 0003 0036 0000021e
2022-03-16 15:12:58.237995 True [   18555.328461] 0003 0035 0000032d
2022-03-16 15:12:58.237995 True [   18555.328461] 0003 0036 0000021c
2022-03-16 15:12:58.254680 True [   18555.345391] 0003 0035 00000329
2022-03-16 15:12:58.254680 True [   18555.345391] 0003 0036 0000021a
2022-03-16 15:12:58.270943 True [   18555.362071] 0003 0035 00000329
2022-03-16 15:12:58.270943 True [   18555.362071] 0003 0036 0000021a
2022-03-16 15:12:58.287554 True [   18555.378841] 0003 0035 00000325
2022-03-16 15:12:58.287554 True [   18555.378841] 0003 0036 00000217
2022-03-16 15:12:58.303332 True [   18555.395517] 0003 0035 00000325
2022-03-16 15:12:58.303332 True [   18555.395517] 0003 0036 00000217
2022-03-16 15:12:58.320555 True [   18555.412533] 0003 0035 00000320
2022-03-16 15:12:58.321553 True [   18555.412533] 0003 0036 00000212
2022-03-16 15:12:58.338520 True [   18555.429794] 0003 0035 00000320
2022-03-16 15:12:58.338520 True [   18555.429794] 0003 0036 00000212
2022-03-16 15:12:58.355053 True [   18555.446076] 0003 0035 0000031c
2022-03-16 15:12:58.356041 True [   18555.446076] 0003 0036 0000020e
2022-03-16 15:12:58.371993 True [   18555.463371] 0003 0035 0000031c
2022-03-16 15:12:58.371993 True [   18555.463371] 0003 0036 0000020e
2022-03-16 15:12:58.389943 True [   18555.480461] 0003 0035 00000318
2022-03-16 15:12:58.389943 True [   18555.480461] 0003 0036 0000020a
2022-03-16 15:12:58.405909 True [   18555.497471] 0003 0035 00000318
2022-03-16 15:12:58.405909 True [   18555.497471] 0003 0036 0000020a
2022-03-16 15:12:58.422852 True [   18555.514445] 0003 0035 00000316
2022-03-16 15:12:58.422852 True [   18555.514445] 0003 0036 00000206
2022-03-16 15:12:58.439821 True [   18555.531040] 0003 0035 00000316
2022-03-16 15:12:58.439821 True [   18555.531040] 0003 0036 00000206
2022-03-16 15:12:58.456332 True [   18555.547740] 0003 0035 00000316
2022-03-16 15:12:58.457330 True [   18555.547740] 0003 0036 00000206
2022-03-16 15:12:58.473371 True [   18555.564830] 0003 0035 00000313
2022-03-16 15:12:58.473371 True [   18555.564830] 0003 0036 00000202
2022-03-16 15:12:58.490599 True [   18555.581772] 0003 0035 00000313
2022-03-16 15:12:58.491633 True [   18555.581772] 0003 0036 00000202
2022-03-16 15:12:58.507112 True [   18555.598897] 0003 0035 00000311
2022-03-16 15:12:58.507112 True [   18555.598897] 0003 0036 000001fe
2022-03-16 15:12:58.525064 True [   18555.616119] 0003 0035 00000311
2022-03-16 15:12:58.525064 True [   18555.616119] 0003 0036 000001fe
2022-03-16 15:12:58.543017 True [   18555.632767] 0003 0035 00000311
2022-03-16 15:12:58.543017 True [   18555.632767] 0003 0036 000001fe
2022-03-16 15:12:58.557002 True [   18555.649597] 0003 0035 00000311
2022-03-16 15:12:58.557002 True [   18555.649597] 0003 0036 000001fe
2022-03-16 15:12:58.575952 True [   18555.666572] 0003 0035 00000311
2022-03-16 15:12:58.575952 True [   18555.666572] 0003 0036 000001fe
2022-03-16 15:12:58.592844 True [   18555.683682] 0003 0035 00000311
2022-03-16 15:12:58.592844 True [   18555.683682] 0003 0036 000001fe
2022-03-16 15:12:58.608455 True [   18555.700961] 0003 0035 00000311
2022-03-16 15:12:58.609439 True [   18555.700961] 0003 0036 000001fe
2022-03-16 15:12:58.627407 True [   18555.718172] 0003 0035 00000311
2022-03-16 15:12:58.627407 True [   18555.718172] 0003 0036 000001fe
2022-03-16 15:12:58.644387 True [   18555.734938] 0003 0035 00000311
2022-03-16 15:12:58.644387 True [   18555.734938] 0003 0036 000001fe
2022-03-16 15:12:58.660639 True [   18555.752044] 0003 0035 00000311
2022-03-16 15:12:58.660639 True [   18555.752044] 0003 0036 000001fe
2022-03-16 15:12:58.676593 True [   18555.768405] 0003 0035 00000311
2022-03-16 15:12:58.676593 True [   18555.768405] 0003 0036 000001fe
2022-03-16 15:12:58.693597 True [   18555.785344] 0003 0035 00000311
2022-03-16 15:12:58.694597 True [   18555.785344] 0003 0036 000001fe
2022-03-16 15:12:58.711096 True [   18555.801959] 0003 0035 00000311
2022-03-16 15:12:58.711096 True [   18555.801959] 0003 0036 000001fe
2022-03-16 15:12:58.728834 True [   18555.819690] 0003 0035 00000311
2022-03-16 15:12:58.728834 True [   18555.819690] 0003 0036 000001fe
2022-03-16 15:12:58.745101 True [   18555.836100] 0003 0035 00000311
2022-03-16 15:12:58.745101 True [   18555.836100] 0003 0036 000001fe
2022-03-16 15:12:58.761149 True [   18555.853097] 0003 0035 00000311
2022-03-16 15:12:58.761149 True [   18555.853097] 0003 0036 000001fe
2022-03-16 15:12:58.777201 True [   18555.869590] 0003 0035 00000311
2022-03-16 15:12:58.778199 True [   18555.869590] 0003 0036 000001fe
2022-03-16 15:12:58.796286 True [   18555.886890] 0003 0035 00000311
2022-03-16 15:12:58.796286 True [   18555.886890] 0003 0036 000001fe
2022-03-16 15:12:58.811455 True [   18555.903763] 0003 0035 00000311
2022-03-16 15:12:58.811455 True [   18555.903763] 0003 0036 000001fe
2022-03-16 15:12:58.829395 True [   18555.920983] 0003 0035 00000311
2022-03-16 15:12:58.829395 True [   18555.920983] 0003 0036 000001fe
2022-03-16 15:12:58.845341 True [   18555.937613] 0003 0035 00000311
2022-03-16 15:12:58.845341 True [   18555.937613] 0003 0036 000001fe
2022-03-16 15:12:58.864316 True [   18555.955177] 0003 0035 00000311
2022-03-16 15:12:58.864316 True [   18555.955177] 0003 0036 000001fe
2022-03-16 15:12:58.864316 True [   18555.955177] 0003 0035 0000030e
2022-03-16 15:12:58.864316 True [   18555.955177] 0003 0036 000000da
2022-03-16 15:12:58.880260 True [   18555.971541] 0003 0035 00000311
2022-03-16 15:12:58.880260 True [   18555.971541] 0003 0036 000001fe
2022-03-16 15:12:58.880260 True [   18555.971541] 0003 0035 0000030e
2022-03-16 15:12:58.880260 True [   18555.971541] 0003 0036 000000d2
2022-03-16 15:12:58.897542 True [   18555.988661] 0003 0035 00000311
2022-03-16 15:12:58.897542 True [   18555.988661] 0003 0036 000001fe
2022-03-16 15:12:58.897542 True [   18555.988661] 0003 0035 0000030e
2022-03-16 15:12:58.897542 True [   18555.988661] 0003 0036 000000e4
2022-03-16 15:12:58.914352 True [   18556.006241] 0003 0035 00000311
2022-03-16 15:12:58.914352 True [   18556.006241] 0003 0036 000001fe
2022-03-16 15:12:58.914352 True [   18556.006241] 0003 0035 0000030e
2022-03-16 15:12:58.914352 True [   18556.006241] 0003 0036 0000010c
2022-03-16 15:12:58.931024 True [   18556.022453] 0003 0035 00000311
2022-03-16 15:12:58.931024 True [   18556.022453] 0003 0036 000001fe
2022-03-16 15:12:58.946663 True [   18556.038908] 0003 0035 00000311
2022-03-16 15:12:58.946663 True [   18556.038908] 0003 0036 000001fe
2022-03-16 15:12:58.964838 True [   18556.056320] 0003 0035 00000311
2022-03-16 15:12:58.964838 True [   18556.056320] 0003 0036 000001fe
2022-03-16 15:12:58.982042 True [   18556.073520] 0003 0035 00000311
2022-03-16 15:12:58.982042 True [   18556.073520] 0003 0036 000001fe
2022-03-16 15:12:58.998150 True [   18556.090222] 0003 0035 00000311
2022-03-16 15:12:58.998150 True [   18556.090222] 0003 0036 000001fe
2022-03-16 15:12:59.015592 True [   18556.107420] 0003 0035 00000311
2022-03-16 15:12:59.015592 True [   18556.107420] 0003 0036 000001fe
