Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.13546263185060836 
    wm_size = [1600 2560] 
    stim_amp = 4 
    baseline_stim = 1
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:22:12.998067 False [     725.419743] 0003 0035 0000042e
2022-04-06 14:22:12.998067 False [     725.419743] 0003 0036 00000377
2022-04-06 14:22:13.006401 False [     725.427962] 0003 0035 0000042d
2022-04-06 14:22:13.006401 False [     725.427962] 0003 0036 00000378
2022-04-06 14:22:13.016858 False [     725.436467] 0003 0035 0000042c
2022-04-06 14:22:13.016858 False [     725.436467] 0003 0036 00000379
2022-04-06 14:22:13.022564 False [     725.444724] 0003 0035 0000042b
2022-04-06 14:22:13.022564 False [     725.444724] 0003 0036 0000037a
2022-04-06 14:22:13.031650 False [     725.453056] 0003 0035 0000042a
2022-04-06 14:22:13.031650 False [     725.453056] 0003 0036 0000037c
2022-04-06 14:22:13.049397 False [     725.469723] 0003 0035 00000429
2022-04-06 14:22:13.049397 False [     725.469723] 0003 0036 0000037e
2022-04-06 14:22:13.057773 False [     725.477985] 0003 0035 00000428
2022-04-06 14:22:13.057773 False [     725.477985] 0003 0036 00000380
2022-04-06 14:22:13.065291 False [     725.486388] 0003 0036 00000383
2022-04-06 14:22:13.073504 False [     725.494617] 0003 0036 00000386
2022-04-06 14:22:13.080676 False [     725.503028] 0003 0036 00000389
2022-04-06 14:22:13.089689 False [     725.511244] 0003 0035 00000427
2022-04-06 14:22:13.089689 False [     725.511244] 0003 0036 0000038b
2022-04-06 14:22:13.098698 False [     725.519737] 0003 0036 0000038e
2022-04-06 14:22:13.106464 False [     725.527916] 0003 0036 00000390
2022-04-06 14:22:13.114548 False [     725.536484] 0003 0036 00000394
2022-04-06 14:22:13.122584 False [     725.544620] 0003 0035 00000426
2022-04-06 14:22:13.122584 False [     725.544620] 0003 0036 00000396
2022-04-06 14:22:13.130673 False [     725.553038] 0003 0036 00000399
2022-04-06 14:22:13.138730 False [     725.561324] 0003 0036 0000039c
2022-04-06 14:22:13.147613 False [     725.569753] 0003 0036 0000039f
2022-04-06 14:22:13.156658 False [     725.577945] 0003 0036 000003a2
2022-04-06 14:22:13.164397 False [     725.586410] 0003 0036 000003a4
2022-04-06 14:22:13.172737 False [     725.594629] 0003 0036 000003a7
2022-04-06 14:22:13.180678 False [     725.603146] 0003 0036 000003aa
2022-04-06 14:22:13.189342 False [     725.611259] 0003 0035 00000425
2022-04-06 14:22:13.189342 False [     725.611259] 0003 0036 000003ad
2022-04-06 14:22:13.197712 False [     725.619747] 0003 0036 000003b0
2022-04-06 14:22:13.206547 False [     725.627944] 0003 0035 00000424
2022-04-06 14:22:13.206547 False [     725.627944] 0003 0036 000003b4
2022-04-06 14:22:13.213978 False [     725.636387] 0003 0036 000003b6
2022-04-06 14:22:13.223611 False [     725.644641] 0003 0035 00000423
2022-04-06 14:22:13.223611 False [     725.644641] 0003 0036 000003b9
2022-04-06 14:22:13.231576 False [     725.653159] 0003 0035 00000422
2022-04-06 14:22:13.231576 False [     725.653159] 0003 0036 000003bb
2022-04-06 14:22:13.239033 False [     725.661284] 0003 0035 00000421
2022-04-06 14:22:13.239033 False [     725.661284] 0003 0036 000003bd
2022-04-06 14:22:13.248180 False [     725.669758] 0003 0036 000003bf
2022-04-06 14:22:13.256165 False [     725.677962] 0003 0036 000003c1
2022-04-06 14:22:13.263793 False [     725.686382] 0003 0036 000003c4
2022-04-06 14:22:13.281406 False [     725.703090] 0003 0035 00000420
2022-04-06 14:22:13.281406 False [     725.703090] 0003 0036 000003c7
