Mode = area stim
    verts = 5 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.6310691985003918 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 17:10:03.694369 False [   25581.130411] 0003 0036 0000027c
2022-03-16 17:10:03.710892 False [   25581.147052] 0003 0035 00000379
2022-03-16 17:10:03.710892 False [   25581.147052] 0003 0036 00000283
2022-03-16 17:10:03.727714 False [   25581.163907] 0003 0035 00000372
2022-03-16 17:10:03.727714 False [   25581.163907] 0003 0036 00000289
2022-03-16 17:10:03.745193 False [   25581.181476] 0003 0035 0000036e
2022-03-16 17:10:03.745193 False [   25581.181476] 0003 0036 0000028d
2022-03-16 17:10:03.762199 False [   25581.197970] 0003 0035 0000036e
2022-03-16 17:10:03.762199 False [   25581.197970] 0003 0036 0000028d
2022-03-16 17:10:03.778450 False [   25581.215219] 0003 0035 0000036e
2022-03-16 17:10:03.778450 False [   25581.215219] 0003 0036 0000028d
2022-03-16 17:10:03.796534 False [   25581.231990] 0003 0035 0000036e
2022-03-16 17:10:03.796534 False [   25581.231990] 0003 0036 0000028d
2022-03-16 17:10:05.084292 False [   25582.520400] 0003 0035 000001ed
2022-03-16 17:10:05.084292 False [   25582.520400] 0003 0036 00000290
2022-03-16 17:10:05.101280 False [   25582.537550] 0003 0035 000001ed
2022-03-16 17:10:05.101280 False [   25582.537550] 0003 0036 00000290
2022-03-16 17:10:05.117473 False [   25582.553784] 0003 0035 000001ed
2022-03-16 17:10:05.117473 False [   25582.553784] 0003 0036 00000290
2022-03-16 17:10:05.135385 False [   25582.571343] 0003 0035 000001ed
2022-03-16 17:10:05.135385 False [   25582.571343] 0003 0036 00000290
2022-03-16 17:10:05.150488 False [   25582.586966] 0003 0035 000001ed
2022-03-16 17:10:05.150488 False [   25582.586966] 0003 0036 00000290
2022-03-16 17:10:05.167246 False [   25582.603650] 0003 0035 000001ed
2022-03-16 17:10:05.167246 False [   25582.603650] 0003 0036 00000290
2022-03-16 17:10:05.185159 False [   25582.620893] 0003 0035 000001ed
2022-03-16 17:10:05.185159 False [   25582.620893] 0003 0036 00000290
2022-03-16 17:10:05.200686 False [   25582.637643] 0003 0035 000001ed
