Mode = area stim
    verts = 5 
    radius = 550 
    center = (600, 960) 
    first_angle = 2.163244089264183 
    wm_size = [1200 1920] 
    stim_amp = 5 
    baseline_stim = 5
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 16:25:51.341182 False [   90674.160078] 0003 0035 0000016b
2022-03-10 16:25:51.358135 False [   90674.177010] 0003 0035 0000016f
2022-03-10 16:25:51.377320 False [   90674.193922] 0003 0035 00000173
2022-03-10 16:25:51.393516 False [   90674.210905] 0003 0035 00000178
2022-03-10 16:25:51.408319 False [   90674.227844] 0003 0035 0000017d
2022-03-10 16:25:51.425093 False [   90674.244763] 0003 0035 00000181
2022-03-10 16:25:51.441879 False [   90674.261720] 0003 0035 00000185
2022-03-10 16:25:51.460659 False [   90674.278952] 0003 0035 00000185
2022-03-10 16:25:51.475781 False [   90674.295604] 0003 0035 00000189
2022-03-10 16:25:51.492942 False [   90674.312584] 0003 0035 00000189
2022-03-10 16:25:51.510756 False [   90674.329509] 0003 0035 00000189
2022-03-10 16:25:51.527546 False [   90674.346792] 0003 0035 00000189
2022-03-10 16:25:51.544321 False [   90674.363341] 0003 0035 00000189
2022-03-10 16:25:51.563066 False [   90674.380772] 0003 0035 0000018c
2022-03-10 16:25:51.578441 False [   90674.397379] 0003 0035 0000018c
2022-03-10 16:25:51.596943 False [   90674.414246] 0003 0035 0000018f
2022-03-10 16:25:51.616838 False [   90674.431121] 0003 0035 0000018f
2022-03-10 16:25:51.631771 False [   90674.448089] 0003 0035 0000018f
2022-03-10 16:25:51.644602 False [   90674.465051] 0003 0035 00000193
2022-03-10 16:25:51.662909 False [   90674.482255] 0003 0035 00000193
2022-03-10 16:25:51.680476 False [   90674.498979] 0003 0035 00000193
2022-03-10 16:25:51.697360 False [   90674.516000] 0003 0035 00000193
2022-03-10 16:25:51.713914 False [   90674.532754] 0003 0035 00000193
2022-03-10 16:25:51.730232 False [   90674.549683] 0003 0035 00000196
2022-03-10 16:25:51.747266 False [   90674.566685] 0003 0035 00000196
2022-03-10 16:25:51.764496 False [   90674.583856] 0003 0035 00000196
2022-03-10 16:25:51.783634 False [   90674.600598] 0003 0035 00000196
2022-03-10 16:25:51.799635 False [   90674.617598] 0003 0035 0000019a
2022-03-10 16:25:51.816223 False [   90674.634362] 0003 0035 0000019a
2022-03-10 16:25:51.831646 False [   90674.651426] 0003 0035 0000019a
2022-03-10 16:25:51.851160 False [   90674.668295] 0003 0035 0000019a
2022-03-10 16:25:51.866941 False [   90674.685601] 0003 0035 0000019e
2022-03-10 16:25:51.884140 False [   90674.702301] 0003 0035 0000019e
2022-03-10 16:25:51.900239 False [   90674.719213] 0003 0035 0000019e
2022-03-10 16:25:51.918335 False [   90674.736161] 0003 0035 000001a2
2022-03-10 16:25:51.934662 False [   90674.753028] 0003 0035 000001a2
2022-03-10 16:25:51.950214 False [   90674.770022] 0003 0035 000001a2
2022-03-10 16:25:51.968348 False [   90674.787331] 0003 0035 000001a2
2022-03-10 16:25:51.985348 False [   90674.803911] 0003 0035 000001a2
