Mode = area stim
        verts = 4 
        radius = 550 
        center = (800, 1280) 
        first_angle = 0.9984720627895423 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 1
        ===============================
2022-04-07 19:13:40.247443 False [   19949.492612] 0003 0035 000000f8
2022-04-07 19:13:40.247443 False [   19949.492612] 0003 0036 0000018a
2022-04-07 19:13:40.247443 False [   19949.501784] 0003 0035 000000e5
2022-04-07 19:13:40.247443 False [   19949.501784] 0003 0036 00000189
2022-04-07 19:13:40.306736 False [   19949.510287] 0003 0035 000000dd
2022-04-07 19:13:40.306736 False [   19949.521572] 0003 0035 000000d2
2022-04-07 19:13:40.306736 False [   19949.530461] 0003 0035 000000ca
2022-04-07 19:13:40.306736 False [   19949.539245] 0003 0035 000000be
2022-04-07 19:13:40.306736 False [   19949.549431] 0003 0035 000000b6
2022-04-07 19:13:40.352452 False [   19949.562542] 0003 0035 000000a4
2022-04-07 19:13:40.352452 False [   19949.562542] 0003 0036 0000018c
2022-04-07 19:13:40.352452 False [   19949.570879] 0003 0035 0000009f
2022-04-07 19:13:40.352452 False [   19949.581033] 0003 0035 0000009c
2022-04-07 19:13:40.352452 False [   19949.581033] 0003 0036 0000018d
2022-04-07 19:13:40.352452 False [   19949.590443] 0003 0035 00000099
2022-04-07 19:13:40.352452 False [   19949.601225] 0003 0035 00000095
2022-04-07 19:13:40.352452 False [   19949.601225] 0003 0036 00000193
2022-04-07 19:13:40.352452 False [   19949.609521] 0003 0035 00000092
2022-04-07 19:13:40.352452 False [   19949.609521] 0003 0036 00000197
2022-04-07 19:13:40.375429 False [   19949.619599] 0003 0036 0000019f
2022-04-07 19:13:40.375429 False [   19949.629796] 0003 0036 000001a4
2022-04-07 19:13:40.375429 False [   19949.638761] 0003 0035 00000093
2022-04-07 19:13:40.375429 False [   19949.638761] 0003 0036 000001b3
2022-04-07 19:13:40.375429 False [   19949.648799] 0003 0035 00000098
2022-04-07 19:13:40.375429 False [   19949.648799] 0003 0036 000001c4
2022-04-07 19:13:40.375429 False [   19949.656743] 0003 0035 000000a0
2022-04-07 19:13:40.375429 False [   19949.656743] 0003 0036 000001ea
2022-04-07 19:13:40.378031 False [   19949.664998] 0003 0035 000000a7
2022-04-07 19:13:40.378031 False [   19949.664998] 0003 0036 000001ff
2022-04-07 19:13:40.378031 False [   19949.673094] 0003 0035 000000ac
2022-04-07 19:13:40.378031 False [   19949.673094] 0003 0036 00000213
2022-04-07 19:13:40.409089 False [   19949.681759] 0003 0035 000000b2
2022-04-07 19:13:40.409089 False [   19949.681759] 0003 0036 00000229
2022-04-07 19:13:40.435973 False [   19949.691491] 0003 0035 000000b9
2022-04-07 19:13:40.435973 False [   19949.691491] 0003 0036 00000244
2022-04-07 19:13:40.435973 False [   19949.700495] 0003 0035 000000c0
2022-04-07 19:13:40.435973 False [   19949.700495] 0003 0036 0000025d
2022-04-07 19:13:40.435973 False [   19949.706369] 0003 0035 000000c6
2022-04-07 19:13:40.435973 False [   19949.706369] 0003 0036 0000027a
2022-04-07 19:13:40.475706 False [   19949.714829] 0003 0035 000000cf
2022-04-07 19:13:40.475706 False [   19949.714829] 0003 0036 0000029a
2022-04-07 19:13:40.475706 False [   19949.724666] 0003 0035 000000d7
2022-04-07 19:13:40.475706 False [   19949.724666] 0003 0036 000002be
2022-04-07 19:13:40.475706 False [   19949.733568] 0003 0035 000000de
2022-04-07 19:13:40.475706 False [   19949.733568] 0003 0036 000002e9
