Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.1520927405445303 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 13:33:20.460912 False [  143914.391035] 0003 0035 00000328
2022-04-02 13:33:20.461921 False [  143914.391035] 0003 0036 000007ec
2022-04-02 13:33:20.469252 False [  143914.399432] 0003 0036 000007f3
2022-04-02 13:33:20.477473 False [  143914.407633] 0003 0035 00000327
2022-04-02 13:33:20.477473 False [  143914.407633] 0003 0036 000007fa
2022-04-02 13:33:20.485767 False [  143914.416029] 0003 0036 00000800
2022-04-02 13:33:20.495434 False [  143914.424283] 0003 0036 00000806
2022-04-02 13:33:20.502088 False [  143914.432634] 0003 0036 0000080b
2022-04-02 13:33:20.510819 False [  143914.440834] 0003 0036 0000080f
2022-04-02 13:33:20.519176 False [  143914.449405] 0003 0036 00000814
2022-04-02 13:33:20.527417 False [  143914.457426] 0003 0036 00000817
2022-04-02 13:33:20.535310 False [  143914.465870] 0003 0036 0000081a
2022-04-02 13:33:20.544068 False [  143914.474115] 0003 0036 0000081c
2022-04-02 13:33:20.552439 False [  143914.482547] 0003 0036 0000081e
2022-04-02 13:33:20.560610 False [  143914.490783] 0003 0036 00000820
2022-04-02 13:33:20.577944 False [  143914.507528] 0003 0036 00000821
2022-04-02 13:33:20.585097 False [  143914.515780] 0003 0036 00000822
2022-04-02 13:33:20.618762 False [  143914.548995] 0003 0036 00000823
2022-04-02 13:33:20.652060 False [  143914.582280] 0003 0036 00000824
2022-04-02 13:33:20.685674 False [  143914.615499] 0003 0036 00000825
2022-04-02 13:33:20.702024 False [  143914.632182] 0003 0036 00000826
2022-04-02 13:33:20.718644 False [  143914.648758] 0003 0036 00000827
2022-04-02 13:33:20.735409 False [  143914.665477] 0003 0036 00000828
2022-04-02 13:33:20.768218 False [  143914.698573] 0003 0036 00000829
2022-04-02 13:33:20.785453 False [  143914.715155] 0003 0035 00000328
2022-04-02 13:33:20.785453 False [  143914.715155] 0003 0036 0000082a
2022-04-02 13:33:20.794025 False [  143914.723548] 0003 0035 00000329
2022-04-02 13:33:20.801998 False [  143914.731870] 0003 0035 0000032a
2022-04-02 13:33:20.801998 False [  143914.731870] 0003 0036 0000082b
2022-04-02 13:33:20.818052 False [  143914.748492] 0003 0035 0000032c
2022-04-02 13:33:20.827337 False [  143914.756730] 0003 0035 0000032d
2022-04-02 13:33:20.835491 False [  143914.765137] 0003 0035 0000032e
2022-04-02 13:33:20.843660 False [  143914.773291] 0003 0035 00000331
2022-04-02 13:33:20.852105 False [  143914.781751] 0003 0035 00000333
2022-04-02 13:33:20.860024 False [  143914.789948] 0003 0035 00000336
2022-04-02 13:33:20.860024 False [  143914.789948] 0003 0036 0000082a
2022-04-02 13:33:20.868142 False [  143914.798320] 0003 0035 0000033b
2022-04-02 13:33:20.868142 False [  143914.798320] 0003 0036 00000828
2022-04-02 13:33:20.877705 False [  143914.806608] 0003 0035 0000033f
2022-04-02 13:33:20.877705 False [  143914.806608] 0003 0036 00000826
2022-04-02 13:33:20.884789 False [  143914.814997] 0003 0035 00000343
2022-04-02 13:33:20.884789 False [  143914.814997] 0003 0036 00000823
2022-04-02 13:33:20.893749 False [  143914.823171] 0003 0035 00000349
2022-04-02 13:33:20.893749 False [  143914.823171] 0003 0036 0000081f
2022-04-02 13:33:20.901967 False [  143914.831594] 0003 0035 00000350
2022-04-02 13:33:20.901967 False [  143914.831594] 0003 0036 0000081a
2022-04-02 13:33:20.909901 False [  143914.839823] 0003 0035 00000356
2022-04-02 13:33:20.909901 False [  143914.839823] 0003 0036 00000814
2022-04-02 13:33:20.917924 False [  143914.848249] 0003 0035 0000035c
2022-04-02 13:33:20.917924 False [  143914.848249] 0003 0036 0000080c
2022-04-02 13:33:20.926485 False [  143914.856477] 0003 0035 00000363
2022-04-02 13:33:20.926485 False [  143914.856477] 0003 0036 00000805
2022-04-02 13:33:20.934501 False [  143914.864796] 0003 0035 0000036a
2022-04-02 13:33:20.934501 False [  143914.864796] 0003 0036 000007fa
2022-04-02 13:33:20.943607 False [  143914.873152] 0003 0035 0000036f
2022-04-02 13:33:20.943607 False [  143914.873152] 0003 0036 000007ef
2022-04-02 13:33:20.951480 False [  143914.881422] 0003 0035 00000375
2022-04-02 13:33:20.951480 False [  143914.881422] 0003 0036 000007e4
2022-04-02 13:33:20.960119 False [  143914.889666] 0003 0035 0000037a
2022-04-02 13:33:20.960119 False [  143914.889666] 0003 0036 000007d8
2022-04-02 13:33:20.968074 False [  143914.898074] 0003 0035 00000381
2022-04-02 13:33:20.968990 False [  143914.898074] 0003 0036 000007c9
2022-04-02 13:33:20.976605 False [  143914.906266] 0003 0035 00000387
2022-04-02 13:33:20.976605 False [  143914.906266] 0003 0036 000007b9
2022-04-02 13:33:20.984440 False [  143914.914683] 0003 0035 0000038d
2022-04-02 13:33:20.985441 False [  143914.914683] 0003 0036 000007a6
2022-04-02 13:33:20.994173 False [  143914.922965] 0003 0035 00000392
2022-04-02 13:33:20.994173 False [  143914.922965] 0003 0036 00000792
2022-04-02 13:33:21.002481 False [  143914.931343] 0003 0035 00000396
2022-04-02 13:33:21.002481 False [  143914.931343] 0003 0036 0000077e
2022-04-02 13:33:21.011609 False [  143914.939528] 0003 0035 0000039a
2022-04-02 13:33:21.011609 False [  143914.939528] 0003 0036 00000768
2022-04-02 13:33:21.018512 False [  143914.947968] 0003 0035 0000039e
2022-04-02 13:33:21.018512 False [  143914.947968] 0003 0036 0000074d
2022-04-02 13:33:21.030317 False [  143914.956125] 0003 0035 000003a0
2022-04-02 13:33:21.030317 False [  143914.956125] 0003 0036 00000734
2022-04-02 13:33:21.035144 False [  143914.964525] 0003 0035 000003a4
2022-04-02 13:33:21.035144 False [  143914.964525] 0003 0036 00000717
2022-04-02 13:33:21.044468 False [  143914.972828] 0003 0035 000003a7
2022-04-02 13:33:21.044468 True [  143914.972828] 0003 0036 000006fa
2022-04-02 13:33:21.053597 True [  143914.981253] 0003 0036 000006dd
2022-04-02 13:33:21.062221 True [  143914.989434] 0003 0036 000006bf
2022-04-02 13:33:21.069137 True [  143914.997864] 0003 0036 000006a1
2022-04-02 13:33:21.080724 True [  143915.006122] 0003 0036 00000681
2022-04-02 13:33:21.092991 True [  143915.014447] 0003 0035 000003a6
2022-04-02 13:33:21.092991 True [  143915.014447] 0003 0036 00000662
2022-04-02 13:33:21.095145 True [  143915.022696] 0003 0035 000003a5
2022-04-02 13:33:21.095145 True [  143915.022696] 0003 0036 00000645
2022-04-02 13:33:21.102470 True [  143915.031061] 0003 0035 000003a3
2022-04-02 13:33:21.102470 True [  143915.031061] 0003 0036 00000626
2022-04-02 13:33:21.110380 True [  143915.039284] 0003 0035 000003a1
2022-04-02 13:33:21.110380 True [  143915.039284] 0003 0036 00000609
2022-04-02 13:33:21.118706 True [  143915.047657] 0003 0035 000003a0
2022-04-02 13:33:21.118706 True [  143915.047657] 0003 0036 000005ed
2022-04-02 13:33:21.125575 True [  143915.055814] 0003 0035 0000039e
2022-04-02 13:33:21.125575 True [  143915.055814] 0003 0036 000005d1
2022-04-02 13:33:21.135158 True [  143915.064258] 0003 0035 0000039c
2022-04-02 13:33:21.135158 True [  143915.064258] 0003 0036 000005ba
2022-04-02 13:33:21.143235 True [  143915.072473] 0003 0035 00000399
2022-04-02 13:33:21.143235 True [  143915.072473] 0003 0036 000005a1
2022-04-02 13:33:21.150707 True [  143915.080922] 0003 0035 00000397
2022-04-02 13:33:21.150707 True [  143915.080922] 0003 0036 00000587
2022-04-02 13:33:21.159626 True [  143915.089086] 0003 0035 00000395
2022-04-02 13:33:21.159626 True [  143915.089086] 0003 0036 0000056d
2022-04-02 13:33:21.167865 True [  143915.097485] 0003 0035 00000392
2022-04-02 13:33:21.167865 True [  143915.097485] 0003 0036 00000553
2022-04-02 13:33:21.175937 True [  143915.105744] 0003 0035 0000038f
2022-04-02 13:33:21.175937 True [  143915.105744] 0003 0036 0000053a
2022-04-02 13:33:21.185041 True [  143915.114108] 0003 0035 0000038c
2022-04-02 13:33:21.185041 True [  143915.114108] 0003 0036 0000051f
2022-04-02 13:33:21.193042 True [  143915.122299] 0003 0035 00000388
2022-04-02 13:33:21.194039 True [  143915.122299] 0003 0036 00000507
2022-04-02 13:33:21.201598 True [  143915.130697] 0003 0035 00000385
2022-04-02 13:33:21.201598 True [  143915.130697] 0003 0036 000004ed
2022-04-02 13:33:21.210015 True [  143915.138952] 0003 0035 00000381
2022-04-02 13:33:21.210015 True [  143915.138952] 0003 0036 000004d4
2022-04-02 13:33:21.218291 True [  143915.147363] 0003 0035 0000037e
2022-04-02 13:33:21.218291 True [  143915.147363] 0003 0036 000004bb
2022-04-02 13:33:21.227495 True [  143915.155592] 0003 0035 0000037a
2022-04-02 13:33:21.227495 True [  143915.155592] 0003 0036 000004a2
2022-04-02 13:33:21.234635 True [  143915.163998] 0003 0035 00000376
2022-04-02 13:33:21.234635 True [  143915.163998] 0003 0036 00000488
2022-04-02 13:33:21.243046 True [  143915.172238] 0003 0035 00000372
2022-04-02 13:33:21.243046 True [  143915.172238] 0003 0036 00000471
2022-04-02 13:33:21.250711 True [  143915.180581] 0003 0035 0000036e
2022-04-02 13:33:21.250711 True [  143915.180581] 0003 0036 00000458
2022-04-02 13:33:21.258389 True [  143915.188840] 0003 0035 0000036b
2022-04-02 13:33:21.259448 True [  143915.188840] 0003 0036 00000440
2022-04-02 13:33:21.267594 True [  143915.197260] 0003 0035 00000366
2022-04-02 13:33:21.267594 True [  143915.197260] 0003 0036 00000429
2022-04-02 13:33:21.276210 True [  143915.205533] 0003 0035 00000361
2022-04-02 13:33:21.276210 True [  143915.205533] 0003 0036 00000414
2022-04-02 13:33:21.283671 True [  143915.213814] 0003 0035 0000035c
2022-04-02 13:33:21.283988 True [  143915.213814] 0003 0036 00000402
2022-04-02 13:33:21.292055 True [  143915.222067] 0003 0035 00000358
2022-04-02 13:33:21.292935 True [  143915.222067] 0003 0036 000003ee
2022-04-02 13:33:21.301058 True [  143915.230465] 0003 0035 00000353
2022-04-02 13:33:21.301058 True [  143915.230465] 0003 0036 000003da
2022-04-02 13:33:21.309999 True [  143915.238647] 0003 0035 0000034e
2022-04-02 13:33:21.309999 True [  143915.238647] 0003 0036 000003c8
2022-04-02 13:33:21.318336 True [  143915.247059] 0003 0035 00000348
2022-04-02 13:33:21.318336 True [  143915.247059] 0003 0036 000003b7
2022-04-02 13:33:21.326314 True [  143915.255326] 0003 0035 00000343
2022-04-02 13:33:21.326314 True [  143915.255326] 0003 0036 000003a6
2022-04-02 13:33:21.335505 True [  143915.263635] 0003 0035 0000033d
2022-04-02 13:33:21.335505 True [  143915.263635] 0003 0036 00000396
2022-04-02 13:33:21.343064 True [  143915.271842] 0003 0035 00000338
2022-04-02 13:33:21.343064 True [  143915.271842] 0003 0036 00000387
2022-04-02 13:33:21.350790 True [  143915.280339] 0003 0035 00000332
2022-04-02 13:33:21.350790 True [  143915.280339] 0003 0036 00000376
2022-04-02 13:33:21.359352 True [  143915.288508] 0003 0035 0000032c
2022-04-02 13:33:21.359352 True [  143915.288508] 0003 0036 00000368
2022-04-02 13:33:21.368118 True [  143915.296993] 0003 0035 00000326
2022-04-02 13:33:21.368118 True [  143915.296993] 0003 0036 00000359
2022-04-02 13:33:21.375305 True [  143915.305117] 0003 0035 00000320
2022-04-02 13:33:21.375305 True [  143915.305117] 0003 0036 0000034c
2022-04-02 13:33:21.384330 True [  143915.313573] 0003 0035 0000031b
