Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.7457779650029883 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 13:45:25.590133 False [  144639.509114] 0003 0036 0000041f
2022-04-02 13:45:25.601281 False [  144639.517473] 0003 0035 00000176
2022-04-02 13:45:25.601281 False [  144639.517473] 0003 0036 0000041b
2022-04-02 13:45:25.607080 False [  144639.525855] 0003 0035 00000171
2022-04-02 13:45:25.607080 False [  144639.525855] 0003 0036 00000418
2022-04-02 13:45:25.615189 False [  144639.534069] 0003 0035 00000169
2022-04-02 13:45:25.615189 False [  144639.534069] 0003 0036 00000412
2022-04-02 13:45:25.622539 False [  144639.542488] 0003 0035 00000163
2022-04-02 13:45:25.622539 False [  144639.542488] 0003 0036 0000040d
2022-04-02 13:45:25.631273 False [  144639.550623] 0003 0035 0000015d
2022-04-02 13:45:25.631273 False [  144639.550623] 0003 0036 00000408
2022-04-02 13:45:25.642787 False [  144639.559190] 0003 0035 00000159
2022-04-02 13:45:25.642787 False [  144639.559190] 0003 0036 00000404
2022-04-02 13:45:25.648304 False [  144639.567240] 0003 0035 00000155
2022-04-02 13:45:25.648304 False [  144639.567240] 0003 0036 000003ff
2022-04-02 13:45:25.655182 False [  144639.575648] 0003 0035 00000153
2022-04-02 13:45:25.655182 False [  144639.575648] 0003 0036 000003fc
2022-04-02 13:45:25.665187 False [  144639.584079] 0003 0035 00000151
2022-04-02 13:45:25.665187 False [  144639.584079] 0003 0036 000003f9
2022-04-02 13:45:25.672560 False [  144639.592334] 0003 0035 0000014f
2022-04-02 13:45:25.672560 False [  144639.592334] 0003 0036 000003f5
2022-04-02 13:45:25.680769 False [  144639.600727] 0003 0035 0000014d
2022-04-02 13:45:25.680769 False [  144639.600727] 0003 0036 000003f1
2022-04-02 13:45:25.700227 False [  144639.617078] 0003 0035 0000014b
2022-04-02 13:45:25.700227 False [  144639.617078] 0003 0036 000003eb
2022-04-02 13:45:25.706265 False [  144639.625517] 0003 0035 0000014a
2022-04-02 13:45:25.706265 False [  144639.625517] 0003 0036 000003e5
2022-04-02 13:45:25.715354 False [  144639.633696] 0003 0035 00000148
2022-04-02 13:45:25.715354 False [  144639.633696] 0003 0036 000003df
2022-04-02 13:45:25.722784 False [  144639.642079] 0003 0036 000003d9
