Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.221698797590173 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 14:20:29.261121 False [  146752.550124] 0003 0035 000001c8
2022-04-02 14:20:29.261121 False [  146752.550124] 0003 0036 00000297
2022-04-02 14:20:29.261121 False [  146752.560245] 0003 0035 000001c9
2022-04-02 14:20:29.261121 False [  146752.560245] 0003 0036 00000298
2022-04-02 14:20:29.261121 False [  146752.568162] 0003 0036 00000299
2022-04-02 14:20:29.320360 False [  146752.582190] 0003 0035 000001ca
2022-04-02 14:20:29.334008 False [  146752.595408] 0003 0036 0000029a
2022-04-02 14:20:29.334008 False [  146752.607431] 0003 0035 000001cb
2022-04-02 14:20:29.334008 False [  146752.607431] 0003 0036 0000029b
2022-04-02 14:20:29.334008 False [  146752.616148] 0003 0035 000001cc
2022-04-02 14:20:29.334008 False [  146752.616148] 0003 0036 0000029d
2022-04-02 14:20:29.334008 False [  146752.624939] 0003 0036 0000029e
2022-04-02 14:20:29.400216 False [  146752.640392] 0003 0035 000001cd
2022-04-02 14:20:29.400216 False [  146752.640392] 0003 0036 0000029f
2022-04-02 14:20:29.400216 False [  146752.649526] 0003 0035 000001ce
2022-04-02 14:20:29.400216 False [  146752.649526] 0003 0036 000002a0
2022-04-02 14:20:29.456068 False [  146752.659168] 0003 0035 000001cf
2022-04-02 14:20:29.456068 False [  146752.659168] 0003 0036 000002a1
2022-04-02 14:20:29.456068 False [  146752.668060] 0003 0036 000002a2
2022-04-02 14:20:29.456068 False [  146752.679177] 0003 0035 000001d0
2022-04-02 14:20:29.456068 False [  146752.688339] 0003 0036 000002a3
2022-04-02 14:20:29.456068 False [  146752.697410] 0003 0036 000002a4
2022-04-02 14:20:29.456068 False [  146752.709219] 0003 0035 000001d1
2022-04-02 14:20:29.456068 False [  146752.709219] 0003 0036 000002a5
2022-04-02 14:20:29.501996 False [  146752.720487] 0003 0035 000001d2
2022-04-02 14:20:29.501996 False [  146752.720487] 0003 0036 000002a6
2022-04-02 14:20:29.501996 False [  146752.731512] 0003 0035 000001d3
2022-04-02 14:20:29.501996 False [  146752.731512] 0003 0036 000002a7
2022-04-02 14:20:29.501996 False [  146752.739969] 0003 0036 000002a9
2022-04-02 14:20:29.501996 False [  146752.750401] 0003 0035 000001d4
2022-04-02 14:20:29.501996 False [  146752.760920] 0003 0036 000002aa
2022-04-02 14:20:29.501996 False [  146752.772043] 0003 0035 000001d5
2022-04-02 14:20:29.501996 False [  146752.772043] 0003 0036 000002ab
2022-04-02 14:20:29.507156 False [  146752.783013] 0003 0035 000001d6
2022-04-02 14:20:29.507156 False [  146752.794854] 0003 0035 000001d7
2022-04-02 14:20:29.507156 False [  146752.794854] 0003 0036 000002ad
2022-04-02 14:20:29.507156 False [  146752.806404] 0003 0035 000001d8
2022-04-02 14:20:29.507156 False [  146752.806404] 0003 0036 000002af
2022-04-02 14:20:29.592225 False [  146752.823081] 0003 0035 000001d9
2022-04-02 14:20:29.592225 False [  146752.823081] 0003 0036 000002b0
2022-04-02 14:20:29.596517 False [  146752.833559] 0003 0035 000001da
2022-04-02 14:20:29.596517 False [  146752.833559] 0003 0036 000002b1
2022-04-02 14:20:29.596517 False [  146752.841946] 0003 0036 000002b2
