Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.9508145121994385 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-16 19:48:50.433679 False [   35447.453056] 0003 0036 00000711
2022-03-16 19:48:50.439640 False [   35447.461327] 0003 0035 000001ef
2022-03-16 19:48:50.439640 False [   35447.461327] 0003 0036 0000070f
2022-03-16 19:48:50.448747 False [   35447.469725] 0003 0035 000001f0
2022-03-16 19:48:50.448747 False [   35447.469725] 0003 0036 0000070d
2022-03-16 19:48:50.455577 False [   35447.477927] 0003 0036 0000070b
2022-03-16 19:48:50.464176 False [   35447.486676] 0003 0035 000001f1
2022-03-16 19:48:50.472760 False [   35447.494563] 0003 0036 0000070a
2022-03-16 19:48:50.479873 False [   35447.502955] 0003 0035 000001f2
2022-03-16 19:48:50.479873 False [   35447.502955] 0003 0036 00000709
2022-03-16 19:48:50.488835 False [   35447.511119] 0003 0036 00000708
2022-03-16 19:48:50.498065 False [   35447.519799] 0003 0035 000001f3
2022-03-16 19:48:50.498065 False [   35447.519799] 0003 0036 00000707
2022-03-16 19:48:50.516839 False [   35447.537079] 0003 0036 00000706
2022-03-16 19:48:50.522824 False [   35447.544396] 0003 0036 00000705
2022-03-16 19:48:50.531802 False [   35447.552881] 0003 0036 00000704
2022-03-16 19:48:50.540783 False [   35447.561024] 0003 0035 000001f4
2022-03-16 19:48:50.540783 False [   35447.561024] 0003 0036 00000703
2022-03-16 19:48:50.547776 False [   35447.569407] 0003 0036 00000702
2022-03-16 19:48:50.553771 False [   35447.577606] 0003 0036 00000701
2022-03-16 19:48:50.563761 False [   35447.586078] 0003 0035 000001f5
2022-03-16 19:48:50.563761 False [   35447.586078] 0003 0036 00000700
2022-03-16 19:48:50.572749 False [   35447.594249] 0003 0035 000001f6
2022-03-16 19:48:50.572749 False [   35447.594249] 0003 0036 000006ff
2022-03-16 19:48:50.581043 False [   35447.602645] 0003 0035 000001f7
2022-03-16 19:48:50.581043 False [   35447.602645] 0003 0036 000006fe
2022-03-16 19:48:50.586887 False [   35447.610843] 0003 0036 000006fc
2022-03-16 19:48:50.596629 False [   35447.619267] 0003 0035 000001f8
2022-03-16 19:48:50.596629 False [   35447.619267] 0003 0036 000006fb
2022-03-16 19:48:50.607330 False [   35447.627500] 0003 0035 000001f9
2022-03-16 19:48:50.607330 False [   35447.627500] 0003 0036 000006fa
2022-03-16 19:48:50.614527 False [   35447.635916] 0003 0035 000001fa
