Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.5157115037091708 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 13:46:39.214938 True [  144713.132998] 0003 0036 000005b5
2022-04-02 13:46:39.214938 True [  144713.132998] 0003 0035 00000370
2022-04-02 13:46:39.214938 True [  144713.132998] 0003 0036 00000424
2022-04-02 13:46:39.222271 True [  144713.141116] 0003 0035 0000027d
2022-04-02 13:46:39.222271 True [  144713.141116] 0003 0036 000005b8
2022-04-02 13:46:39.222271 True [  144713.141116] 0003 0035 00000371
2022-04-02 13:46:39.231029 True [  144713.149287] 0003 0035 0000027b
2022-04-02 13:46:39.231029 True [  144713.149287] 0003 0036 000005ba
2022-04-02 13:46:39.231029 True [  144713.149287] 0003 0035 00000372
2022-04-02 13:46:39.231029 True [  144713.149287] 0003 0036 00000423
2022-04-02 13:46:39.238970 True [  144713.157475] 0003 0035 0000027a
2022-04-02 13:46:39.238970 True [  144713.157475] 0003 0036 000005bb
2022-04-02 13:46:39.238970 True [  144713.157475] 0003 0036 00000422
2022-04-02 13:46:39.246912 True [  144713.165890] 0003 0035 00000278
2022-04-02 13:46:39.246912 True [  144713.165890] 0003 0036 000005bc
2022-04-02 13:46:39.247904 True [  144713.165890] 0003 0036 00000421
2022-04-02 13:46:39.255730 True [  144713.174157] 0003 0036 000005bd
2022-04-02 13:46:39.255730 True [  144713.174157] 0003 0035 00000373
2022-04-02 13:46:39.255730 True [  144713.174157] 0003 0036 00000420
2022-04-02 13:46:39.265099 True [  144713.182889] 0003 0035 00000277
2022-04-02 13:46:39.265099 True [  144713.182889] 0003 0036 000005be
2022-04-02 13:46:39.265099 True [  144713.182889] 0003 0035 00000374
2022-04-02 13:46:39.265099 True [  144713.182889] 0003 0036 0000041f
2022-04-02 13:46:39.273544 True [  144713.190993] 0003 0035 00000275
2022-04-02 13:46:39.273544 True [  144713.190993] 0003 0036 000005bf
2022-04-02 13:46:39.273544 True [  144713.190993] 0003 0035 00000375
2022-04-02 13:46:39.283033 True [  144713.199883] 0003 0035 00000274
2022-04-02 13:46:39.283033 True [  144713.199883] 0003 0036 000005c1
2022-04-02 13:46:39.289377 True [  144713.207351] 0003 0035 00000273
2022-04-02 13:46:39.289377 True [  144713.207351] 0003 0036 000005c2
2022-04-02 13:46:39.289377 True [  144713.207351] 0003 0036 0000041e
2022-04-02 13:46:39.297900 True [  144713.215972] 0003 0035 00000271
2022-04-02 13:46:39.297900 True [  144713.215972] 0003 0036 000005c3
2022-04-02 13:46:39.297900 True [  144713.215972] 0003 0036 0000041d
2022-04-02 13:46:39.308858 True [  144713.224139] 0003 0035 00000270
2022-04-02 13:46:39.308858 True [  144713.224139] 0003 0036 000005c4
2022-04-02 13:46:39.308858 True [  144713.224139] 0003 0035 00000376
2022-04-02 13:46:39.308858 True [  144713.224139] 0003 0036 0000041c
2022-04-02 13:46:39.315287 True [  144713.232647] 0003 0036 000005c6
2022-04-02 13:46:39.315287 True [  144713.232647] 0003 0035 00000377
2022-04-02 13:46:39.315287 True [  144713.232647] 0003 0036 0000041b
2022-04-02 13:46:39.323219 True [  144713.240903] 0003 0035 0000026e
2022-04-02 13:46:39.323219 True [  144713.240903] 0003 0036 000005c7
2022-04-02 13:46:39.343229 True [  144713.257231] 0003 0035 0000026d
2022-04-02 13:46:39.343229 True [  144713.257231] 0003 0035 00000378
2022-04-02 13:46:39.343229 True [  144713.257231] 0003 0036 0000041a
2022-04-02 13:46:39.347900 True [  144713.265638] 0003 0035 0000026c
2022-04-02 13:46:39.347900 True [  144713.265638] 0003 0036 000005c8
2022-04-02 13:46:39.347900 True [  144713.265638] 0003 0035 00000379
