Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 0.48737622266180847 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 15:06:03.968912 True [   18141.068655] 0003 0036 000001df
2022-03-16 15:06:03.986746 True [   18141.086464] 0003 0035 00000409
2022-03-16 15:06:03.986746 True [   18141.086464] 0003 0036 000001df
2022-03-16 15:06:04.002929 True [   18141.103127] 0003 0035 0000040d
2022-03-16 15:06:04.002929 True [   18141.103127] 0003 0036 000001dd
2022-03-16 15:06:04.020181 True [   18141.119794] 0003 0035 0000040d
2022-03-16 15:06:04.020181 True [   18141.119794] 0003 0036 000001dd
2022-03-16 15:06:04.035666 True [   18141.136363] 0003 0035 0000040d
2022-03-16 15:06:04.036669 True [   18141.136363] 0003 0036 000001dd
2022-03-16 15:06:04.052796 True [   18141.153499] 0003 0035 0000040d
2022-03-16 15:06:04.052796 True [   18141.153499] 0003 0036 000001dd
2022-03-16 15:06:04.069850 True [   18141.169979] 0003 0035 0000040d
2022-03-16 15:06:04.069850 True [   18141.169979] 0003 0036 000001dd
2022-03-16 15:06:04.088503 True [   18141.188097] 0003 0035 0000040d
2022-03-16 15:06:04.088503 True [   18141.188097] 0003 0036 000001dd
2022-03-16 15:06:04.105175 True [   18141.204996] 0003 0035 0000040d
2022-03-16 15:06:04.105175 True [   18141.204996] 0003 0036 000001dd
2022-03-16 15:06:04.121901 True [   18141.221370] 0003 0035 0000040d
2022-03-16 15:06:04.121901 True [   18141.221370] 0003 0036 000001dd
2022-03-16 15:06:04.392829 True [   18141.492964] 0003 0035 00000418
2022-03-16 15:06:04.392829 True [   18141.492964] 0003 0036 000001f4
2022-03-16 15:06:04.409792 True [   18141.509842] 0003 0035 00000418
2022-03-16 15:06:04.409792 True [   18141.509842] 0003 0036 000001f4
2022-03-16 15:06:04.427509 True [   18141.527509] 0003 0035 00000418
2022-03-16 15:06:04.427509 True [   18141.527509] 0003 0036 000001f4
2022-03-16 15:06:04.443225 True [   18141.543536] 0003 0035 00000418
2022-03-16 15:06:04.443225 True [   18141.543536] 0003 0036 000001f4
2022-03-16 15:06:04.460808 True [   18141.560414] 0003 0035 00000418
2022-03-16 15:06:04.460808 True [   18141.560414] 0003 0036 000001f4
2022-03-16 15:06:04.476481 True [   18141.577186] 0003 0035 00000418
2022-03-16 15:06:04.477487 True [   18141.577186] 0003 0036 000001f4
2022-03-16 15:06:04.494155 True [   18141.594015] 0003 0035 00000418
2022-03-16 15:06:04.494155 True [   18141.594015] 0003 0036 000001f4
2022-03-16 15:06:04.510620 True [   18141.610718] 0003 0035 00000411
2022-03-16 15:06:04.510620 True [   18141.610718] 0003 0036 000001f4
2022-03-16 15:06:04.527371 True [   18141.627359] 0003 0035 00000408
2022-03-16 15:06:04.527371 True [   18141.627359] 0003 0036 000001f4
2022-03-16 15:06:04.544064 True [   18141.644607] 0003 0035 000003fd
2022-03-16 15:06:04.544064 True [   18141.644607] 0003 0036 000001f4
2022-03-16 15:06:04.561642 True [   18141.661433] 0003 0035 000003f2
2022-03-16 15:06:04.561642 True [   18141.661433] 0003 0036 000001f4
2022-03-16 15:06:04.577747 True [   18141.678119] 0003 0035 000003e6
2022-03-16 15:06:04.577747 True [   18141.678119] 0003 0036 000001f4
2022-03-16 15:06:04.594938 True [   18141.694833] 0003 0035 000003d6
2022-03-16 15:06:04.594938 True [   18141.694833] 0003 0036 000001f4
2022-03-16 15:06:04.611960 True [   18141.712265] 0003 0035 000003c1
2022-03-16 15:06:04.611960 True [   18141.712265] 0003 0036 000001f4
2022-03-16 15:06:04.629198 True [   18141.729582] 0003 0035 000003ab
2022-03-16 15:06:04.629198 True [   18141.729582] 0003 0036 000001f4
2022-03-16 15:06:04.663734 True [   18141.763749] 0003 0035 00000397
2022-03-16 15:06:04.663734 True [   18141.763749] 0003 0036 000001f4
2022-03-16 15:06:04.680353 True [   18141.780415] 0003 0035 00000386
2022-03-16 15:06:04.680353 True [   18141.780415] 0003 0036 000001f4
2022-03-16 15:06:04.696398 True [   18141.796671] 0003 0035 00000377
2022-03-16 15:06:04.696398 True [   18141.796671] 0003 0036 000001f4
2022-03-16 15:06:04.714018 True [   18141.814364] 0003 0035 0000036c
2022-03-16 15:06:04.714018 True [   18141.814364] 0003 0036 000001f4
2022-03-16 15:06:04.730497 True [   18141.830549] 0003 0035 00000364
2022-03-16 15:06:04.730497 True [   18141.830549] 0003 0036 000001f4
2022-03-16 15:06:04.747491 True [   18141.847909] 0003 0035 0000035f
2022-03-16 15:06:04.747491 True [   18141.847909] 0003 0036 000001f4
2022-03-16 15:06:04.763906 True [   18141.864393] 0003 0035 0000035f
2022-03-16 15:06:04.763906 True [   18141.864393] 0003 0036 000001f4
2022-03-16 15:06:04.781408 True [   18141.881952] 0003 0035 0000035f
2022-03-16 15:06:04.781408 True [   18141.881952] 0003 0036 000001f4
2022-03-16 15:06:04.797257 True [   18141.897958] 0003 0035 0000035f
2022-03-16 15:06:04.797257 True [   18141.897958] 0003 0036 000001f4
2022-03-16 15:06:04.814789 True [   18141.915143] 0003 0035 0000035f
2022-03-16 15:06:04.814789 True [   18141.915143] 0003 0036 000001f4
2022-03-16 15:06:04.832413 True [   18141.932396] 0003 0035 0000035f
2022-03-16 15:06:04.832413 True [   18141.932396] 0003 0036 000001f4
2022-03-16 15:06:04.849506 True [   18141.949714] 0003 0035 0000035f
2022-03-16 15:06:04.849506 True [   18141.949714] 0003 0036 000001f4
2022-03-16 15:06:04.865711 True [   18141.965939] 0003 0035 0000035f
2022-03-16 15:06:04.865711 True [   18141.965939] 0003 0036 000001f4
2022-03-16 15:06:04.882948 True [   18141.983348] 0003 0035 0000035f
2022-03-16 15:06:04.882948 True [   18141.983348] 0003 0036 000001f4
2022-03-16 15:06:04.901018 True [   18142.000504] 0003 0035 0000035f
2022-03-16 15:06:04.901018 True [   18142.000504] 0003 0036 000001f4
2022-03-16 15:06:04.917061 True [   18142.017507] 0003 0035 0000035f
2022-03-16 15:06:04.918061 True [   18142.017507] 0003 0036 000001f4
2022-03-16 15:06:04.934407 True [   18142.034131] 0003 0035 0000035f
2022-03-16 15:06:04.934407 True [   18142.034131] 0003 0036 000001f4
2022-03-16 15:06:04.951304 True [   18142.051175] 0003 0035 0000035f
2022-03-16 15:06:04.953327 True [   18142.051175] 0003 0036 000001f4
2022-03-16 15:06:04.967682 True [   18142.067494] 0003 0035 00000364
2022-03-16 15:06:04.967682 True [   18142.067494] 0003 0036 000001f4
2022-03-16 15:06:04.984467 True [   18142.084583] 0003 0035 00000369
2022-03-16 15:06:04.984467 True [   18142.084583] 0003 0036 000001f4
2022-03-16 15:06:05.001508 True [   18142.101422] 0003 0035 0000036d
2022-03-16 15:06:05.001508 True [   18142.101422] 0003 0036 000001f4
2022-03-16 15:06:05.018910 True [   18142.118652] 0003 0035 00000371
2022-03-16 15:06:05.018910 True [   18142.118652] 0003 0036 000001f4
2022-03-16 15:06:05.035707 True [   18142.135705] 0003 0035 00000371
2022-03-16 15:06:05.035707 True [   18142.135705] 0003 0036 000001f4
2022-03-16 15:06:05.052742 True [   18142.152679] 0003 0035 00000375
2022-03-16 15:06:05.053740 True [   18142.152679] 0003 0036 000001f4
2022-03-16 15:06:05.069088 True [   18142.169690] 0003 0035 00000375
2022-03-16 15:06:05.069088 True [   18142.169690] 0003 0036 000001f4
2022-03-16 15:06:05.086810 True [   18142.186365] 0003 0035 00000375
2022-03-16 15:06:05.086810 True [   18142.186365] 0003 0036 000001f4
2022-03-16 15:06:05.103497 True [   18142.203064] 0003 0035 00000375
2022-03-16 15:06:05.103497 True [   18142.203064] 0003 0036 000001f4
2022-03-16 15:06:05.120039 True [   18142.220442] 0003 0035 00000375
2022-03-16 15:06:05.120039 True [   18142.220442] 0003 0036 000001f4
2022-03-16 15:06:05.136900 True [   18142.237462] 0003 0035 00000375
2022-03-16 15:06:05.136900 True [   18142.237462] 0003 0036 000001f4
2022-03-16 15:06:05.154222 True [   18142.254197] 0003 0035 0000036d
2022-03-16 15:06:05.154222 True [   18142.254197] 0003 0036 000001f2
2022-03-16 15:06:05.170736 True [   18142.270808] 0003 0035 00000361
2022-03-16 15:06:05.170736 True [   18142.270808] 0003 0036 000001f2
2022-03-16 15:06:05.187976 True [   18142.287623] 0003 0035 00000352
2022-03-16 15:06:05.187976 True [   18142.287623] 0003 0036 000001f2
2022-03-16 15:06:05.205929 True [   18142.305399] 0003 0035 00000344
2022-03-16 15:06:05.205929 True [   18142.305399] 0003 0036 000001f2
2022-03-16 15:06:05.221578 True [   18142.321506] 0003 0035 00000337
2022-03-16 15:06:05.221578 True [   18142.321506] 0003 0036 000001f2
2022-03-16 15:06:05.238994 True [   18142.338806] 0003 0035 0000032c
2022-03-16 15:06:05.238994 True [   18142.338806] 0003 0036 000001f2
2022-03-16 15:06:05.255911 True [   18142.355882] 0003 0035 00000323
2022-03-16 15:06:05.255911 True [   18142.355882] 0003 0036 000001f2
2022-03-16 15:06:05.274152 True [   18142.373906] 0003 0035 0000031b
2022-03-16 15:06:05.274152 True [   18142.373906] 0003 0036 000001f2
2022-03-16 15:06:05.289190 True [   18142.389349] 0003 0035 00000315
2022-03-16 15:06:05.289190 True [   18142.389349] 0003 0036 000001f2
2022-03-16 15:06:05.306412 True [   18142.406423] 0003 0035 0000030d
2022-03-16 15:06:05.306412 True [   18142.406423] 0003 0036 000001f2
2022-03-16 15:06:05.322909 True [   18142.422998] 0003 0035 00000302
2022-03-16 15:06:05.322909 True [   18142.422998] 0003 0036 000001ef
2022-03-16 15:06:05.340018 True [   18142.439906] 0003 0035 000002f5
2022-03-16 15:06:05.340018 True [   18142.439906] 0003 0036 000001ec
2022-03-16 15:06:05.357143 True [   18142.457714] 0003 0035 000002e8
2022-03-16 15:06:05.357143 True [   18142.457714] 0003 0036 000001e9
2022-03-16 15:06:05.373915 True [   18142.473868] 0003 0035 000002dc
2022-03-16 15:06:05.373915 True [   18142.473868] 0003 0036 000001e6
