Mode = area stim
    verts = 22 
    radius = 550 
    center = (600, 960) 
    first_angle = 2.5177620144684285 
    wm_size = [1200 1920] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-16 17:43:43.752393 True [   27601.150584] 0003 0036 00000225
2022-03-16 17:43:43.768342 True [   27601.167826] 0003 0035 000003f1
2022-03-16 17:43:43.768342 True [   27601.167826] 0003 0036 00000222
2022-03-16 17:43:43.785300 True [   27601.184949] 0003 0035 000003ed
2022-03-16 17:43:43.785300 True [   27601.184949] 0003 0036 00000220
2022-03-16 17:43:43.803205 True [   27601.202025] 0003 0035 000003ed
2022-03-16 17:43:43.803205 True [   27601.202025] 0003 0036 00000220
2022-03-16 17:43:43.819206 True [   27601.218345] 0003 0035 000003e8
2022-03-16 17:43:43.819206 True [   27601.218345] 0003 0036 0000021e
2022-03-16 17:43:43.836355 True [   27601.235257] 0003 0035 000003e8
2022-03-16 17:43:43.836355 True [   27601.235257] 0003 0036 0000021e
2022-03-16 17:43:43.853699 True [   27601.252967] 0003 0035 000003e4
2022-03-16 17:43:43.853699 True [   27601.252967] 0003 0036 0000021c
2022-03-16 17:43:43.870909 True [   27601.269730] 0003 0035 000003e4
2022-03-16 17:43:43.870909 True [   27601.269730] 0003 0036 0000021c
2022-03-16 17:43:43.888831 True [   27601.286669] 0003 0035 000003e0
2022-03-16 17:43:43.888831 True [   27601.286669] 0003 0036 0000021a
2022-03-16 17:43:43.904530 True [   27601.303456] 0003 0035 000003e0
2022-03-16 17:43:43.904530 True [   27601.303456] 0003 0036 0000021a
2022-03-16 17:43:43.921090 True [   27601.320063] 0003 0035 000003dc
2022-03-16 17:43:43.921090 True [   27601.320063] 0003 0036 00000217
2022-03-16 17:43:43.939154 True [   27601.337255] 0003 0035 000003dc
2022-03-16 17:43:43.939154 True [   27601.337255] 0003 0036 00000217
2022-03-16 17:43:43.956113 True [   27601.354229] 0003 0035 000003dc
2022-03-16 17:43:43.956113 True [   27601.354229] 0003 0036 00000217
2022-03-16 17:43:43.972403 True [   27601.371069] 0003 0035 000003dc
2022-03-16 17:43:43.972403 True [   27601.371069] 0003 0036 00000217
2022-03-16 17:43:43.989685 True [   27601.388927] 0003 0035 000003dc
2022-03-16 17:43:43.989685 True [   27601.388927] 0003 0036 00000217
2022-03-16 17:43:44.006297 True [   27601.405495] 0003 0035 000003dc
2022-03-16 17:43:44.006297 True [   27601.405495] 0003 0036 00000217
2022-03-16 17:43:44.024397 True [   27601.422260] 0003 0035 000003dc
2022-03-16 17:43:44.024397 True [   27601.422260] 0003 0036 00000217
2022-03-16 17:43:44.040857 True [   27601.438940] 0003 0035 000003dc
2022-03-16 17:43:44.040857 True [   27601.438940] 0003 0036 00000217
2022-03-16 17:43:44.056921 True [   27601.455932] 0003 0035 000003dc
2022-03-16 17:43:44.057938 True [   27601.455932] 0003 0036 00000217
2022-03-16 17:43:44.074975 True [   27601.472499] 0003 0035 000003d8
2022-03-16 17:43:44.074975 True [   27601.472499] 0003 0036 00000214
2022-03-16 17:43:44.090801 True [   27601.489982] 0003 0035 000003d8
2022-03-16 17:43:44.090801 True [   27601.489982] 0003 0036 00000214
2022-03-16 17:43:44.107524 True [   27601.506855] 0003 0035 000003d8
2022-03-16 17:43:44.108128 True [   27601.506855] 0003 0036 00000214
2022-03-16 17:43:44.124683 True [   27601.523664] 0003 0035 000003d8
2022-03-16 17:43:44.124683 True [   27601.523664] 0003 0036 00000214
