Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.5565313388964357 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 18:16:51.732555 False [  160934.374987] 0003 0035 00000561
2022-04-02 18:16:51.732555 False [  160934.374987] 0003 0036 0000052f
2022-04-02 18:16:51.732555 False [  160934.397442] 0003 0036 0000053e
2022-04-02 18:16:51.732555 False [  160934.422255] 0003 0036 0000054e
2022-04-02 18:16:51.732555 False [  160934.447614] 0003 0035 00000562
2022-04-02 18:16:51.732555 False [  160934.447614] 0003 0036 00000561
2022-04-02 18:16:51.732555 False [  160934.468635] 0003 0035 00000563
2022-04-02 18:16:51.732555 False [  160934.468635] 0003 0036 00000574
2022-04-02 18:16:51.732555 False [  160934.497489] 0003 0035 00000564
2022-04-02 18:16:51.732555 False [  160934.497489] 0003 0036 0000058a
2022-04-02 18:16:51.732555 False [  160934.523966] 0003 0035 00000565
2022-04-02 18:16:51.732555 False [  160934.523966] 0003 0036 000005a4
2022-04-02 18:16:51.732555 False [  160934.550298] 0003 0035 00000566
2022-04-02 18:16:51.732555 False [  160934.550298] 0003 0036 000005b7
2022-04-02 18:16:51.732555 False [  160934.576126] 0003 0035 00000568
2022-04-02 18:16:51.732555 False [  160934.576126] 0003 0036 000005cf
2022-04-02 18:16:51.732555 False [  160934.605144] 0003 0035 00000569
2022-04-02 18:16:51.732555 False [  160934.605144] 0003 0036 000005eb
2022-04-02 18:16:51.967845 False [  160934.631384] 0003 0035 0000056d
2022-04-02 18:16:51.967845 False [  160934.631384] 0003 0036 00000606
2022-04-02 18:16:51.967845 False [  160934.661485] 0003 0035 0000056f
2022-04-02 18:16:51.967845 False [  160934.661485] 0003 0036 00000618
2022-04-02 18:16:51.967845 False [  160934.685505] 0003 0035 0000056d
2022-04-02 18:16:51.967845 False [  160934.685505] 0003 0036 00000635
2022-04-02 18:16:51.967845 False [  160934.708757] 0003 0036 0000063b
2022-04-02 18:16:51.967845 False [  160934.733739] 0003 0035 0000056c
2022-04-02 18:16:51.967845 False [  160934.733739] 0003 0036 0000064f
2022-04-02 18:16:51.967845 False [  160934.757456] 0003 0035 00000569
2022-04-02 18:16:51.967845 False [  160934.757456] 0003 0036 0000065e
2022-04-02 18:16:51.967845 False [  160934.781855] 0003 0035 00000568
2022-04-02 18:16:51.967845 False [  160934.781855] 0003 0036 0000066e
2022-04-02 18:16:51.967845 False [  160934.807458] 0003 0035 00000566
2022-04-02 18:16:51.967845 False [  160934.807458] 0003 0036 00000678
2022-04-02 18:16:51.967845 False [  160934.835632] 0003 0036 0000067e
2022-04-02 18:16:51.967845 False [  160934.861017] 0003 0035 00000565
2022-04-02 18:16:51.967845 False [  160934.861017] 0003 0036 00000680
2022-04-02 18:16:52.108716 False [  160934.885579] 0003 0035 00000564
2022-04-02 18:16:52.108716 False [  160934.885579] 0003 0036 00000683
2022-04-02 18:16:52.108716 False [  160934.913116] 0003 0035 00000562
2022-04-02 18:16:52.108716 False [  160934.913116] 0003 0036 0000067e
2022-04-02 18:16:52.108716 False [  160934.940684] 0003 0035 0000055f
2022-04-02 18:16:52.108716 False [  160934.940684] 0003 0036 00000678
2022-04-02 18:16:52.108716 False [  160934.962622] 0003 0035 0000055c
2022-04-02 18:16:52.108716 False [  160934.962622] 0003 0036 0000066b
2022-04-02 18:16:52.108716 False [  160934.988102] 0003 0035 00000559
2022-04-02 18:16:52.108716 False [  160934.988102] 0003 0036 0000064e
2022-04-02 18:16:52.108716 False [  160935.007912] 0003 0035 00000558
2022-04-02 18:16:52.108716 False [  160935.007912] 0003 0036 00000646
2022-04-02 18:16:52.108716 False [  160935.036925] 0003 0035 00000557
2022-04-02 18:16:52.108716 False [  160935.036925] 0003 0036 00000630
2022-04-02 18:16:52.108716 False [  160935.065824] 0003 0035 00000556
2022-04-02 18:16:52.108716 False [  160935.065824] 0003 0036 0000060e
2022-04-02 18:16:52.108716 False [  160935.095485] 0003 0035 00000553
2022-04-02 18:16:52.108716 False [  160935.095485] 0003 0036 000005f9
2022-04-02 18:16:52.226654 False [  160935.120611] 0003 0035 00000550
2022-04-02 18:16:52.226654 False [  160935.120611] 0003 0036 000005de
2022-04-02 18:16:52.226654 False [  160935.140379] 0003 0035 0000054d
2022-04-02 18:16:52.226654 False [  160935.140379] 0003 0036 000005cb
2022-04-02 18:16:52.226654 False [  160935.168822] 0003 0035 0000054b
2022-04-02 18:16:52.226654 False [  160935.168822] 0003 0036 000005ad
2022-04-02 18:16:52.226654 False [  160935.182070] 0003 0035 00000549
2022-04-02 18:16:52.226654 False [  160935.182070] 0003 0036 0000059f
2022-04-02 18:16:52.226654 False [  160935.190692] 0003 0036 0000059a
2022-04-02 18:16:52.226654 False [  160935.196882] 0003 0036 00000594
2022-04-02 18:16:52.226654 False [  160935.202217] 0003 0036 0000058f
2022-04-02 18:16:52.226654 False [  160935.207737] 0003 0036 0000058a
2022-04-02 18:16:52.226654 False [  160935.224112] 0003 0035 00000548
2022-04-02 18:16:52.226654 False [  160935.224112] 0003 0036 0000057b
2022-04-02 18:16:52.226654 False [  160935.235474] 0003 0035 00000547
2022-04-02 18:16:52.226654 False [  160935.235474] 0003 0036 0000056b
2022-04-02 18:16:52.235681 False [  160935.244179] 0003 0035 00000546
2022-04-02 18:16:52.235681 False [  160935.244179] 0003 0036 00000566
2022-04-02 18:16:52.235681 False [  160935.249584] 0003 0036 00000561
2022-04-02 18:16:52.235681 False [  160935.270412] 0003 0036 0000055d
2022-04-02 18:16:52.235681 False [  160935.293699] 0003 0036 00000541
2022-04-02 18:16:52.235681 False [  160935.313446] 0003 0036 0000053b
2022-04-02 18:16:52.235681 False [  160935.329704] 0003 0036 00000536
2022-04-02 18:16:52.235681 False [  160935.332987] 0003 0036 0000052b
2022-04-02 18:16:52.342932 False [  160935.375629] 0003 0035 00000544
2022-04-02 18:16:52.342932 False [  160935.375629] 0003 0036 0000051a
2022-04-02 18:16:52.342932 False [  160935.382376] 0003 0035 00000542
2022-04-02 18:16:52.342932 False [  160935.382376] 0003 0036 00000516
2022-04-02 18:16:52.342932 False [  160935.390664] 0003 0036 00000512
2022-04-02 18:16:52.467653 False [  160935.404421] 0003 0036 00000510
2022-04-02 18:16:52.467653 False [  160935.421652] 0003 0035 00000541
2022-04-02 18:16:52.467653 False [  160935.421652] 0003 0036 0000050d
2022-04-02 18:16:52.467653 False [  160935.439822] 0003 0035 0000053f
2022-04-02 18:16:52.467653 False [  160935.439822] 0003 0036 00000509
2022-04-02 18:16:52.467653 False [  160935.461091] 0003 0035 0000053e
2022-04-02 18:16:52.467653 False [  160935.461091] 0003 0036 00000508
2022-04-02 18:16:52.467653 False [  160935.471207] 0003 0035 0000053f
2022-04-02 18:16:52.467653 False [  160935.471207] 0003 0036 00000509
2022-04-02 18:16:52.635309 False [  160935.476679] 0003 0036 0000050a
2022-04-02 18:16:52.635309 False [  160935.482241] 0003 0035 00000540
2022-04-02 18:16:52.635309 False [  160935.505297] 0003 0036 0000050d
2022-04-02 18:16:52.635309 False [  160935.529868] 0003 0036 0000051d
2022-04-02 18:16:52.635309 False [  160935.550251] 0003 0035 00000542
2022-04-02 18:16:52.635309 False [  160935.550251] 0003 0036 0000052b
2022-04-02 18:16:52.635309 False [  160935.560443] 0003 0035 00000543
2022-04-02 18:16:52.635309 False [  160935.560443] 0003 0036 0000053d
2022-04-02 18:16:52.635309 False [  160935.572450] 0003 0036 00000542
2022-04-02 18:16:52.635309 False [  160935.593266] 0003 0035 00000546
2022-04-02 18:16:52.635309 False [  160935.593266] 0003 0036 0000054b
2022-04-02 18:16:52.796917 False [  160935.604855] 0003 0036 00000569
2022-04-02 18:16:52.796917 False [  160935.612622] 0003 0035 00000547
2022-04-02 18:16:52.796917 False [  160935.612622] 0003 0036 00000572
2022-04-02 18:16:52.796917 False [  160935.626942] 0003 0035 0000054a
2022-04-02 18:16:52.796917 False [  160935.626942] 0003 0036 00000581
2022-04-02 18:16:52.796917 False [  160935.641082] 0003 0035 0000054e
2022-04-02 18:16:52.796917 False [  160935.641082] 0003 0036 0000059a
2022-04-02 18:16:52.796917 False [  160935.655119] 0003 0035 0000054d
2022-04-02 18:16:52.796917 False [  160935.655119] 0003 0036 000005a7
2022-04-02 18:16:52.796917 False [  160935.677703] 0003 0036 000005c5
2022-04-02 18:16:52.796917 False [  160935.700191] 0003 0035 0000054b
2022-04-02 18:16:52.796917 False [  160935.700191] 0003 0036 000005d9
2022-04-02 18:16:52.796917 False [  160935.725620] 0003 0036 000005ec
2022-04-02 18:16:52.796917 False [  160935.745883] 0003 0035 0000054a
2022-04-02 18:16:52.796917 False [  160935.745883] 0003 0036 000005f8
2022-04-02 18:16:52.796917 False [  160935.762170] 0003 0035 00000549
2022-04-02 18:16:52.796917 False [  160935.762170] 0003 0036 00000607
2022-04-02 18:16:52.959632 False [  160935.770606] 0003 0036 00000614
2022-04-02 18:16:52.959632 False [  160935.789826] 0003 0035 00000548
2022-04-02 18:16:52.959632 False [  160935.789826] 0003 0036 00000633
2022-04-02 18:16:52.959632 False [  160935.812728] 0003 0036 0000063a
2022-04-02 18:16:52.959632 False [  160935.837996] 0003 0035 00000549
2022-04-02 18:16:52.959632 False [  160935.837996] 0003 0036 0000065e
2022-04-02 18:16:52.959632 False [  160935.852152] 0003 0036 00000667
2022-04-02 18:16:52.959632 False [  160935.864642] 0003 0035 0000054a
2022-04-02 18:16:52.959632 False [  160935.864642] 0003 0036 00000674
2022-04-02 18:16:52.959632 False [  160935.884344] 0003 0036 0000067e
2022-04-02 18:16:52.959632 False [  160935.908463] 0003 0036 00000686
2022-04-02 18:16:53.136326 False [  160935.923862] 0003 0035 00000549
2022-04-02 18:16:53.136326 False [  160935.923862] 0003 0036 00000699
2022-04-02 18:16:53.136326 False [  160935.936100] 0003 0036 000006a5
2022-04-02 18:16:53.136326 False [  160935.940583] 0003 0036 000006aa
2022-04-02 18:16:53.136326 False [  160935.963198] 0003 0036 000006ac
2022-04-02 18:16:53.136326 False [  160935.988678] 0003 0035 00000546
2022-04-02 18:16:53.136326 False [  160935.988678] 0003 0036 000006b6
2022-04-02 18:16:53.136326 False [  160936.006113] 0003 0035 00000544
2022-04-02 18:16:53.136326 False [  160936.006113] 0003 0036 000006b9
2022-04-02 18:16:53.136326 False [  160936.023714] 0003 0035 00000542
2022-04-02 18:16:53.136326 False [  160936.023714] 0003 0036 000006bb
2022-04-02 18:16:53.136326 False [  160936.042735] 0003 0035 00000541
2022-04-02 18:16:53.136326 False [  160936.042735] 0003 0036 000006bd
2022-04-02 18:16:53.136326 False [  160936.064916] 0003 0035 0000053f
2022-04-02 18:16:53.136326 False [  160936.064916] 0003 0036 000006be
2022-04-02 18:16:53.136326 False [  160936.086932] 0003 0036 000006bd
2022-04-02 18:16:53.239312 False [  160936.113732] 0003 0035 0000053c
2022-04-02 18:16:53.239312 False [  160936.113732] 0003 0036 000006af
2022-04-02 18:16:53.239312 False [  160936.127232] 0003 0035 0000053b
2022-04-02 18:16:53.239312 False [  160936.127232] 0003 0036 000006a4
2022-04-02 18:16:53.239312 False [  160936.144470] 0003 0035 0000053a
2022-04-02 18:16:53.239312 False [  160936.144470] 0003 0036 0000069d
2022-04-02 18:16:53.239312 False [  160936.161018] 0003 0035 00000538
2022-04-02 18:16:53.239312 False [  160936.161018] 0003 0036 0000068d
2022-04-02 18:16:53.239312 False [  160936.170720] 0003 0035 00000537
2022-04-02 18:16:53.239312 False [  160936.170720] 0003 0036 0000067c
2022-04-02 18:16:53.239312 False [  160936.185298] 0003 0036 00000675
2022-04-02 18:16:53.239312 False [  160936.213563] 0003 0035 00000535
2022-04-02 18:16:53.239312 False [  160936.213563] 0003 0036 0000064d
2022-04-02 18:16:53.239312 False [  160936.230169] 0003 0035 00000534
2022-04-02 18:16:53.239312 False [  160936.230169] 0003 0036 00000643
2022-04-02 18:16:53.239312 False [  160936.242026] 0003 0036 00000634
2022-04-02 18:16:53.239312 False [  160936.262779] 0003 0035 00000533
2022-04-02 18:16:53.239312 False [  160936.262779] 0003 0036 00000627
2022-04-02 18:16:53.248666 False [  160936.277609] 0003 0035 00000531
2022-04-02 18:16:53.248666 False [  160936.277609] 0003 0036 00000610
2022-04-02 18:16:53.248666 False [  160936.292705] 0003 0035 00000530
2022-04-02 18:16:53.248666 False [  160936.292705] 0003 0036 00000600
2022-04-02 18:16:53.248666 False [  160936.313304] 0003 0035 0000052f
2022-04-02 18:16:53.248666 False [  160936.313304] 0003 0036 000005ec
2022-04-02 18:16:53.248666 False [  160936.337299] 0003 0035 0000052d
2022-04-02 18:16:53.248666 False [  160936.337299] 0003 0036 000005d0
2022-04-02 18:16:53.439770 False [  160936.375238] 0003 0035 00000529
2022-04-02 18:16:53.439770 True [  160936.375238] 0003 0036 0000059a
