Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.5750715930537553 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 13:37:45.080006 False [  144179.006131] 0003 0036 000002e0
2022-04-02 13:37:45.087411 False [  144179.014271] 0003 0035 00000179
2022-04-02 13:37:45.087411 False [  144179.014271] 0003 0036 000002e3
2022-04-02 13:37:45.097032 False [  144179.023242] 0003 0035 0000017a
2022-04-02 13:37:45.097032 False [  144179.023242] 0003 0036 000002e5
2022-04-02 13:37:45.105177 False [  144179.031145] 0003 0036 000002e7
2022-04-02 13:37:45.121830 False [  144179.047993] 0003 0035 0000017c
2022-04-02 13:37:45.121830 False [  144179.047993] 0003 0036 000002ea
2022-04-02 13:37:45.129878 False [  144179.056042] 0003 0035 0000017e
2022-04-02 13:37:45.129878 False [  144179.056042] 0003 0036 000002ee
2022-04-02 13:37:45.138034 False [  144179.064116] 0003 0036 000002f0
2022-04-02 13:37:45.145950 False [  144179.072377] 0003 0035 0000017f
2022-04-02 13:37:45.145950 False [  144179.072377] 0003 0036 000002f2
2022-04-02 13:37:45.154112 False [  144179.080965] 0003 0035 00000181
2022-04-02 13:37:45.154112 False [  144179.080965] 0003 0036 000002f4
2022-04-02 13:37:45.162521 False [  144179.089277] 0003 0036 000002f7
2022-04-02 13:37:45.171346 False [  144179.097484] 0003 0035 00000182
2022-04-02 13:37:45.171346 False [  144179.097484] 0003 0036 000002fa
2022-04-02 13:37:45.180031 False [  144179.106458] 0003 0035 00000183
2022-04-02 13:37:45.180031 False [  144179.106458] 0003 0036 000002fb
2022-04-02 13:37:45.187624 False [  144179.114101] 0003 0035 00000185
2022-04-02 13:37:45.187624 False [  144179.114101] 0003 0036 000002fe
2022-04-02 13:37:45.196229 False [  144179.122548] 0003 0036 000002ff
2022-04-02 13:37:45.204613 False [  144179.130546] 0003 0035 00000186
2022-04-02 13:37:45.204613 False [  144179.130546] 0003 0036 00000302
2022-04-02 13:37:45.213472 False [  144179.139724] 0003 0035 00000187
2022-04-02 13:37:45.213472 False [  144179.139724] 0003 0036 00000304
2022-04-02 13:37:45.221750 False [  144179.147228] 0003 0035 00000188
2022-04-02 13:37:45.221750 False [  144179.147228] 0003 0036 00000306
2022-04-02 13:37:45.229373 False [  144179.155706] 0003 0035 0000018a
2022-04-02 13:37:45.229373 False [  144179.155706] 0003 0036 0000030a
2022-04-02 13:37:45.238257 False [  144179.163925] 0003 0035 0000018c
2022-04-02 13:37:45.238257 False [  144179.163925] 0003 0036 0000030d
2022-04-02 13:37:45.244724 False [  144179.172158] 0003 0035 0000018d
2022-04-02 13:37:45.244724 False [  144179.172158] 0003 0036 0000030f
2022-04-02 13:37:45.254695 False [  144179.180826] 0003 0035 0000018e
2022-04-02 13:37:45.254695 False [  144179.180826] 0003 0036 00000311
2022-04-02 13:37:45.261985 False [  144179.188908] 0003 0035 0000018f
2022-04-02 13:37:45.261985 False [  144179.188908] 0003 0036 00000313
2022-04-02 13:37:45.271800 False [  144179.197327] 0003 0036 00000315
2022-04-02 13:37:45.289016 False [  144179.213698] 0003 0035 00000190
2022-04-02 13:37:45.290108 False [  144179.213698] 0003 0036 00000316
2022-04-02 13:37:45.295947 False [  144179.222040] 0003 0035 00000191
2022-04-02 13:37:45.295947 False [  144179.222040] 0003 0036 00000319
2022-04-02 13:37:45.303046 False [  144179.230277] 0003 0035 00000193
2022-04-02 13:37:45.304176 False [  144179.230277] 0003 0036 0000031b
2022-04-02 13:37:45.312997 False [  144179.238618] 0003 0036 0000031d
2022-04-02 13:37:45.321522 False [  144179.246905] 0003 0035 00000195
2022-04-02 13:37:45.321522 False [  144179.246905] 0003 0036 0000031f
2022-04-02 13:37:45.329490 False [  144179.255259] 0003 0035 00000196
2022-04-02 13:37:45.329490 False [  144179.255259] 0003 0036 00000322
2022-04-02 13:37:45.337695 False [  144179.263497] 0003 0035 00000197
2022-04-02 13:37:45.337695 False [  144179.263497] 0003 0036 00000324
2022-04-02 13:37:45.345404 False [  144179.271892] 0003 0035 00000199
2022-04-02 13:37:45.346095 False [  144179.271892] 0003 0036 00000327
2022-04-02 13:37:45.354747 False [  144179.280160] 0003 0035 0000019a
2022-04-02 13:37:45.354747 False [  144179.280160] 0003 0036 0000032a
2022-04-02 13:37:45.369757 False [  144179.296717] 0003 0035 0000019c
2022-04-02 13:37:45.371597 False [  144179.296717] 0003 0036 0000032d
2022-04-02 13:37:45.379259 False [  144179.305075] 0003 0035 0000019f
2022-04-02 13:37:45.379259 False [  144179.305075] 0003 0036 00000331
2022-04-02 13:37:45.386492 False [  144179.313412] 0003 0035 000001a1
2022-04-02 13:37:45.387607 False [  144179.313412] 0003 0036 00000335
2022-04-02 13:37:45.395009 False [  144179.321821] 0003 0035 000001a3
2022-04-02 13:37:45.395995 False [  144179.321821] 0003 0036 00000338
2022-04-02 13:37:45.404462 False [  144179.329938] 0003 0035 000001a5
2022-04-02 13:37:45.404462 False [  144179.329938] 0003 0036 0000033a
2022-04-02 13:37:45.411315 False [  144179.338374] 0003 0035 000001a7
