Mode = area stim
        verts = 5 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.408553276708556 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 2
        ===============================
2022-04-07 19:10:35.547774 True [   19764.833824] 0003 0036 000003db
2022-04-07 19:10:35.569192 True [   19764.842672] 0003 0036 000003d9
2022-04-07 19:10:35.569192 True [   19764.853722] 0003 0035 00000437
2022-04-07 19:10:35.569192 True [   19764.853722] 0003 0036 000003d6
2022-04-07 19:10:35.584553 True [   19764.860586] 0003 0035 00000439
2022-04-07 19:10:35.584553 True [   19764.860586] 0003 0036 000003d2
2022-04-07 19:10:35.584553 True [   19764.867320] 0003 0035 0000043a
2022-04-07 19:10:35.584553 True [   19764.867320] 0003 0036 000003cf
2022-04-07 19:10:35.584553 True [   19764.875462] 0003 0035 0000043c
2022-04-07 19:10:35.584553 True [   19764.875462] 0003 0036 000003ca
2022-04-07 19:10:35.593998 True [   19764.883700] 0003 0035 0000043d
2022-04-07 19:10:35.593998 True [   19764.883700] 0003 0036 000003c7
2022-04-07 19:10:35.602922 True [   19764.892318] 0003 0035 00000443
2022-04-07 19:10:35.602922 True [   19764.892318] 0003 0036 000003bc
2022-04-07 19:10:35.602922 True [   19764.900970] 0003 0035 00000447
2022-04-07 19:10:35.602922 True [   19764.900970] 0003 0036 000003b5
2022-04-07 19:10:35.633810 True [   19764.908910] 0003 0035 0000044c
2022-04-07 19:10:35.633810 True [   19764.908910] 0003 0036 000003ad
2022-04-07 19:10:35.633810 True [   19764.917055] 0003 0035 00000450
2022-04-07 19:10:35.633810 True [   19764.917055] 0003 0036 000003a6
2022-04-07 19:10:35.637098 True [   19764.925824] 0003 0035 00000455
2022-04-07 19:10:35.637098 True [   19764.925824] 0003 0036 000003a0
2022-04-07 19:10:35.637098 True [   19764.933577] 0003 0035 00000458
2022-04-07 19:10:35.637098 True [   19764.933577] 0003 0036 0000039a
2022-04-07 19:10:35.659297 True [   19764.951013] 0003 0035 0000045a
2022-04-07 19:10:35.660305 False [   19764.951013] 0003 0036 00000396
2022-04-07 19:10:35.693297 False [   19764.959143] 0003 0035 0000045e
2022-04-07 19:10:35.693905 False [   19764.959143] 0003 0036 0000038f
2022-04-07 19:10:35.709122 False [   19764.966818] 0003 0035 00000462
2022-04-07 19:10:35.709122 False [   19764.966818] 0003 0036 00000389
2022-04-07 19:10:35.709122 False [   19764.975198] 0003 0035 00000465
2022-04-07 19:10:35.709122 False [   19764.975198] 0003 0036 00000382
2022-04-07 19:10:35.709122 False [   19764.983376] 0003 0035 00000468
2022-04-07 19:10:35.709122 False [   19764.983376] 0003 0036 0000037c
2022-04-07 19:10:35.709122 False [   19764.991827] 0003 0035 0000046b
2022-04-07 19:10:35.709122 False [   19764.991827] 0003 0036 00000376
2022-04-07 19:10:35.734429 False [   19765.000107] 0003 0035 0000046d
2022-04-07 19:10:35.734429 False [   19765.000107] 0003 0036 00000371
2022-04-07 19:10:35.734429 False [   19765.008368] 0003 0035 0000046f
2022-04-07 19:10:35.734429 False [   19765.008368] 0003 0036 0000036e
2022-04-07 19:10:35.767101 False [   19765.016695] 0003 0035 00000470
2022-04-07 19:10:35.767101 False [   19765.016695] 0003 0036 0000036c
2022-04-07 19:10:35.767101 False [   19765.025127] 0003 0035 00000472
2022-04-07 19:10:35.767101 False [   19765.025127] 0003 0036 00000369
2022-04-07 19:10:35.767101 False [   19765.033200] 0003 0035 00000473
2022-04-07 19:10:35.767101 False [   19765.033200] 0003 0036 00000368
2022-04-07 19:10:35.803941 False [   19765.041644] 0003 0035 00000474
2022-04-07 19:10:35.803941 False [   19765.041644] 0003 0036 00000366
2022-04-07 19:10:35.803941 False [   19765.049898] 0003 0035 00000476
2022-04-07 19:10:35.803941 False [   19765.049898] 0003 0036 00000365
2022-04-07 19:10:35.803941 False [   19765.058596] 0003 0036 00000364
2022-04-07 19:10:35.803941 False [   19765.067014] 0003 0035 00000477
2022-04-07 19:10:35.803941 False [   19765.067014] 0003 0036 00000363
2022-04-07 19:10:35.803941 False [   19765.074937] 0003 0035 00000478
2022-04-07 19:10:35.803941 False [   19765.074937] 0003 0036 00000362
2022-04-07 19:10:35.807932 False [   19765.083218] 0003 0035 00000479
2022-04-07 19:10:35.807932 False [   19765.083218] 0003 0036 00000361
2022-04-07 19:10:35.807932 False [   19765.091588] 0003 0035 0000047a
