Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.7129622096586834 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 14:58:47.556763 True [    2661.091047] 0003 0035 00000401
2022-04-06 14:58:47.556763 True [    2661.091047] 0003 0036 00000431
2022-04-06 14:58:47.563387 True [    2661.097861] 0003 0035 00000408
2022-04-06 14:58:47.563387 True [    2661.097861] 0003 0036 0000042a
2022-04-06 14:58:47.574059 True [    2661.107439] 0003 0035 00000410
2022-04-06 14:58:47.574059 True [    2661.107439] 0003 0036 00000422
2022-04-06 14:58:47.581543 True [    2661.114485] 0003 0035 00000417
2022-04-06 14:58:47.581543 True [    2661.114485] 0003 0036 0000041a
2022-04-06 14:58:47.589695 True [    2661.124454] 0003 0035 0000041e
2022-04-06 14:58:47.589695 True [    2661.124454] 0003 0036 00000412
2022-04-06 14:58:47.597792 True [    2661.131066] 0003 0035 00000424
2022-04-06 14:58:47.597792 True [    2661.131066] 0003 0036 0000040b
2022-04-06 14:58:47.608209 True [    2661.141070] 0003 0035 0000042b
2022-04-06 14:58:47.608209 True [    2661.141070] 0003 0036 00000404
2022-04-06 14:58:47.613564 True [    2661.147675] 0003 0035 00000431
2022-04-06 14:58:47.613564 True [    2661.147675] 0003 0036 000003fc
2022-04-06 14:58:47.622425 True [    2661.156381] 0003 0035 00000437
2022-04-06 14:58:47.622425 True [    2661.156381] 0003 0036 000003f5
2022-04-06 14:58:47.632491 True [    2661.164881] 0003 0035 0000043d
2022-04-06 14:58:47.632491 True [    2661.164881] 0003 0036 000003ef
2022-04-06 14:58:47.639571 True [    2661.173488] 0003 0035 00000443
2022-04-06 14:58:47.639571 True [    2661.173488] 0003 0036 000003e8
2022-04-06 14:58:47.646977 True [    2661.181706] 0003 0035 00000448
2022-04-06 14:58:47.646977 True [    2661.181706] 0003 0036 000003e1
2022-04-06 14:58:47.656635 True [    2661.189573] 0003 0035 0000044d
2022-04-06 14:58:47.656635 True [    2661.189573] 0003 0036 000003db
2022-04-06 14:58:47.663132 True [    2661.197717] 0003 0035 00000451
2022-04-06 14:58:47.663132 True [    2661.197717] 0003 0036 000003d5
2022-04-06 14:58:47.675661 True [    2661.206421] 0003 0035 00000456
2022-04-06 14:58:47.675661 True [    2661.206421] 0003 0036 000003d0
2022-04-06 14:58:47.679563 True [    2661.214301] 0003 0035 0000045a
2022-04-06 14:58:47.679563 True [    2661.214301] 0003 0036 000003ca
