Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.6857856942090075 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 18:19:55.243793 True [  161118.114730] 0003 0035 00000199
2022-04-02 18:19:55.243793 True [  161118.114730] 0003 0036 000004cf
2022-04-02 18:19:55.243793 False [  161118.139567] 0003 0035 00000193
2022-04-02 18:19:55.243793 False [  161118.139567] 0003 0036 000004d0
2022-04-02 18:19:55.243793 False [  161118.157535] 0003 0035 00000192
2022-04-02 18:19:55.280584 False [  161118.185402] 0003 0035 0000018e
2022-04-02 18:19:55.280584 False [  161118.216348] 0003 0035 0000018c
2022-04-02 18:19:55.280584 False [  161118.248277] 0003 0035 0000018a
2022-04-02 18:19:55.280584 False [  161118.279084] 0003 0035 00000188
2022-04-02 18:19:55.280584 False [  161118.306965] 0003 0035 00000185
2022-04-02 18:19:55.280584 False [  161118.335252] 0003 0035 00000181
2022-04-02 18:19:55.567449 False [  161118.374941] 0003 0035 0000017e
2022-04-02 18:19:55.567449 False [  161118.404539] 0003 0035 0000017a
2022-04-02 18:19:55.567449 False [  161118.404539] 0003 0036 000004d1
2022-04-02 18:19:55.604703 False [  161118.431394] 0003 0035 00000176
2022-04-02 18:19:55.604703 False [  161118.431394] 0003 0036 000004d2
2022-04-02 18:19:55.604703 False [  161118.458953] 0003 0035 00000174
2022-04-02 18:19:55.604703 False [  161118.458953] 0003 0036 000004d3
2022-04-02 18:19:55.604703 False [  161118.487717] 0003 0035 00000172
2022-04-02 18:19:55.604703 False [  161118.519833] 0003 0035 0000016c
2022-04-02 18:19:55.604703 False [  161118.519833] 0003 0036 000004d4
2022-04-02 18:19:55.604703 False [  161118.540718] 0003 0035 00000169
2022-04-02 18:19:55.604703 False [  161118.572883] 0003 0035 00000164
2022-04-02 18:19:55.604703 False [  161118.604099] 0003 0035 00000162
2022-04-02 18:19:55.604703 False [  161118.634424] 0003 0035 00000161
2022-04-02 18:19:55.604703 False [  161118.663099] 0003 0035 00000160
2022-04-02 18:19:55.604703 False [  161118.663099] 0003 0036 000004d5
2022-04-02 18:19:55.604703 False [  161118.691779] 0003 0035 0000015f
2022-04-02 18:19:55.967653 False [  161118.868449] 0003 0035 0000015e
2022-04-02 18:19:55.967653 False [  161118.909122] 0003 0035 0000015d
2022-04-02 18:19:55.967653 False [  161118.951616] 0003 0035 00000158
2022-04-02 18:19:55.967653 False [  161118.978484] 0003 0035 00000156
2022-04-02 18:19:55.967653 False [  161119.007731] 0003 0035 00000155
2022-04-02 18:19:55.967653 False [  161119.043577] 0003 0035 00000153
2022-04-02 18:19:56.189509 False [  161119.100183] 0003 0035 00000154
2022-04-02 18:19:56.231965 False [  161119.128053] 0003 0035 00000155
2022-04-02 18:19:56.232963 False [  161119.155559] 0003 0035 00000157
2022-04-02 18:19:56.232963 False [  161119.155559] 0003 0036 000004d4
2022-04-02 18:19:56.232963 False [  161119.180519] 0003 0035 0000015a
2022-04-02 18:19:56.232963 False [  161119.180519] 0003 0036 000004d3
2022-04-02 18:19:56.232963 False [  161119.205140] 0003 0035 0000015e
2022-04-02 18:19:56.232963 False [  161119.205140] 0003 0036 000004d1
2022-04-02 18:19:56.232963 False [  161119.232524] 0003 0035 00000163
2022-04-02 18:19:56.232963 False [  161119.232524] 0003 0036 000004d0
2022-04-02 18:19:56.232963 False [  161119.261542] 0003 0035 00000167
2022-04-02 18:19:56.232963 False [  161119.261542] 0003 0036 000004cf
2022-04-02 18:19:56.232963 False [  161119.286218] 0003 0035 0000016c
2022-04-02 18:19:56.232963 False [  161119.286218] 0003 0036 000004cd
2022-04-02 18:19:56.232963 False [  161119.312319] 0003 0035 0000016f
2022-04-02 18:19:56.232963 False [  161119.312319] 0003 0036 000004cc
2022-04-02 18:19:56.363036 False [  161119.335178] 0003 0035 00000173
2022-04-02 18:19:56.363036 False [  161119.335178] 0003 0036 000004ca
2022-04-02 18:19:56.363036 False [  161119.357811] 0003 0035 00000176
2022-04-02 18:19:56.363036 False [  161119.357811] 0003 0036 000004c8
2022-04-02 18:19:56.373858 False [  161119.387278] 0003 0035 00000178
2022-04-02 18:19:56.373858 False [  161119.387278] 0003 0036 000004c4
2022-04-02 18:19:56.373858 False [  161119.413575] 0003 0035 0000017a
2022-04-02 18:19:56.373858 False [  161119.413575] 0003 0036 000004c2
2022-04-02 18:19:56.373858 False [  161119.436520] 0003 0035 0000017b
2022-04-02 18:19:56.373858 False [  161119.436520] 0003 0036 000004c0
2022-04-02 18:19:56.373858 False [  161119.461642] 0003 0035 0000017c
2022-04-02 18:19:56.373858 False [  161119.461642] 0003 0036 000004bf
2022-04-02 18:19:56.438237 False [  161119.540824] 0003 0035 0000017d
2022-04-02 18:19:56.664205 False [  161119.565353] 0003 0035 0000017e
2022-04-02 18:19:56.785875 False [  161119.596881] 0003 0036 000004c0
2022-04-02 18:19:56.785875 False [  161119.626241] 0003 0035 00000181
2022-04-02 18:19:56.785875 False [  161119.626241] 0003 0036 000004c1
2022-04-02 18:19:56.785875 False [  161119.649021] 0003 0035 00000185
2022-04-02 18:19:56.785875 False [  161119.649021] 0003 0036 000004c2
2022-04-02 18:19:56.785875 False [  161119.674560] 0003 0035 00000186
2022-04-02 18:19:56.785875 False [  161119.674560] 0003 0036 000004c3
2022-04-02 18:19:56.785875 False [  161119.700753] 0003 0035 00000188
2022-04-02 18:19:56.785875 False [  161119.727472] 0003 0035 00000189
2022-04-02 18:19:56.785875 False [  161119.756628] 0003 0035 0000018b
2022-04-02 18:19:56.785875 False [  161119.787178] 0003 0035 0000018f
2022-04-02 18:19:56.792920 False [  161119.817718] 0003 0035 00000193
2022-04-02 18:19:56.792920 True [  161119.845320] 0003 0035 00000195
2022-04-02 18:19:56.792920 True [  161119.873395] 0003 0035 00000197
2022-04-02 18:19:57.033957 True [  161120.057310] 0003 0035 00000198
2022-04-02 18:19:57.161107 True [  161120.097170] 0003 0035 00000199
2022-04-02 18:19:57.161107 True [  161120.130382] 0003 0035 0000019a
2022-04-02 18:19:57.170730 True [  161120.163530] 0003 0036 000004c2
2022-04-02 18:19:57.170730 True [  161120.194135] 0003 0035 0000019b
2022-04-02 18:19:57.170730 True [  161120.194135] 0003 0036 000004c1
2022-04-02 18:19:57.170730 True [  161120.221830] 0003 0036 000004c0
2022-04-02 18:19:57.170730 True [  161120.251318] 0003 0036 000004bf
2022-04-02 18:19:57.265948 True [  161120.296752] 0003 0036 000004be
2022-04-02 18:19:57.332781 True [  161120.329838] 0003 0036 000004bd
2022-04-02 18:19:57.332781 True [  161120.362994] 0003 0036 000004bc
2022-04-02 18:19:57.341382 True [  161120.396365] 0003 0036 000004bb
2022-04-02 18:19:57.394937 True [  161120.479252] 0003 0036 000004bc
2022-04-02 18:19:57.538655 True [  161120.521022] 0003 0035 00000199
2022-04-02 18:19:57.538655 True [  161120.521022] 0003 0036 000004be
2022-04-02 18:19:57.731603 True [  161120.537944] 0003 0035 00000197
2022-04-02 18:19:57.731603 True [  161120.558274] 0003 0035 00000196
2022-04-02 18:19:57.731603 True [  161120.558274] 0003 0036 000004bf
2022-04-02 18:19:57.731603 True [  161120.578778] 0003 0035 00000194
