Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.6441488082621192 
    wm_size = [1600 2560] 
    stim_amp = 5 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:48:32.917214 False [    2046.459487] 0003 0035 000003d4
2022-04-06 14:48:32.917214 False [    2046.459487] 0003 0036 00000752
2022-04-06 14:48:32.924355 False [    2046.467623] 0003 0036 00000754
2022-04-06 14:48:32.933460 False [    2046.476052] 0003 0035 000003d3
2022-04-06 14:48:32.940876 False [    2046.484246] 0003 0036 00000755
2022-04-06 14:48:32.949269 False [    2046.492598] 0003 0035 000003d2
2022-04-06 14:48:32.957615 False [    2046.500900] 0003 0036 00000756
2022-04-06 14:48:32.965081 False [    2046.509204] 0003 0036 00000757
2022-04-06 14:48:32.975220 False [    2046.517401] 0003 0035 000003d1
2022-04-06 14:48:32.990874 False [    2046.534025] 0003 0035 000003d0
2022-04-06 14:48:32.990874 False [    2046.534025] 0003 0036 00000758
2022-04-06 14:48:33.000217 False [    2046.542449] 0003 0035 000003cf
2022-04-06 14:48:33.023946 False [    2046.567169] 0003 0035 000003ce
2022-04-06 14:48:33.033256 False [    2046.575682] 0003 0035 000003cd
2022-04-06 14:48:33.041771 False [    2046.583859] 0003 0035 000003cc
2022-04-06 14:48:33.050209 False [    2046.592302] 0003 0035 000003cb
2022-04-06 14:48:33.058128 False [    2046.600497] 0003 0035 000003ca
2022-04-06 14:48:33.066629 False [    2046.608928] 0003 0035 000003c8
2022-04-06 14:48:33.073529 False [    2046.617104] 0003 0035 000003c7
2022-04-06 14:48:33.073529 False [    2046.617104] 0003 0036 00000757
2022-04-06 14:48:33.081852 False [    2046.625548] 0003 0035 000003c2
2022-04-06 14:48:33.081852 False [    2046.625548] 0003 0036 00000755
2022-04-06 14:48:33.090772 False [    2046.633756] 0003 0035 000003bf
2022-04-06 14:48:33.090772 False [    2046.633756] 0003 0036 00000754
2022-04-06 14:48:33.098112 False [    2046.642168] 0003 0035 000003bc
2022-04-06 14:48:33.098112 False [    2046.642168] 0003 0036 00000753
2022-04-06 14:48:33.106935 False [    2046.650344] 0003 0035 000003b9
2022-04-06 14:48:33.106935 False [    2046.650344] 0003 0036 00000752
2022-04-06 14:48:33.116114 False [    2046.658792] 0003 0035 000003b6
2022-04-06 14:48:33.116114 False [    2046.658792] 0003 0036 00000750
2022-04-06 14:48:33.124626 False [    2046.666961] 0003 0035 000003b4
2022-04-06 14:48:33.124626 False [    2046.666961] 0003 0036 0000074f
2022-04-06 14:48:33.131668 False [    2046.675400] 0003 0035 000003b2
2022-04-06 14:48:33.140253 False [    2046.683580] 0003 0035 000003af
2022-04-06 14:48:33.140253 False [    2046.683580] 0003 0036 0000074e
2022-04-06 14:48:33.148698 False [    2046.692001] 0003 0035 000003ad
2022-04-06 14:48:33.148698 False [    2046.692001] 0003 0036 0000074d
2022-04-06 14:48:33.156942 False [    2046.700171] 0003 0035 000003ab
2022-04-06 14:48:33.156942 False [    2046.700171] 0003 0036 0000074c
2022-04-06 14:48:33.174709 False [    2046.716878] 0003 0035 000003a8
2022-04-06 14:48:33.174709 False [    2046.716878] 0003 0036 0000074b
2022-04-06 14:48:33.181986 False [    2046.725250] 0003 0035 000003a6
2022-04-06 14:48:33.181986 False [    2046.725250] 0003 0036 0000074a
2022-04-06 14:48:33.190763 False [    2046.733409] 0003 0035 000003a4
2022-04-06 14:48:33.190763 False [    2046.733409] 0003 0036 00000748
2022-04-06 14:48:33.198397 False [    2046.741887] 0003 0035 000003a1
2022-04-06 14:48:33.198397 False [    2046.741887] 0003 0036 00000746
