Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.6745057391461673 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:43:35.422387 True [  158938.548917] 0003 0036 00000494
2022-04-02 17:43:35.422387 True [  158938.559215] 0003 0035 000004c2
2022-04-02 17:43:35.437742 True [  158938.574039] 0003 0035 000004c3
2022-04-02 17:43:35.437742 True [  158938.574039] 0003 0036 00000493
2022-04-02 17:43:35.500789 True [  158938.582073] 0003 0035 000004c4
2022-04-02 17:43:35.500789 True [  158938.591494] 0003 0035 000004c5
2022-04-02 17:43:35.506458 True [  158938.601911] 0003 0036 00000492
2022-04-02 17:43:35.506458 True [  158938.612902] 0003 0035 000004c6
2022-04-02 17:43:35.506458 True [  158938.623743] 0003 0035 000004c7
2022-04-02 17:43:35.506458 True [  158938.634361] 0003 0035 000004c8
2022-04-02 17:43:35.506458 True [  158938.634361] 0003 0036 00000491
2022-04-02 17:43:35.506458 True [  158938.642596] 0003 0035 000004c9
2022-04-02 17:43:35.546290 True [  158938.681846] 0003 0035 000004ca
2022-04-02 17:43:35.606239 True [  158938.706644] 0003 0035 000004cb
2022-04-02 17:43:35.667638 True [  158938.721799] 0003 0035 000004cc
2022-04-02 17:43:35.667638 True [  158938.731427] 0003 0036 00000492
2022-04-02 17:43:35.667638 True [  158938.741183] 0003 0035 000004ce
2022-04-02 17:43:35.667638 True [  158938.741183] 0003 0036 00000493
2022-04-02 17:43:35.667638 True [  158938.749086] 0003 0035 000004d3
2022-04-02 17:43:35.668628 True [  158938.749086] 0003 0036 00000494
2022-04-02 17:43:35.668628 True [  158938.760251] 0003 0035 000004d6
2022-04-02 17:43:35.668628 True [  158938.760251] 0003 0036 00000495
2022-04-02 17:43:35.673965 True [  158938.767846] 0003 0035 000004d7
2022-04-02 17:43:35.673965 True [  158938.767846] 0003 0036 00000496
2022-04-02 17:43:35.673965 True [  158938.777077] 0003 0035 000004d9
2022-04-02 17:43:35.673965 True [  158938.777077] 0003 0036 00000497
2022-04-02 17:43:35.673965 True [  158938.781587] 0003 0035 000004da
2022-04-02 17:43:35.673965 True [  158938.792132] 0003 0035 000004dc
2022-04-02 17:43:35.673965 False [  158938.792132] 0003 0036 00000498
2022-04-02 17:43:35.673965 False [  158938.798179] 0003 0035 000004dd
2022-04-02 17:43:35.673965 False [  158938.808643] 0003 0035 000004de
2022-04-02 17:43:35.717300 False [  158938.831514] 0003 0035 000004df
2022-04-02 17:43:35.717300 False [  158938.831514] 0003 0036 00000499
2022-04-02 17:43:35.760581 False [  158938.840214] 0003 0035 000004e0
2022-04-02 17:43:35.760581 False [  158938.850318] 0003 0035 000004e2
2022-04-02 17:43:35.760581 False [  158938.862608] 0003 0035 000004e4
2022-04-02 17:43:35.760581 False [  158938.871717] 0003 0035 000004e5
2022-04-02 17:43:35.765965 False [  158938.880385] 0003 0035 000004e7
2022-04-02 17:43:35.765965 False [  158938.891742] 0003 0035 000004e9
2022-04-02 17:43:35.765965 False [  158938.903311] 0003 0035 000004eb
2022-04-02 17:43:35.765965 False [  158938.906657] 0003 0035 000004ec
2022-04-02 17:43:35.820438 False [  158938.922687] 0003 0035 000004ed
2022-04-02 17:43:35.871921 False [  158938.934746] 0003 0035 000004ee
2022-04-02 17:43:35.871921 False [  158938.945032] 0003 0035 000004ef
2022-04-02 17:43:35.871921 False [  158938.955670] 0003 0035 000004f0
2022-04-02 17:43:35.871921 False [  158938.964387] 0003 0035 000004f1
2022-04-02 17:43:35.871921 False [  158938.975361] 0003 0035 000004f2
2022-04-02 17:43:35.893287 False [  158938.986579] 0003 0035 000004f3
2022-04-02 17:43:35.893287 False [  158938.996310] 0003 0036 0000049a
2022-04-02 17:43:35.893287 False [  158939.007049] 0003 0035 000004f4
2022-04-02 17:43:35.893287 False [  158939.015807] 0003 0035 000004f6
2022-04-02 17:43:35.893287 False [  158939.026513] 0003 0035 000004f7
2022-04-02 17:43:35.899101 False [  158939.039077] 0003 0035 000004f8
2022-04-02 17:43:35.899101 False [  158939.039077] 0003 0036 0000049b
2022-04-02 17:43:35.943232 False [  158939.056352] 0003 0035 000004f9
2022-04-02 17:43:36.009585 False [  158939.068824] 0003 0035 000004fb
2022-04-02 17:43:36.009585 False [  158939.080702] 0003 0035 000004fc
2022-04-02 17:43:36.009585 False [  158939.090745] 0003 0035 000004fe
2022-04-02 17:43:36.009585 False [  158939.090745] 0003 0036 0000049c
2022-04-02 17:43:36.009585 False [  158939.098247] 0003 0035 00000500
2022-04-02 17:43:36.026230 False [  158939.108507] 0003 0035 00000502
2022-04-02 17:43:36.026230 False [  158939.118011] 0003 0035 00000504
2022-04-02 17:43:36.026230 False [  158939.129684] 0003 0035 00000505
2022-04-02 17:43:36.026230 False [  158939.140612] 0003 0035 00000506
2022-04-02 17:43:36.026230 False [  158939.152190] 0003 0035 00000507
2022-04-02 17:43:36.026230 False [  158939.164793] 0003 0035 00000509
2022-04-02 17:43:36.058121 False [  158939.180820] 0003 0035 0000050a
2022-04-02 17:43:36.062586 False [  158939.194075] 0003 0035 0000050b
2022-04-02 17:43:36.078205 False [  158939.221866] 0003 0035 0000050c
2022-04-02 17:43:36.252435 False [  158939.396606] 0003 0035 0000050b
2022-04-02 17:43:36.270363 False [  158939.413084] 0003 0035 0000050a
