Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.14700834812125765 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 14:46:51.089640 True [    1944.633094] 0003 0035 000003ea
2022-04-06 14:46:51.089640 True [    1944.633094] 0003 0036 0000038f
2022-04-06 14:46:51.097041 True [    1944.641352] 0003 0035 000003e6
2022-04-06 14:46:51.097041 True [    1944.641352] 0003 0036 0000038d
2022-04-06 14:46:51.105205 True [    1944.649726] 0003 0035 000003e3
2022-04-06 14:46:51.105205 True [    1944.649726] 0003 0036 0000038b
2022-04-06 14:46:51.113699 True [    1944.657889] 0003 0035 000003e1
2022-04-06 14:46:51.113699 True [    1944.657889] 0003 0036 0000038a
2022-04-06 14:46:51.120890 True [    1944.666353] 0003 0035 000003df
2022-04-06 14:46:51.120890 True [    1944.666353] 0003 0036 00000389
2022-04-06 14:46:51.129852 True [    1944.674533] 0003 0035 000003dd
2022-04-06 14:46:51.129852 True [    1944.674533] 0003 0036 00000388
2022-04-06 14:46:51.138081 True [    1944.682951] 0003 0035 000003db
2022-04-06 14:46:51.139200 True [    1944.682951] 0003 0036 00000384
2022-04-06 14:46:51.146444 True [    1944.691148] 0003 0035 000003d9
2022-04-06 14:46:51.146444 True [    1944.691148] 0003 0036 00000382
2022-04-06 14:46:51.155499 True [    1944.699568] 0003 0035 000003d7
2022-04-06 14:46:51.155499 True [    1944.699568] 0003 0036 00000380
2022-04-06 14:46:51.163323 True [    1944.707792] 0003 0035 000003d6
2022-04-06 14:46:51.163323 True [    1944.707792] 0003 0036 0000037f
2022-04-06 14:46:51.171979 True [    1944.716195] 0003 0035 000003d5
2022-04-06 14:46:51.171979 True [    1944.716195] 0003 0036 0000037e
2022-04-06 14:46:51.180551 True [    1944.724401] 0003 0035 000003d4
2022-04-06 14:46:51.180551 True [    1944.724401] 0003 0036 0000037c
2022-04-06 14:46:51.187359 True [    1944.732813] 0003 0035 000003d3
2022-04-06 14:46:51.188362 True [    1944.732813] 0003 0036 0000037b
2022-04-06 14:46:51.195648 True [    1944.741025] 0003 0035 000003d2
2022-04-06 14:46:51.197228 True [    1944.741025] 0003 0036 00000379
2022-04-06 14:46:51.205328 True [    1944.749463] 0003 0035 000003d0
2022-04-06 14:46:51.205328 True [    1944.749463] 0003 0036 00000378
2022-04-06 14:46:51.213605 True [    1944.757613] 0003 0035 000003cf
2022-04-06 14:46:51.213605 True [    1944.757613] 0003 0036 00000377
2022-04-06 14:46:51.222919 True [    1944.766077] 0003 0035 000003ce
2022-04-06 14:46:51.222919 True [    1944.766077] 0003 0036 00000376
2022-04-06 14:46:51.229540 True [    1944.774240] 0003 0035 000003cd
2022-04-06 14:46:51.229540 True [    1944.774240] 0003 0036 00000375
2022-04-06 14:46:51.237610 True [    1944.782676] 0003 0036 00000374
2022-04-06 14:46:51.246533 True [    1944.790869] 0003 0035 000003cc
2022-04-06 14:46:51.254675 True [    1944.799317] 0003 0035 000003c9
2022-04-06 14:46:51.254675 True [    1944.799317] 0003 0036 00000372
2022-04-06 14:46:51.263084 True [    1944.807468] 0003 0035 000003c7
2022-04-06 14:46:51.263084 True [    1944.807468] 0003 0036 00000370
2022-04-06 14:46:51.271157 True [    1944.815939] 0003 0035 000003c4
2022-04-06 14:46:51.271157 True [    1944.815939] 0003 0036 0000036e
2022-04-06 14:46:51.279564 True [    1944.824103] 0003 0035 000003c3
2022-04-06 14:46:51.288838 True [    1944.833557] 0003 0035 000003c2
2022-04-06 14:46:51.288838 True [    1944.833557] 0003 0036 0000036d
2022-04-06 14:46:51.297047 True [    1944.841249] 0003 0035 000003c0
2022-04-06 14:46:51.297047 True [    1944.841249] 0003 0036 0000036c
2022-04-06 14:46:51.312182 True [    1944.857283] 0003 0036 0000036b
2022-04-06 14:46:51.320752 True [    1944.865807] 0003 0035 000003bf
2022-04-06 14:46:51.329394 True [    1944.874007] 0003 0035 000003be
2022-04-06 14:46:51.329394 True [    1944.874007] 0003 0036 0000036a
2022-04-06 14:46:51.354065 True [    1944.899007] 0003 0035 000003bd
2022-04-06 14:46:51.362513 True [    1944.907224] 0003 0036 00000369
2022-04-06 14:46:51.370463 True [    1944.915641] 0003 0035 000003bc
2022-04-06 14:46:51.371466 True [    1944.915641] 0003 0036 00000368
