Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.882655844763039 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 13:51:01.738987 False [  230093.105733] 0003 0036 0000036e
2022-04-06 13:51:01.756044 False [  230093.122397] 0003 0035 0000053c
2022-04-06 13:51:01.756044 False [  230093.122397] 0003 0036 00000370
2022-04-06 13:51:01.764034 False [  230093.130515] 0003 0036 00000371
2022-04-06 13:51:01.772982 False [  230093.139299] 0003 0035 0000053d
2022-04-06 13:51:01.772982 False [  230093.139299] 0003 0036 00000373
2022-04-06 13:51:01.780111 False [  230093.147204] 0003 0036 00000374
2022-04-06 13:51:01.788489 False [  230093.155666] 0003 0035 0000053e
2022-04-06 13:51:01.788489 False [  230093.155666] 0003 0036 00000376
2022-04-06 13:51:01.797631 False [  230093.164333] 0003 0036 00000378
2022-04-06 13:51:01.805037 False [  230093.172107] 0003 0036 00000379
2022-04-06 13:51:01.814182 False [  230093.180512] 0003 0036 0000037a
2022-04-06 13:51:01.822723 False [  230093.189286] 0003 0036 0000037b
2022-04-06 13:51:01.829976 False [  230093.197036] 0003 0036 0000037d
2022-04-06 13:51:01.838881 False [  230093.205610] 0003 0036 0000037e
2022-04-06 13:51:01.847744 False [  230093.214251] 0003 0036 0000037f
2022-04-06 13:51:01.855562 False [  230093.222385] 0003 0036 00000380
2022-04-06 13:51:01.863530 False [  230093.230287] 0003 0036 00000382
2022-04-06 13:51:01.872247 False [  230093.238895] 0003 0036 00000383
2022-04-06 13:51:01.880153 False [  230093.246942] 0003 0036 00000384
2022-04-06 13:51:01.897697 False [  230093.263449] 0003 0036 00000386
2022-04-06 13:51:01.905227 False [  230093.271919] 0003 0035 0000053f
2022-04-06 13:51:01.905227 False [  230093.271919] 0003 0036 00000387
2022-04-06 13:51:01.913946 False [  230093.280301] 0003 0036 00000389
2022-04-06 13:51:01.930862 False [  230093.296880] 0003 0036 0000038b
2022-04-06 13:51:01.938398 False [  230093.305349] 0003 0036 0000038c
2022-04-06 13:51:01.946741 False [  230093.313338] 0003 0035 00000540
2022-04-06 13:51:01.946741 False [  230093.313338] 0003 0036 0000038e
2022-04-06 13:51:01.955329 False [  230093.322118] 0003 0036 0000038f
2022-04-06 13:51:01.963786 False [  230093.330185] 0003 0036 00000391
2022-04-06 13:51:01.972004 False [  230093.338643] 0003 0036 00000392
2022-04-06 13:51:01.980007 False [  230093.346794] 0003 0036 00000394
2022-04-06 13:51:01.988456 False [  230093.355552] 0003 0036 00000396
2022-04-06 13:51:01.996810 False [  230093.363487] 0003 0036 00000398
2022-04-06 13:51:02.005122 False [  230093.372036] 0003 0036 00000399
2022-04-06 13:51:02.013393 False [  230093.379951] 0003 0036 0000039a
2022-04-06 13:51:02.022799 False [  230093.389040] 0003 0036 0000039c
2022-04-06 13:51:02.029944 False [  230093.396664] 0003 0036 0000039e
2022-04-06 13:51:02.038291 False [  230093.405161] 0003 0036 0000039f
2022-04-06 13:51:02.046862 False [  230093.413372] 0003 0036 000003a0
2022-04-06 13:51:02.055198 False [  230093.421853] 0003 0036 000003a2
2022-04-06 13:51:02.063449 False [  230093.429790] 0003 0036 000003a4
2022-04-06 13:51:02.071886 False [  230093.438440] 0003 0036 000003a6
2022-04-06 13:51:02.079995 False [  230093.446568] 0003 0035 00000541
2022-04-06 13:51:02.079995 False [  230093.446568] 0003 0036 000003a9
2022-04-06 13:51:02.088564 False [  230093.455162] 0003 0036 000003aa
2022-04-06 13:51:02.096809 False [  230093.463146] 0003 0036 000003ac
2022-04-06 13:51:02.105868 False [  230093.472261] 0003 0036 000003ae
2022-04-06 13:51:02.113367 False [  230093.479670] 0003 0036 000003af
2022-04-06 13:51:02.121855 False [  230093.488229] 0003 0036 000003b1
2022-04-06 13:51:02.130002 False [  230093.496583] 0003 0036 000003b3
2022-04-06 13:51:02.138161 False [  230093.504649] 0003 0036 000003b5
2022-04-06 13:51:02.146196 False [  230093.513261] 0003 0036 000003b6
2022-04-06 13:51:02.154814 False [  230093.521489] 0003 0036 000003b7
2022-04-06 13:51:02.162986 False [  230093.529729] 0003 0036 000003b9
2022-04-06 13:51:02.171087 False [  230093.538028] 0003 0036 000003ba
2022-04-06 13:51:02.179438 False [  230093.546131] 0003 0036 000003bb
2022-04-06 13:51:02.188055 False [  230093.554557] 0003 0036 000003bc
2022-04-06 13:51:02.196150 False [  230093.562898] 0003 0035 00000542
2022-04-06 13:51:02.196150 False [  230093.562898] 0003 0036 000003bd
2022-04-06 13:51:02.204471 False [  230093.571135] 0003 0036 000003bf
2022-04-06 13:51:02.221479 False [  230093.588284] 0003 0036 000003c1
2022-04-06 13:51:02.230016 False [  230093.596436] 0003 0036 000003c2
2022-04-06 13:51:02.238417 False [  230093.605086] 0003 0035 00000543
2022-04-06 13:51:02.238417 False [  230093.605086] 0003 0036 000003c4
2022-04-06 13:51:02.245786 False [  230093.612535] 0003 0036 000003c5
2022-04-06 13:51:02.255075 False [  230093.621159] 0003 0036 000003c6
2022-04-06 13:51:02.262987 False [  230093.629574] 0003 0036 000003c8
2022-04-06 13:51:02.271026 False [  230093.637981] 0003 0035 00000544
2022-04-06 13:51:02.271026 False [  230093.637981] 0003 0036 000003c9
2022-04-06 13:51:02.278937 False [  230093.645832] 0003 0036 000003cb
2022-04-06 13:51:02.287571 False [  230093.654570] 0003 0036 000003cc
2022-04-06 13:51:02.295825 False [  230093.662541] 0003 0036 000003ce
2022-04-06 13:51:02.305182 False [  230093.671239] 0003 0036 000003d0
2022-04-06 13:51:02.313105 False [  230093.679132] 0003 0036 000003d1
2022-04-06 13:51:02.320950 False [  230093.687789] 0003 0035 00000545
2022-04-06 13:51:02.320950 False [  230093.687789] 0003 0036 000003d3
2022-04-06 13:51:02.330039 False [  230093.695635] 0003 0036 000003d5
2022-04-06 13:51:02.337935 False [  230093.704476] 0003 0035 00000546
2022-04-06 13:51:02.337935 False [  230093.704476] 0003 0036 000003d7
2022-04-06 13:51:02.345692 False [  230093.712286] 0003 0036 000003d9
2022-04-06 13:51:02.353159 False [  230093.720835] 0003 0036 000003db
2022-04-06 13:51:02.362119 False [  230093.728951] 0003 0036 000003dd
2022-04-06 13:51:02.371002 False [  230093.737397] 0003 0036 000003de
2022-04-06 13:51:02.379701 False [  230093.745515] 0003 0036 000003e0
2022-04-06 13:51:02.387113 False [  230093.753939] 0003 0036 000003e2
2022-04-06 13:51:02.396438 False [  230093.762151] 0003 0036 000003e4
2022-04-06 13:51:02.404070 False [  230093.770837] 0003 0036 000003e6
2022-04-06 13:51:02.411710 False [  230093.778856] 0003 0036 000003e8
2022-04-06 13:51:02.419956 False [  230093.787255] 0003 0036 000003ea
2022-04-06 13:51:02.428371 False [  230093.795356] 0003 0036 000003eb
2022-04-06 13:51:02.437231 False [  230093.804088] 0003 0036 000003ee
2022-04-06 13:51:02.445002 False [  230093.812046] 0003 0036 000003ef
2022-04-06 13:51:02.454039 False [  230093.820784] 0003 0036 000003f2
2022-04-06 13:51:02.461438 False [  230093.828604] 0003 0036 000003f4
2022-04-06 13:51:02.470004 False [  230093.837019] 0003 0036 000003f6
2022-04-06 13:51:02.478734 False [  230093.845654] 0003 0036 000003f8
2022-04-06 13:51:02.486792 False [  230093.853896] 0003 0035 00000545
2022-04-06 13:51:02.486792 False [  230093.853896] 0003 0036 000003f9
2022-04-06 13:51:02.494925 False [  230093.862285] 0003 0036 000003fb
2022-04-06 13:51:02.503726 False [  230093.870709] 0003 0036 000003fd
2022-04-06 13:51:02.512255 False [  230093.878825] 0003 0035 00000544
2022-04-06 13:51:02.512255 False [  230093.878825] 0003 0036 000003fe
2022-04-06 13:51:02.519976 False [  230093.887118] 0003 0036 000003ff
2022-04-06 13:51:02.528005 False [  230093.895175] 0003 0036 00000400
