Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.2150439775844488 
    wm_size = [1600 2560] 
    stim_amp = 5 
    baseline_stim = 1
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:25:13.738099 True [     906.156780] 0003 0035 000003d4
2022-04-06 14:25:13.738099 True [     906.156780] 0003 0036 000003ca
2022-04-06 14:25:13.747170 True [     906.164997] 0003 0035 000003d2
2022-04-06 14:25:13.747170 True [     906.164997] 0003 0036 000003c8
2022-04-06 14:25:13.755468 True [     906.173476] 0003 0036 000003c6
2022-04-06 14:25:13.762621 True [     906.181775] 0003 0035 000003d1
2022-04-06 14:25:13.762621 True [     906.181775] 0003 0036 000003c4
2022-04-06 14:25:13.770929 True [     906.190138] 0003 0035 000003d0
2022-04-06 14:25:13.770929 True [     906.190138] 0003 0036 000003c2
2022-04-06 14:25:13.779698 True [     906.198353] 0003 0035 000003cf
2022-04-06 14:25:13.779698 True [     906.198353] 0003 0036 000003c0
2022-04-06 14:25:13.787164 True [     906.206837] 0003 0035 000003ce
2022-04-06 14:25:13.787164 True [     906.206837] 0003 0036 000003bf
2022-04-06 14:25:13.797780 True [     906.216050] 0003 0035 000003cc
2022-04-06 14:25:13.797780 True [     906.216050] 0003 0036 000003bd
2022-04-06 14:25:13.804506 True [     906.223454] 0003 0035 000003cb
2022-04-06 14:25:13.804506 True [     906.223454] 0003 0036 000003bb
2022-04-06 14:25:13.812768 True [     906.231667] 0003 0035 000003ca
2022-04-06 14:25:13.812768 True [     906.231667] 0003 0036 000003ba
2022-04-06 14:25:13.819769 True [     906.240101] 0003 0035 000003c8
2022-04-06 14:25:13.819769 True [     906.240101] 0003 0036 000003b8
2022-04-06 14:25:13.829249 True [     906.248351] 0003 0035 000003c7
2022-04-06 14:25:13.829249 True [     906.248351] 0003 0036 000003b6
2022-04-06 14:25:13.837781 True [     906.256783] 0003 0035 000003c5
2022-04-06 14:25:13.837781 True [     906.256783] 0003 0036 000003b5
2022-04-06 14:25:13.846259 True [     906.264994] 0003 0035 000003c4
2022-04-06 14:25:13.846259 True [     906.264994] 0003 0036 000003b3
2022-04-06 14:25:13.854507 True [     906.273430] 0003 0035 000003c2
2022-04-06 14:25:13.854507 True [     906.273430] 0003 0036 000003b1
2022-04-06 14:25:13.863000 True [     906.281644] 0003 0035 000003c0
2022-04-06 14:25:13.863000 True [     906.281644] 0003 0036 000003b0
2022-04-06 14:25:13.871290 True [     906.290068] 0003 0035 000003bf
2022-04-06 14:25:13.871290 True [     906.290068] 0003 0036 000003af
2022-04-06 14:25:13.881165 True [     906.298369] 0003 0035 000003bd
2022-04-06 14:25:13.881165 True [     906.298369] 0003 0036 000003ad
2022-04-06 14:25:13.897714 True [     906.314994] 0003 0035 000003bc
2022-04-06 14:25:13.897714 True [     906.314994] 0003 0036 000003ac
2022-04-06 14:25:13.904881 True [     906.323404] 0003 0035 000003ba
2022-04-06 14:25:13.904881 True [     906.323404] 0003 0036 000003aa
2022-04-06 14:25:13.913219 True [     906.331685] 0003 0035 000003b9
2022-04-06 14:25:13.921928 True [     906.340144] 0003 0035 000003b8
2022-04-06 14:25:13.921928 True [     906.340144] 0003 0036 000003a8
2022-04-06 14:25:13.929262 True [     906.348393] 0003 0035 000003b6
2022-04-06 14:25:13.929262 True [     906.348393] 0003 0036 000003a6
2022-04-06 14:25:13.937445 True [     906.356833] 0003 0035 000003b5
2022-04-06 14:25:13.937445 True [     906.356833] 0003 0036 000003a5
2022-04-06 14:25:13.945864 True [     906.365005] 0003 0035 000003b4
2022-04-06 14:25:13.945864 True [     906.365005] 0003 0036 000003a4
2022-04-06 14:25:13.954857 True [     906.373446] 0003 0035 000003b2
2022-04-06 14:25:13.972135 True [     906.390152] 0003 0035 000003b1
2022-04-06 14:25:13.972135 True [     906.390152] 0003 0036 000003a3
2022-04-06 14:25:13.979321 True [     906.398348] 0003 0035 000003b0
2022-04-06 14:25:13.979321 True [     906.398348] 0003 0036 000003a2
2022-04-06 14:25:13.988244 True [     906.406805] 0003 0035 000003af
2022-04-06 14:25:13.996005 True [     906.415008] 0003 0035 000003ae
2022-04-06 14:25:14.004863 True [     906.423459] 0003 0035 000003ad
2022-04-06 14:25:14.004863 True [     906.423459] 0003 0036 000003a1
2022-04-06 14:25:14.015110 True [     906.431682] 0003 0035 000003ac
2022-04-06 14:25:14.023700 True [     906.440162] 0003 0035 000003ab
2022-04-06 14:25:14.023700 True [     906.440162] 0003 0036 000003a0
2022-04-06 14:25:14.038787 True [     906.456792] 0003 0035 000003a9
2022-04-06 14:25:14.038862 True [     906.456792] 0003 0036 0000039f
2022-04-06 14:25:14.047664 True [     906.465009] 0003 0035 000003a7
2022-04-06 14:25:14.063844 True [     906.481631] 0003 0035 000003a5
2022-04-06 14:25:14.072174 True [     906.490113] 0003 0035 000003a4
2022-04-06 14:25:14.072174 True [     906.490113] 0003 0036 0000039e
2022-04-06 14:25:14.080678 True [     906.498344] 0003 0035 000003a2
2022-04-06 14:25:14.087748 True [     906.506775] 0003 0035 000003a1
2022-04-06 14:25:14.096795 True [     906.515020] 0003 0035 000003a0
2022-04-06 14:25:14.104823 True [     906.523468] 0003 0035 0000039e
2022-04-06 14:25:14.104823 True [     906.523468] 0003 0036 0000039d
2022-04-06 14:25:14.113761 True [     906.531669] 0003 0035 0000039d
2022-04-06 14:25:14.121247 True [     906.540139] 0003 0035 0000039b
2022-04-06 14:25:14.128922 True [     906.548388] 0003 0035 00000399
2022-04-06 14:25:14.128922 True [     906.548388] 0003 0036 0000039c
2022-04-06 14:25:14.138910 True [     906.556882] 0003 0035 00000396
2022-04-06 14:25:14.146511 True [     906.565025] 0003 0035 00000395
2022-04-06 14:25:14.154681 True [     906.573491] 0003 0035 00000392
2022-04-06 14:25:14.162570 True [     906.581653] 0003 0035 00000390
2022-04-06 14:25:14.162570 True [     906.581653] 0003 0036 0000039b
2022-04-06 14:25:14.171548 True [     906.590125] 0003 0035 0000038e
2022-04-06 14:25:14.179672 True [     906.598431] 0003 0035 0000038c
2022-04-06 14:25:14.187148 True [     906.606786] 0003 0035 0000038a
2022-04-06 14:25:14.196231 True [     906.615067] 0003 0035 00000387
2022-04-06 14:25:14.204410 True [     906.623483] 0003 0035 00000385
2022-04-06 14:25:14.213117 True [     906.631684] 0003 0035 00000384
2022-04-06 14:25:14.220913 True [     906.640123] 0003 0035 00000381
2022-04-06 14:25:14.220913 True [     906.640123] 0003 0036 0000039a
2022-04-06 14:25:14.229221 True [     906.648375] 0003 0035 0000037f
2022-04-06 14:25:14.237176 True [     906.656818] 0003 0035 0000037d
2022-04-06 14:25:14.246108 True [     906.665024] 0003 0035 0000037b
2022-04-06 14:25:14.253829 True [     906.673457] 0003 0035 00000379
2022-04-06 14:25:14.262923 True [     906.681688] 0003 0035 00000378
2022-04-06 14:25:14.270965 True [     906.690109] 0003 0035 00000375
2022-04-06 14:25:14.279633 True [     906.698336] 0003 0035 00000374
2022-04-06 14:25:14.279633 True [     906.698336] 0003 0036 00000399
2022-04-06 14:25:14.287464 True [     906.706776] 0003 0035 00000372
2022-04-06 14:25:14.297120 True [     906.715024] 0003 0035 00000371
2022-04-06 14:25:14.297120 True [     906.715024] 0003 0036 00000398
2022-04-06 14:25:14.305369 True [     906.723462] 0003 0035 0000036e
