Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.8598711945403295 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 13:43:25.854361 True [  144519.775479] 0003 0035 00000207
2022-04-02 13:43:25.861717 True [  144519.783988] 0003 0035 00000209
2022-04-02 13:43:25.871666 True [  144519.792305] 0003 0035 0000020a
2022-04-02 13:43:25.879895 True [  144519.800956] 0003 0035 0000020c
2022-04-02 13:43:25.886899 True [  144519.808823] 0003 0035 0000020d
2022-04-02 13:43:25.895912 True [  144519.817347] 0003 0035 0000020e
2022-04-02 13:43:25.903794 True [  144519.825423] 0003 0035 00000210
2022-04-02 13:43:25.912745 True [  144519.834161] 0003 0035 00000211
2022-04-02 13:43:25.924126 True [  144519.842129] 0003 0035 00000213
2022-04-02 13:43:25.929059 True [  144519.851094] 0003 0035 00000214
2022-04-02 13:43:25.937060 True [  144519.858669] 0003 0035 00000216
2022-04-02 13:43:25.946043 True [  144519.867478] 0003 0035 00000217
2022-04-02 13:43:25.953779 True [  144519.875294] 0003 0035 00000219
2022-04-02 13:43:25.962059 True [  144519.884498] 0003 0035 0000021b
2022-04-02 13:43:25.970249 True [  144519.891946] 0003 0035 0000021c
2022-04-02 13:43:25.978687 True [  144519.900596] 0003 0035 0000021e
2022-04-02 13:43:25.986300 True [  144519.908541] 0003 0035 00000221
2022-04-02 13:43:25.995036 True [  144519.916937] 0003 0035 00000222
2022-04-02 13:43:26.003235 True [  144519.925172] 0003 0035 00000225
2022-04-02 13:43:26.011723 True [  144519.933607] 0003 0035 00000226
2022-04-02 13:43:26.020494 True [  144519.941755] 0003 0035 00000229
2022-04-02 13:43:26.028437 True [  144519.950155] 0003 0035 0000022b
2022-04-02 13:43:26.028437 True [  144519.950155] 0003 0036 000004e7
2022-04-02 13:43:26.038024 True [  144519.958385] 0003 0035 0000022d
2022-04-02 13:43:26.045069 True [  144519.966776] 0003 0035 0000022f
2022-04-02 13:43:26.053529 True [  144519.974919] 0003 0035 00000231
2022-04-02 13:43:26.061690 True [  144519.983460] 0003 0035 00000233
2022-04-02 13:43:26.061690 True [  144519.983460] 0003 0036 000004e8
2022-04-02 13:43:26.069814 True [  144519.991692] 0003 0035 00000234
2022-04-02 13:43:26.078341 True [  144519.999997] 0003 0035 00000237
2022-04-02 13:43:26.085939 True [  144520.008240] 0003 0035 00000238
2022-04-02 13:43:26.094842 True [  144520.016656] 0003 0035 0000023b
2022-04-02 13:43:26.094842 True [  144520.016656] 0003 0036 000004e9
2022-04-02 13:43:26.103755 True [  144520.024950] 0003 0035 0000023c
2022-04-02 13:43:26.111711 True [  144520.033265] 0003 0035 0000023e
2022-04-02 13:43:26.119140 True [  144520.041429] 0003 0035 00000241
2022-04-02 13:43:26.119140 True [  144520.041429] 0003 0036 000004ea
2022-04-02 13:43:26.128687 True [  144520.049859] 0003 0035 00000242
2022-04-02 13:43:26.135907 True [  144520.058225] 0003 0035 00000245
2022-04-02 13:43:26.144496 True [  144520.066513] 0003 0035 00000247
2022-04-02 13:43:26.153756 True [  144520.074675] 0003 0035 0000024a
2022-04-02 13:43:26.161714 True [  144520.083109] 0003 0035 0000024d
2022-04-02 13:43:26.170712 True [  144520.091398] 0003 0035 0000024f
2022-04-02 13:43:26.177989 True [  144520.099694] 0003 0035 00000251
2022-04-02 13:43:26.178995 True [  144520.099694] 0003 0036 000004eb
2022-04-02 13:43:26.186957 True [  144520.108038] 0003 0035 00000254
