Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.6807939182022242 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:20:44.920545 True [  157568.091059] 0003 0035 00000525
2022-04-02 17:20:44.920545 True [  157568.091059] 0003 0036 00000485
2022-04-02 17:20:44.930322 True [  157568.099225] 0003 0035 00000522
2022-04-02 17:20:44.943893 True [  157568.107718] 0003 0035 00000521
2022-04-02 17:20:44.943893 True [  157568.107718] 0003 0036 00000484
2022-04-02 17:20:44.948366 True [  157568.115922] 0003 0035 00000520
2022-04-02 17:20:44.953773 True [  157568.124293] 0003 0035 0000051e
2022-04-02 17:20:44.953773 True [  157568.124293] 0003 0036 00000483
2022-04-02 17:20:44.964322 True [  157568.132533] 0003 0035 0000051d
2022-04-02 17:20:44.971726 True [  157568.140937] 0003 0035 0000051c
2022-04-02 17:20:44.971726 True [  157568.140937] 0003 0036 00000482
2022-04-02 17:20:44.979628 True [  157568.149120] 0003 0035 0000051b
2022-04-02 17:20:44.998348 True [  157568.165672] 0003 0035 0000051a
2022-04-02 17:20:45.003642 True [  157568.174178] 0003 0035 00000519
2022-04-02 17:20:45.013475 True [  157568.182329] 0003 0035 00000518
2022-04-02 17:20:45.033803 True [  157568.198991] 0003 0035 00000517
2022-04-02 17:20:45.078635 True [  157568.248790] 0003 0035 00000516
2022-04-02 17:20:45.088859 True [  157568.257282] 0003 0036 00000483
2022-04-02 17:20:45.095473 True [  157568.265470] 0003 0036 00000484
2022-04-02 17:20:45.104797 True [  157568.273893] 0003 0035 00000515
2022-04-02 17:20:45.104797 True [  157568.273893] 0003 0036 00000485
2022-04-02 17:20:45.111599 True [  157568.282140] 0003 0036 00000486
2022-04-02 17:20:45.136083 True [  157568.307094] 0003 0036 00000487
2022-04-02 17:20:45.146708 True [  157568.315304] 0003 0036 00000488
2022-04-02 17:20:45.153796 True [  157568.323785] 0003 0036 00000489
2022-04-02 17:20:45.169248 True [  157568.340397] 0003 0036 0000048a
2022-04-02 17:20:45.177224 True [  157568.348563] 0003 0036 0000048b
2022-04-02 17:20:45.217568 True [  157568.381823] 0003 0036 0000048c
2022-04-02 17:20:45.231747 True [  157568.398391] 0003 0036 0000048d
2022-04-02 17:20:45.237912 True [  157568.406939] 0003 0036 0000048e
2022-04-02 17:20:45.254374 True [  157568.423412] 0003 0036 0000048f
2022-04-02 17:20:45.270750 True [  157568.440114] 0003 0035 00000516
2022-04-02 17:20:45.277597 True [  157568.448268] 0003 0036 00000490
2022-04-02 17:20:45.289030 True [  157568.456706] 0003 0036 00000491
2022-04-02 17:20:45.309100 True [  157568.473400] 0003 0035 00000517
2022-04-02 17:20:45.309100 True [  157568.473400] 0003 0036 00000492
2022-04-02 17:20:45.313796 True [  157568.481683] 0003 0036 00000494
