Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.0635945770633684 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:37:48.678839 True [  158591.796167] 0003 0035 000004e5
2022-04-02 17:37:48.678839 True [  158591.796167] 0003 0036 00000504
2022-04-02 17:37:48.678839 True [  158591.804593] 0003 0036 00000509
2022-04-02 17:37:48.731490 True [  158591.813413] 0003 0036 0000050e
2022-04-02 17:37:48.731490 True [  158591.823613] 0003 0035 000004e4
2022-04-02 17:37:48.731490 True [  158591.823613] 0003 0036 00000512
2022-04-02 17:37:48.731490 True [  158591.829438] 0003 0035 000004e3
2022-04-02 17:37:48.731490 True [  158591.829438] 0003 0036 00000515
2022-04-02 17:37:48.731490 True [  158591.838065] 0003 0036 00000519
2022-04-02 17:37:48.735130 True [  158591.847679] 0003 0035 000004e2
2022-04-02 17:37:48.735130 True [  158591.847679] 0003 0036 0000051b
2022-04-02 17:37:48.735130 True [  158591.855400] 0003 0036 0000051d
2022-04-02 17:37:48.735130 True [  158591.865083] 0003 0036 0000051f
2022-04-02 17:37:48.735130 True [  158591.873207] 0003 0036 00000521
2022-04-02 17:37:48.735130 True [  158591.882256] 0003 0036 00000522
2022-04-02 17:37:48.764179 True [  158591.895977] 0003 0036 00000523
2022-04-02 17:37:48.767472 True [  158591.905169] 0003 0036 00000524
2022-04-02 17:37:48.767472 True [  158591.914013] 0003 0036 00000525
2022-04-02 17:37:48.782531 True [  158591.929455] 0003 0036 00000526
2022-04-02 17:37:48.820320 True [  158591.970981] 0003 0036 00000527
2022-04-02 17:37:48.977534 True [  158592.129106] 0003 0036 00000528
2022-04-02 17:37:49.228035 True [  158592.378823] 0003 0036 00000527
2022-04-02 17:37:49.279931 True [  158592.428702] 0003 0035 000004e3
2022-04-02 17:37:49.279931 True [  158592.428702] 0003 0036 00000526
2022-04-02 17:37:49.295610 True [  158592.444273] 0003 0035 000004e4
2022-04-02 17:37:49.295610 True [  158592.444273] 0003 0036 00000525
2022-04-02 17:37:49.308196 True [  158592.460842] 0003 0035 000004e5
2022-04-02 17:37:49.308196 True [  158592.460842] 0003 0036 00000524
2022-04-02 17:37:49.326676 True [  158592.478863] 0003 0036 00000523
2022-04-02 17:37:49.341337 True [  158592.495323] 0003 0035 000004e7
2022-04-02 17:37:49.341337 True [  158592.495323] 0003 0036 00000522
2022-04-02 17:37:49.358657 True [  158592.503200] 0003 0035 000004e9
2022-04-02 17:37:49.374303 True [  158592.512282] 0003 0036 00000521
2022-04-02 17:37:49.400384 True [  158592.519557] 0003 0035 000004eb
2022-04-02 17:37:49.400384 True [  158592.519557] 0003 0036 00000520
2022-04-02 17:37:49.400384 True [  158592.527494] 0003 0035 000004ec
2022-04-02 17:37:49.400384 True [  158592.527494] 0003 0036 0000051f
