Mode = area stim
        verts = 5 
        radius = 550 
        center = (800, 1280) 
        first_angle = 2.978599830169037 
        wm_size = [1600 2560] 
        stim_amp = 4 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 2
        ===============================
2022-04-07 18:34:59.462460 False [   17628.795623] 0003 0035 000004a6
2022-04-07 18:34:59.471847 False [   17628.803850] 0003 0035 0000049a
2022-04-07 18:34:59.471847 False [   17628.803850] 0003 0036 00000909
2022-04-07 18:34:59.480023 False [   17628.812259] 0003 0035 00000488
2022-04-07 18:34:59.488269 False [   17628.820605] 0003 0035 00000475
2022-04-07 18:34:59.497230 False [   17628.828997] 0003 0035 00000463
2022-04-07 18:34:59.497230 False [   17628.828997] 0003 0036 0000090a
2022-04-07 18:34:59.503514 False [   17628.837109] 0003 0035 00000452
2022-04-07 18:34:59.512228 False [   17628.845533] 0003 0035 0000043f
2022-04-07 18:34:59.521840 False [   17628.853749] 0003 0035 0000042c
2022-04-07 18:34:59.521840 False [   17628.853749] 0003 0036 00000909
2022-04-07 18:34:59.530327 False [   17628.862150] 0003 0035 00000416
2022-04-07 18:34:59.538043 False [   17628.870452] 0003 0035 00000401
2022-04-07 18:34:59.538043 False [   17628.870452] 0003 0036 00000908
2022-04-07 18:34:59.547103 False [   17628.878757] 0003 0035 000003ec
2022-04-07 18:34:59.547103 False [   17628.878757] 0003 0036 00000907
2022-04-07 18:34:59.555087 False [   17628.886968] 0003 0035 000003d7
2022-04-07 18:34:59.555087 False [   17628.886968] 0003 0036 00000905
2022-04-07 18:34:59.562347 False [   17628.895483] 0003 0035 000003c3
2022-04-07 18:34:59.563346 False [   17628.895483] 0003 0036 00000904
2022-04-07 18:34:59.569759 False [   17628.903642] 0003 0035 000003ae
2022-04-07 18:34:59.571810 False [   17628.903642] 0003 0036 00000902
2022-04-07 18:34:59.578341 False [   17628.912069] 0003 0035 00000399
2022-04-07 18:34:59.580103 False [   17628.912069] 0003 0036 000008ff
