Mode = area stim
        verts = 4 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.840082097153223 
        wm_size = [1600 2560] 
        stim_amp = 4 
        baseline_stim = 3
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 18:38:37.313282 False [   17846.641156] 0003 0036 000006ba
2022-04-07 18:38:37.320901 False [   17846.649239] 0003 0036 000006c5
2022-04-07 18:38:37.329063 False [   17846.657716] 0003 0035 00000549
2022-04-07 18:38:37.329063 False [   17846.657716] 0003 0036 000006d0
2022-04-07 18:38:37.336712 False [   17846.665847] 0003 0035 00000547
2022-04-07 18:38:37.336712 False [   17846.665847] 0003 0036 000006db
2022-04-07 18:38:37.345340 False [   17846.674360] 0003 0036 000006e5
2022-04-07 18:38:37.353425 False [   17846.682522] 0003 0036 000006ef
2022-04-07 18:38:37.362275 False [   17846.690902] 0003 0036 000006f9
2022-04-07 18:38:37.369656 False [   17846.699117] 0003 0035 00000546
2022-04-07 18:38:37.369656 False [   17846.699117] 0003 0036 00000702
2022-04-07 18:38:37.380323 False [   17846.707536] 0003 0035 00000545
2022-04-07 18:38:37.380323 False [   17846.707536] 0003 0036 0000070c
2022-04-07 18:38:37.386459 False [   17846.715732] 0003 0036 00000716
2022-04-07 18:38:37.395585 False [   17846.724187] 0003 0036 0000071f
2022-04-07 18:38:37.403562 False [   17846.732379] 0003 0035 00000544
2022-04-07 18:38:37.403562 False [   17846.732379] 0003 0036 00000729
2022-04-07 18:38:37.411878 False [   17846.740826] 0003 0036 00000734
2022-04-07 18:38:37.419751 False [   17846.749146] 0003 0036 0000073e
2022-04-07 18:38:37.427092 False [   17846.757365] 0003 0036 00000749
2022-04-07 18:38:37.436857 False [   17846.765600] 0003 0036 00000753
2022-04-07 18:38:37.443913 False [   17846.774017] 0003 0035 00000542
2022-04-07 18:38:37.443913 False [   17846.774017] 0003 0036 0000075d
2022-04-07 18:38:37.453143 False [   17846.782197] 0003 0036 00000769
2022-04-07 18:38:37.462208 False [   17846.790647] 0003 0035 00000541
