Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 3.083491420835297 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-16 19:47:17.450275 False [   35354.473142] 0003 0036 0000019f
2022-03-16 19:47:17.458708 False [   35354.481174] 0003 0036 00000195
2022-03-16 19:47:17.468110 False [   35354.489590] 0003 0036 0000018e
2022-03-16 19:47:17.475987 False [   35354.497759] 0003 0036 00000184
2022-03-16 19:47:17.482146 False [   35354.506161] 0003 0036 0000017c
2022-03-16 19:47:17.490469 False [   35354.514580] 0003 0036 00000172
2022-03-16 19:47:17.502870 False [   35354.523380] 0003 0036 0000016b
2022-03-16 19:47:17.509927 False [   35354.531264] 0003 0036 00000166
2022-03-16 19:47:17.518172 False [   35354.539442] 0003 0035 0000038c
2022-03-16 19:47:17.518172 False [   35354.539442] 0003 0036 0000015e
2022-03-16 19:47:17.526551 False [   35354.547633] 0003 0035 0000038b
2022-03-16 19:47:17.526551 False [   35354.547633] 0003 0036 00000158
2022-03-16 19:47:17.530554 False [   35354.555999] 0003 0036 00000153
2022-03-16 19:47:17.540522 False [   35354.564343] 0003 0036 0000014b
2022-03-16 19:47:17.549963 False [   35354.573982] 0003 0035 0000038a
2022-03-16 19:47:17.549963 False [   35354.573982] 0003 0036 00000145
2022-03-16 19:47:17.557940 False [   35354.580867] 0003 0036 0000013c
2022-03-16 19:47:18.458058 False [   35355.478704] 0003 0035 000003dc
2022-03-16 19:47:18.458058 False [   35355.478704] 0003 0036 000006e5
2022-03-16 19:47:19.781342 False [   35356.800408] 0003 0035 00000329
2022-03-16 19:47:19.781342 False [   35356.800408] 0003 0036 000007ef
2022-03-16 19:47:20.068916 False [   35357.082173] 0003 0035 000003b3
2022-03-16 19:47:20.068916 False [   35357.082173] 0003 0036 0000076d
2022-03-16 19:47:20.236156 False [   35357.256619] 0003 0035 0000027d
2022-03-16 19:47:20.236156 False [   35357.256619] 0003 0036 0000075b
2022-03-16 19:47:20.463316 False [   35357.481041] 0003 0035 0000026d
2022-03-16 19:47:20.463316 True [   35357.481041] 0003 0036 000006d1
2022-03-16 19:47:20.590128 True [   35357.613820] 0003 0035 00000268
2022-03-16 19:47:20.590128 True [   35357.613820] 0003 0036 000006bb
2022-03-16 19:47:20.948388 False [   35357.972104] 0003 0035 000003d4
2022-03-16 19:47:20.949398 False [   35357.972104] 0003 0036 0000084b
2022-03-16 19:47:22.589362 False [   35359.610365] 0003 0035 000003dd
2022-03-16 19:47:22.589362 False [   35359.610365] 0003 0036 0000087f
2022-03-16 19:47:31.660136 False [   35368.683125] 0003 0035 00000408
2022-03-16 19:47:31.660136 False [   35368.683125] 0003 0036 000008e8
2022-03-16 19:47:31.676099 False [   35368.699190] 0003 0035 000004d7
2022-03-16 19:47:31.676099 False [   35368.699190] 0003 0036 00000881
2022-03-16 19:47:31.708890 False [   35368.732226] 0003 0036 0000087f
2022-03-16 19:47:31.727017 False [   35368.748673] 0003 0036 0000087e
2022-03-16 19:47:31.733994 False [   35368.756895] 0003 0035 000004d9
2022-03-16 19:47:31.733994 False [   35368.756895] 0003 0036 0000087c
2022-03-16 19:47:31.743293 False [   35368.765313] 0003 0035 000004da
2022-03-16 19:47:31.743293 False [   35368.765313] 0003 0036 0000087a
2022-03-16 19:47:31.749487 False [   35368.773543] 0003 0035 000004db
2022-03-16 19:47:31.749487 False [   35368.773543] 0003 0036 00000879
2022-03-16 19:47:31.757195 False [   35368.782020] 0003 0035 000004dd
2022-03-16 19:47:31.757195 False [   35368.782020] 0003 0036 00000878
2022-03-16 19:47:31.767409 False [   35368.790227] 0003 0035 000004df
2022-03-16 19:47:31.767409 False [   35368.790227] 0003 0036 00000877
2022-03-16 19:47:31.775475 False [   35368.798573] 0003 0035 000004e2
2022-03-16 19:47:31.775475 False [   35368.798573] 0003 0036 00000876
2022-03-16 19:47:31.784899 False [   35368.806724] 0003 0035 000004e4
2022-03-16 19:47:31.784899 False [   35368.806724] 0003 0036 00000875
2022-03-16 19:47:31.791244 False [   35368.815524] 0003 0035 000004e7
2022-03-16 19:47:31.791244 False [   35368.815524] 0003 0036 00000874
2022-03-16 19:47:31.799039 False [   35368.823444] 0003 0036 000008e7
2022-03-16 19:47:31.800065 False [   35368.823444] 0003 0035 000004e9
2022-03-16 19:47:31.807163 False [   35368.831796] 0003 0035 000004ec
2022-03-16 19:47:31.807163 False [   35368.831796] 0003 0036 00000873
2022-03-16 19:47:31.817454 False [   35368.840371] 0003 0036 000008e6
2022-03-16 19:47:31.817454 False [   35368.840371] 0003 0035 000004ef
2022-03-16 19:47:31.824358 False [   35368.849013] 0003 0035 000004f1
2022-03-16 19:47:31.833966 False [   35368.856750] 0003 0035 00000407
2022-03-16 19:47:31.833966 False [   35368.856750] 0003 0036 000008e5
2022-03-16 19:47:31.833966 False [   35368.856750] 0003 0035 000004f3
2022-03-16 19:47:31.834953 False [   35368.856750] 0003 0036 00000872
2022-03-16 19:47:31.841211 False [   35368.865180] 0003 0036 000008e4
2022-03-16 19:47:31.841211 False [   35368.865180] 0003 0035 000004f5
2022-03-16 19:47:31.850808 False [   35368.873280] 0003 0035 00000406
2022-03-16 19:47:31.850808 False [   35368.873280] 0003 0035 000004f7
2022-03-16 19:47:31.857895 False [   35368.881667] 0003 0035 000004f9
2022-03-16 19:47:31.868846 False [   35368.889934] 0003 0035 00000405
2022-03-16 19:47:31.868846 False [   35368.889934] 0003 0035 000004fb
2022-03-16 19:47:31.874995 False [   35368.898273] 0003 0035 00000404
2022-03-16 19:47:31.874995 False [   35368.898273] 0003 0036 000008e3
2022-03-16 19:47:31.892291 False [   35368.915027] 0003 0035 000004fc
2022-03-16 19:47:31.909865 False [   35368.931987] 0003 0035 00000403
2022-03-16 19:47:31.909865 False [   35368.931987] 0003 0035 000004fd
2022-03-16 19:47:31.917355 False [   35368.939814] 0003 0035 000004fe
2022-03-16 19:47:31.924460 False [   35368.948376] 0003 0035 00000402
2022-03-16 19:47:31.932124 False [   35368.956412] 0003 0035 00000401
2022-03-16 19:47:31.940887 False [   35368.964950] 0003 0035 000004ff
2022-03-16 19:47:31.950202 False [   35368.972974] 0003 0035 00000500
2022-03-16 19:47:31.958116 False [   35368.981529] 0003 0035 00000501
2022-03-16 19:47:31.968033 False [   35368.989659] 0003 0035 00000400
2022-03-16 19:47:31.976664 False [   35368.998254] 0003 0035 00000502
2022-03-16 19:47:31.985379 False [   35369.006193] 0003 0035 000003ff
2022-03-16 19:47:31.991339 False [   35369.014594] 0003 0035 00000503
2022-03-16 19:47:32.000929 False [   35369.022993] 0003 0035 000003fe
2022-03-16 19:47:32.000929 False [   35369.022993] 0003 0035 00000504
2022-03-16 19:47:32.000929 False [   35369.022993] 0003 0036 00000873
2022-03-16 19:47:32.019396 False [   35369.039719] 0003 0035 000003fd
2022-03-16 19:47:32.019396 False [   35369.039719] 0003 0035 00000505
2022-03-16 19:47:32.038287 False [   35369.056267] 0003 0035 00000506
2022-03-16 19:47:32.044363 False [   35369.064882] 0003 0035 000003fc
2022-03-16 19:47:32.050250 False [   35369.072750] 0003 0035 00000507
2022-03-16 19:47:32.056955 False [   35369.081093] 0003 0035 000003fb
2022-03-16 19:47:32.066150 False [   35369.089301] 0003 0035 00000508
2022-03-16 19:47:32.073410 False [   35369.097711] 0003 0035 000003fa
2022-03-16 19:47:32.091948 False [   35369.114494] 0003 0035 000003f9
2022-03-16 19:47:32.091948 False [   35369.114494] 0003 0035 00000509
2022-03-16 19:47:32.142039 False [   35369.164817] 0003 0035 000003f8
2022-03-16 19:47:32.161417 False [   35369.181133] 0003 0035 0000050a
2022-03-16 19:47:32.175466 False [   35369.197407] 0003 0035 000003f7
2022-03-16 19:47:32.210159 False [   35369.230704] 0003 0035 000003f6
2022-03-16 19:47:32.848800 False [   35369.862243] 0003 0035 000003e3
2022-03-16 19:47:32.848800 False [   35369.862243] 0003 0036 000008e6
2022-03-16 19:47:32.997574 False [   35370.019857] 0003 0036 000008e5
2022-03-16 19:47:33.032956 False [   35370.053089] 0003 0036 000008e4
2022-03-16 19:47:33.050689 False [   35370.069722] 0003 0036 000008e3
2022-03-16 19:47:33.066246 False [   35370.086393] 0003 0036 000008e2
2022-03-16 19:47:33.087506 False [   35370.111515] 0003 0036 000008e1
2022-03-16 19:47:33.107450 False [   35370.128076] 0003 0036 000008e0
2022-03-16 19:47:33.114453 False [   35370.136311] 0003 0036 000008df
2022-03-16 19:47:33.122421 False [   35370.144778] 0003 0036 000008de
2022-03-16 19:47:33.153769 False [   35370.169684] 0003 0036 000008dd
2022-03-16 19:47:33.157282 False [   35370.177965] 0003 0036 000008dc
2022-03-16 19:47:33.163887 False [   35370.186235] 0003 0036 000008db
2022-03-16 19:47:33.170821 False [   35370.194488] 0003 0036 000008da
2022-03-16 19:47:33.197161 False [   35370.219366] 0003 0036 000008d9
2022-03-16 19:47:33.203216 False [   35370.227947] 0003 0036 000008d8
2022-03-16 19:47:33.210541 False [   35370.236159] 0003 0036 000008d7
2022-03-16 19:47:33.220251 False [   35370.244405] 0003 0036 000008d6
2022-03-16 19:47:33.229347 False [   35370.252633] 0003 0036 000008d5
2022-03-16 19:47:33.246136 False [   35370.269223] 0003 0036 000008d4
2022-03-16 19:47:33.253807 False [   35370.277599] 0003 0036 000008d2
2022-03-16 19:47:33.261123 False [   35370.285857] 0003 0036 000008d1
2022-03-16 19:47:33.279693 False [   35370.302537] 0003 0036 000008d0
2022-03-16 19:47:33.287965 False [   35370.310877] 0003 0036 000008cf
2022-03-16 19:47:33.294970 False [   35370.319050] 0003 0036 000008ce
2022-03-16 19:47:33.305287 False [   35370.327586] 0003 0036 000008cd
2022-03-16 19:47:33.313266 False [   35370.335737] 0003 0036 000008cc
2022-03-16 19:47:33.321921 False [   35370.344279] 0003 0036 000008cb
2022-03-16 19:47:33.329511 False [   35370.352484] 0003 0035 000003e4
2022-03-16 19:47:33.330036 False [   35370.352484] 0003 0036 000008c9
2022-03-16 19:47:33.337462 False [   35370.360741] 0003 0036 000008c8
2022-03-16 19:47:33.355964 False [   35370.377374] 0003 0036 000008c7
2022-03-16 19:47:33.362954 False [   35370.385595] 0003 0036 000008c5
2022-03-16 19:47:33.371287 False [   35370.393973] 0003 0036 000008c4
2022-03-16 19:47:33.387529 False [   35370.410605] 0003 0036 000008c2
2022-03-16 19:47:33.396158 False [   35370.418929] 0003 0036 000008c1
2022-03-16 19:47:33.404951 False [   35370.427271] 0003 0036 000008c0
2022-03-16 19:47:33.413087 False [   35370.435457] 0003 0036 000008bf
2022-03-16 19:47:33.420497 False [   35370.443870] 0003 0036 000008be
2022-03-16 19:47:33.431291 False [   35370.452051] 0003 0036 000008bc
2022-03-16 19:47:33.437922 False [   35370.460477] 0003 0036 000008bb
2022-03-16 19:47:33.445932 False [   35370.468707] 0003 0036 000008ba
2022-03-16 19:47:33.456643 False [   35370.477203] 0003 0036 000008b9
2022-03-16 19:47:33.461834 False [   35370.485362] 0003 0036 000008b8
2022-03-16 19:47:33.470689 False [   35370.493721] 0003 0036 000008b7
2022-03-16 19:47:33.477734 False [   35370.501943] 0003 0036 000008b5
2022-03-16 19:47:33.495875 False [   35370.518567] 0003 0036 000008b4
2022-03-16 19:47:33.503496 False [   35370.526969] 0003 0036 000008b2
2022-03-16 19:47:33.515715 False [   35370.535231] 0003 0036 000008b1
2022-03-16 19:47:33.519304 False [   35370.543704] 0003 0036 000008af
2022-03-16 19:47:33.540518 False [   35370.560491] 0003 0036 000008ad
2022-03-16 19:47:33.544506 False [   35370.568700] 0003 0036 000008ab
2022-03-16 19:47:33.553380 False [   35370.576808] 0003 0036 000008aa
2022-03-16 19:47:33.560762 False [   35370.585094] 0003 0036 000008a9
2022-03-16 19:47:33.571808 False [   35370.593487] 0003 0035 000003e5
2022-03-16 19:47:33.572315 False [   35370.593487] 0003 0036 000008a7
2022-03-16 19:47:33.579003 False [   35370.601716] 0003 0036 000008a6
2022-03-16 19:47:33.587086 False [   35370.610074] 0003 0036 000008a4
2022-03-16 19:47:33.595138 False [   35370.618278] 0003 0036 000008a2
2022-03-16 19:47:33.604128 False [   35370.626728] 0003 0036 0000089f
2022-03-16 19:47:33.611276 False [   35370.634926] 0003 0036 0000089e
2022-03-16 19:47:33.619623 False [   35370.643358] 0003 0036 0000089c
2022-03-16 19:47:33.627822 False [   35370.651492] 0003 0036 0000089a
2022-03-16 19:47:33.636352 False [   35370.659905] 0003 0036 00000899
2022-03-16 19:47:33.645056 False [   35370.668275] 0003 0036 00000897
2022-03-16 19:47:33.652976 False [   35370.676667] 0003 0036 00000896
2022-03-16 19:47:33.660573 False [   35370.684779] 0003 0036 00000895
2022-03-16 19:47:33.668054 False [   35370.693154] 0003 0036 00000894
2022-03-16 19:47:33.676964 False [   35370.701473] 0003 0036 00000893
2022-03-16 19:47:33.686568 False [   35370.709819] 0003 0036 00000892
2022-03-16 19:47:33.693418 False [   35370.718045] 0003 0036 00000890
2022-03-16 19:47:33.702974 False [   35370.726500] 0003 0036 0000088f
2022-03-16 19:47:33.723097 False [   35370.743095] 0003 0036 0000088e
2022-03-16 19:47:33.728376 False [   35370.751464] 0003 0036 0000088d
2022-03-16 19:47:33.737396 False [   35370.759640] 0003 0036 0000088c
2022-03-16 19:47:33.745567 False [   35370.767881] 0003 0036 0000088b
2022-03-16 19:47:33.755748 False [   35370.776329] 0003 0036 0000088a
2022-03-16 19:47:33.771717 False [   35370.792978] 0003 0036 00000889
2022-03-16 19:47:33.777370 False [   35370.801145] 0003 0036 00000888
2022-03-16 19:47:33.785115 False [   35370.809494] 0003 0036 00000887
2022-03-16 19:47:33.793044 False [   35370.817726] 0003 0036 00000886
2022-03-16 19:47:33.801976 False [   35370.826168] 0003 0036 00000885
2022-03-16 19:47:33.812138 False [   35370.834379] 0003 0036 00000884
2022-03-16 19:47:33.819630 False [   35370.842749] 0003 0036 00000883
2022-03-16 19:47:33.829235 False [   35370.851091] 0003 0036 00000882
2022-03-16 19:47:33.836305 False [   35370.859463] 0003 0036 00000881
2022-03-16 19:47:33.844444 False [   35370.867646] 0003 0036 00000880
2022-03-16 19:47:33.851983 False [   35370.876034] 0003 0036 0000087f
2022-03-16 19:47:33.869978 False [   35370.892658] 0003 0036 0000087e
2022-03-16 19:47:33.878190 False [   35370.900930] 0003 0036 0000087d
2022-03-16 19:47:33.885556 False [   35370.909262] 0003 0036 0000087c
2022-03-16 19:47:33.892871 False [   35370.917526] 0003 0036 0000087b
2022-03-16 19:47:33.902792 False [   35370.925945] 0003 0036 0000087a
2022-03-16 19:47:33.912258 False [   35370.934140] 0003 0036 00000879
2022-03-16 19:47:33.929041 False [   35370.950757] 0003 0036 00000878
2022-03-16 19:47:33.936256 False [   35370.959116] 0003 0036 00000877
2022-03-16 19:47:33.944860 False [   35370.967372] 0003 0036 00000876
2022-03-16 19:47:33.954960 False [   35370.975800] 0003 0035 000003e4
2022-03-16 19:47:33.962565 False [   35370.984057] 0003 0036 00000875
2022-03-16 19:47:33.970020 False [   35370.992408] 0003 0036 00000874
2022-03-16 19:47:33.998562 False [   35371.017237] 0003 0036 00000873
