Mode = area stim
    verts = 22 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.797586936569851 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 15:17:13.320285 False [   18810.407827] 0003 0036 000002bd
2022-03-16 15:17:13.339289 False [   18810.425945] 0003 0035 0000007f
2022-03-16 15:17:13.339289 False [   18810.425945] 0003 0036 000002bd
2022-03-16 15:17:13.354254 False [   18810.442348] 0003 0035 0000007f
2022-03-16 15:17:13.355214 False [   18810.442348] 0003 0036 000002bd
2022-03-16 15:17:13.593265 False [   18810.680156] 0003 0035 00000046
2022-03-16 15:17:13.593265 False [   18810.680156] 0003 0036 000002b0
2022-03-16 15:17:13.610694 False [   18810.696452] 0003 0035 00000046
2022-03-16 15:17:13.610694 False [   18810.696452] 0003 0036 000002b0
2022-03-16 15:17:13.628296 False [   18810.714379] 0003 0035 00000046
2022-03-16 15:17:13.628296 False [   18810.714379] 0003 0036 000002b0
2022-03-16 15:17:13.647124 False [   18810.731190] 0003 0035 00000046
2022-03-16 15:17:13.647124 False [   18810.731190] 0003 0036 000002b0
2022-03-16 15:17:13.662361 False [   18810.747038] 0003 0035 00000046
2022-03-16 15:17:13.662361 False [   18810.747038] 0003 0036 000002b0
2022-03-16 15:17:13.678973 False [   18810.763461] 0003 0035 00000046
2022-03-16 15:17:13.678973 False [   18810.763461] 0003 0036 000002b0
2022-03-16 15:17:13.694136 False [   18810.780411] 0003 0035 00000046
2022-03-16 15:17:13.694136 False [   18810.780411] 0003 0036 000002b0
2022-03-16 15:17:13.714244 False [   18810.797917] 0003 0035 00000046
2022-03-16 15:17:13.714244 False [   18810.797917] 0003 0036 000002b0
2022-03-16 15:17:13.732304 False [   18810.815227] 0003 0035 00000046
2022-03-16 15:17:13.732304 False [   18810.815227] 0003 0036 000002b0
2022-03-16 15:17:13.746343 False [   18810.831209] 0003 0035 00000046
2022-03-16 15:17:13.746343 False [   18810.831209] 0003 0036 000002b0
2022-03-16 15:17:13.764024 False [   18810.848183] 0003 0035 00000046
2022-03-16 15:17:13.764024 False [   18810.848183] 0003 0036 000002b0
2022-03-16 15:17:13.780332 False [   18810.865097] 0003 0035 00000046
2022-03-16 15:17:13.780332 False [   18810.865097] 0003 0036 000002b0
2022-03-16 15:17:13.794617 False [   18810.882051] 0003 0035 00000046
2022-03-16 15:17:13.794617 False [   18810.882051] 0003 0036 000002b0
2022-03-16 15:17:13.813653 False [   18810.898935] 0003 0035 00000046
2022-03-16 15:17:13.813653 False [   18810.898935] 0003 0036 000002b0
2022-03-16 15:17:13.829197 False [   18810.916432] 0003 0035 00000046
2022-03-16 15:17:13.829197 False [   18810.916432] 0003 0036 000002b0
2022-03-16 15:17:13.848261 False [   18810.933465] 0003 0035 00000041
2022-03-16 15:17:13.848261 False [   18810.933465] 0003 0036 000002b0
2022-03-16 15:17:13.863745 False [   18810.950561] 0003 0035 0000003d
2022-03-16 15:17:13.863745 False [   18810.950561] 0003 0036 000002b0
