Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.1731876586609449 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 15:03:14.219851 True [    2927.745965] 0003 0035 00000352
2022-04-06 15:03:14.219851 True [    2927.745965] 0003 0036 0000049b
2022-04-06 15:03:14.226206 True [    2927.753926] 0003 0035 00000358
2022-04-06 15:03:14.226206 True [    2927.753926] 0003 0036 0000049e
2022-04-06 15:03:14.235115 True [    2927.762661] 0003 0035 0000035c
2022-04-06 15:03:14.235115 True [    2927.762661] 0003 0036 0000049f
2022-04-06 15:03:14.243221 True [    2927.770552] 0003 0035 00000363
2022-04-06 15:03:14.243221 True [    2927.770552] 0003 0036 000004a3
2022-04-06 15:03:14.250668 True [    2927.779023] 0003 0035 0000036c
2022-04-06 15:03:14.250668 True [    2927.779023] 0003 0036 000004a5
2022-04-06 15:03:14.259975 True [    2927.787190] 0003 0035 00000372
2022-04-06 15:03:14.259975 True [    2927.787190] 0003 0036 000004a8
2022-04-06 15:03:14.267087 True [    2927.795932] 0003 0035 0000037d
2022-04-06 15:03:14.267087 True [    2927.795932] 0003 0036 000004aa
2022-04-06 15:03:14.277054 True [    2927.803830] 0003 0035 00000387
2022-04-06 15:03:14.277054 True [    2927.803830] 0003 0036 000004ad
2022-04-06 15:03:14.283444 True [    2927.812255] 0003 0035 00000391
2022-04-06 15:03:14.283444 True [    2927.812255] 0003 0036 000004ae
2022-04-06 15:03:14.292952 True [    2927.820670] 0003 0035 0000039b
2022-04-06 15:03:14.292952 True [    2927.820670] 0003 0036 000004b0
2022-04-06 15:03:14.300695 True [    2927.828869] 0003 0035 000003a1
2022-04-06 15:03:14.300695 True [    2927.828869] 0003 0036 000004b1
2022-04-06 15:03:14.308529 True [    2927.837027] 0003 0035 000003ac
2022-04-06 15:03:14.308529 True [    2927.837027] 0003 0036 000004b3
2022-04-06 15:03:14.317865 True [    2927.846664] 0003 0035 000003b6
2022-04-06 15:03:14.317865 True [    2927.846664] 0003 0036 000004b4
2022-04-06 15:03:14.325735 True [    2927.853642] 0003 0035 000003c0
2022-04-06 15:03:14.334427 True [    2927.862120] 0003 0035 000003ca
2022-04-06 15:03:14.342450 True [    2927.870476] 0003 0035 000003d1
2022-04-06 15:03:14.350605 True [    2927.878705] 0003 0035 000003dc
2022-04-06 15:03:14.359529 True [    2927.887088] 0003 0035 000003e4
2022-04-06 15:03:14.359529 True [    2927.887088] 0003 0036 000004b5
2022-04-06 15:03:14.368186 True [    2927.896143] 0003 0035 000003ec
2022-04-06 15:03:14.375738 True [    2927.903701] 0003 0035 000003f2
2022-04-06 15:03:14.385821 True [    2927.913217] 0003 0035 000003f8
2022-04-06 15:03:14.393155 True [    2927.920159] 0003 0035 000003fd
2022-04-06 15:03:14.400227 True [    2927.928894] 0003 0035 00000401
2022-04-06 15:03:14.408053 True [    2927.937166] 0003 0035 00000404
2022-04-06 15:03:14.418350 True [    2927.945251] 0003 0035 00000405
2022-04-06 15:03:14.425975 True [    2927.953407] 0003 0035 00000408
2022-04-06 15:03:14.443373 True [    2927.969959] 0003 0035 0000040a
2022-04-06 15:03:14.450772 True [    2927.978486] 0003 0035 0000040b
2022-04-06 15:03:14.475843 True [    2928.003238] 0003 0035 0000040c
2022-04-06 15:03:14.475843 True [    2928.003238] 0003 0036 000004b4
2022-04-06 15:03:14.483579 True [    2928.011909] 0003 0035 0000040d
2022-04-06 15:03:14.483579 True [    2928.011909] 0003 0036 000004b3
2022-04-06 15:03:14.492945 True [    2928.020396] 0003 0036 000004b2
2022-04-06 15:03:14.499553 True [    2928.028842] 0003 0035 0000040e
2022-04-06 15:03:14.499553 True [    2928.028842] 0003 0036 000004b1
2022-04-06 15:03:14.509683 True [    2928.036675] 0003 0035 0000040d
2022-04-06 15:03:14.509683 True [    2928.036675] 0003 0036 000004af
2022-04-06 15:03:14.517024 True [    2928.045161] 0003 0036 000004ae
2022-04-06 15:03:14.523907 True [    2928.053105] 0003 0035 0000040c
2022-04-06 15:03:14.523907 True [    2928.053105] 0003 0036 000004ac
2022-04-06 15:03:14.532183 True [    2928.061531] 0003 0035 00000408
2022-04-06 15:03:14.532183 True [    2928.061531] 0003 0036 000004a7
2022-04-06 15:03:14.540873 True [    2928.069735] 0003 0035 00000406
2022-04-06 15:03:14.540873 True [    2928.069735] 0003 0036 000004a4
2022-04-06 15:03:14.548492 True [    2928.078150] 0003 0035 00000401
2022-04-06 15:03:14.548492 True [    2928.078150] 0003 0036 0000049e
2022-04-06 15:03:14.556445 True [    2928.086345] 0003 0035 000003fd
2022-04-06 15:03:14.556445 True [    2928.086345] 0003 0036 0000049b
2022-04-06 15:03:14.565517 True [    2928.094790] 0003 0035 000003f3
2022-04-06 15:03:14.565517 True [    2928.094790] 0003 0036 00000493
2022-04-06 15:03:14.573428 True [    2928.102971] 0003 0035 000003ed
2022-04-06 15:03:14.573428 True [    2928.102971] 0003 0036 0000048f
2022-04-06 15:03:14.581841 True [    2928.111397] 0003 0035 000003e6
2022-04-06 15:03:14.581841 True [    2928.111397] 0003 0036 0000048c
2022-04-06 15:03:14.591996 True [    2928.119577] 0003 0035 000003e1
2022-04-06 15:03:14.591996 True [    2928.119577] 0003 0036 0000048a
2022-04-06 15:03:14.599391 True [    2928.127999] 0003 0035 000003d9
2022-04-06 15:03:14.599391 True [    2928.127999] 0003 0036 00000486
2022-04-06 15:03:14.606527 True [    2928.136383] 0003 0035 000003ce
2022-04-06 15:03:14.606527 True [    2928.136383] 0003 0036 00000481
2022-04-06 15:03:14.619330 True [    2928.144637] 0003 0035 000003c7
2022-04-06 15:03:14.619330 True [    2928.144637] 0003 0036 0000047e
2022-04-06 15:03:14.626032 True [    2928.152845] 0003 0035 000003be
2022-04-06 15:03:14.626032 True [    2928.152845] 0003 0036 00000479
2022-04-06 15:03:14.632754 True [    2928.161360] 0003 0035 000003b2
2022-04-06 15:03:14.632754 True [    2928.161360] 0003 0036 00000472
2022-04-06 15:03:14.641348 True [    2928.169442] 0003 0035 000003ab
2022-04-06 15:03:14.641348 True [    2928.169442] 0003 0036 0000046d
2022-04-06 15:03:14.648788 True [    2928.177897] 0003 0035 000003a1
2022-04-06 15:03:14.648788 True [    2928.177897] 0003 0036 00000468
2022-04-06 15:03:14.656820 True [    2928.186088] 0003 0035 00000395
2022-04-06 15:03:14.656820 True [    2928.186088] 0003 0036 00000460
2022-04-06 15:03:14.665671 True [    2928.194483] 0003 0035 0000038d
2022-04-06 15:03:14.665671 True [    2928.194483] 0003 0036 0000045b
2022-04-06 15:03:14.674019 True [    2928.202663] 0003 0035 00000384
2022-04-06 15:03:14.674019 True [    2928.202663] 0003 0036 00000456
2022-04-06 15:03:14.681830 True [    2928.211101] 0003 0035 0000037e
2022-04-06 15:03:14.681830 True [    2928.211101] 0003 0036 00000453
2022-04-06 15:03:14.689531 True [    2928.219299] 0003 0035 00000377
2022-04-06 15:03:14.690532 True [    2928.219299] 0003 0036 0000044e
2022-04-06 15:03:14.696734 True [    2928.227739] 0003 0035 00000372
2022-04-06 15:03:14.696734 True [    2928.227739] 0003 0036 0000044b
2022-04-06 15:03:14.707051 True [    2928.235928] 0003 0035 0000036d
2022-04-06 15:03:14.707051 True [    2928.235928] 0003 0036 00000447
2022-04-06 15:03:14.717512 True [    2928.244380] 0003 0035 00000366
2022-04-06 15:03:14.717512 True [    2928.244380] 0003 0036 00000443
2022-04-06 15:03:14.723463 True [    2928.252576] 0003 0035 00000360
2022-04-06 15:03:14.723463 True [    2928.252576] 0003 0036 00000440
2022-04-06 15:03:14.733481 True [    2928.261000] 0003 0035 0000035d
2022-04-06 15:03:14.733481 True [    2928.261000] 0003 0036 0000043f
2022-04-06 15:03:14.741700 True [    2928.269219] 0003 0035 0000035c
2022-04-06 15:03:14.741700 True [    2928.269219] 0003 0036 0000043b
2022-04-06 15:03:14.749718 True [    2928.277615] 0003 0035 00000359
2022-04-06 15:03:14.749718 True [    2928.277615] 0003 0036 00000435
2022-04-06 15:03:14.756515 True [    2928.285785] 0003 0035 00000356
2022-04-06 15:03:14.756515 True [    2928.285785] 0003 0036 00000430
2022-04-06 15:03:14.763140 True [    2928.294202] 0003 0035 00000355
2022-04-06 15:03:14.763140 True [    2928.294202] 0003 0036 0000042e
