Mode = area stim
        verts = 5 
        radius = 550 
        center = (800, 1280) 
        first_angle = 2.4163548765100455 
        wm_size = [1600 2560] 
        stim_amp = 4 
        baseline_stim = 3
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 18:43:39.713113 True [   18149.036781] 0003 0036 00000586
2022-04-07 18:43:39.721159 True [   18149.045180] 0003 0036 0000058e
2022-04-07 18:43:39.729464 True [   18149.053406] 0003 0035 000004c0
2022-04-07 18:43:39.729464 True [   18149.053406] 0003 0036 0000059a
2022-04-07 18:43:39.738046 True [   18149.061824] 0003 0035 000004bf
2022-04-07 18:43:39.738046 True [   18149.061824] 0003 0036 000005a2
2022-04-07 18:43:39.747523 True [   18149.070026] 0003 0035 000004be
2022-04-07 18:43:39.747523 True [   18149.070026] 0003 0036 000005a8
2022-04-07 18:43:39.754315 False [   18149.078463] 0003 0036 000005af
2022-04-07 18:43:39.763725 False [   18149.086639] 0003 0036 000005b4
2022-04-07 18:43:39.771507 False [   18149.095134] 0003 0035 000004bd
2022-04-07 18:43:39.771507 False [   18149.095134] 0003 0036 000005b8
2022-04-07 18:43:39.780391 False [   18149.103300] 0003 0036 000005bb
2022-04-07 18:43:39.788089 False [   18149.111723] 0003 0036 000005bd
2022-04-07 18:43:39.798067 False [   18149.119901] 0003 0036 000005c4
2022-04-07 18:43:39.804728 False [   18149.128333] 0003 0036 000005c9
2022-04-07 18:43:39.814068 False [   18149.136555] 0003 0036 000005cd
2022-04-07 18:43:39.821594 False [   18149.144961] 0003 0036 000005d0
2022-04-07 18:43:39.829674 False [   18149.153153] 0003 0036 000005d3
2022-04-07 18:43:39.837069 False [   18149.161604] 0003 0036 000005d4
2022-04-07 18:43:39.845039 False [   18149.169726] 0003 0036 000005d6
2022-04-07 18:43:39.854250 False [   18149.178365] 0003 0036 000005d7
2022-04-07 18:43:39.862368 False [   18149.186361] 0003 0036 000005d8
2022-04-07 18:43:39.871398 False [   18149.194806] 0003 0036 000005d9
2022-04-07 18:43:39.902264 False [   18149.228031] 0003 0035 000004be
2022-04-07 18:43:39.902264 False [   18149.228031] 0003 0036 000005d6
2022-04-07 18:43:39.910517 False [   18149.236255] 0003 0036 000005d4
2022-04-07 18:43:39.918711 False [   18149.244692] 0003 0035 000004bf
2022-04-07 18:43:39.919709 False [   18149.244692] 0003 0036 000005d2
2022-04-07 18:43:39.927050 False [   18149.252825] 0003 0035 000004c5
2022-04-07 18:43:39.927050 False [   18149.252825] 0003 0036 000005c7
2022-04-07 18:43:39.937198 False [   18149.261300] 0003 0035 000004c9
2022-04-07 18:43:39.937198 False [   18149.261300] 0003 0036 000005c0
2022-04-07 18:43:39.946625 False [   18149.269493] 0003 0035 000004d0
2022-04-07 18:43:39.946625 False [   18149.269493] 0003 0036 000005b1
2022-04-07 18:43:39.953244 False [   18149.277943] 0003 0035 000004d5
2022-04-07 18:43:39.953244 False [   18149.277943] 0003 0036 000005a9
2022-04-07 18:43:39.962319 False [   18149.286109] 0003 0035 000004e2
2022-04-07 18:43:39.962319 False [   18149.286109] 0003 0036 0000059a
2022-04-07 18:43:39.971343 False [   18149.294556] 0003 0035 000004e9
2022-04-07 18:43:39.971343 False [   18149.294556] 0003 0036 00000591
2022-04-07 18:43:39.980069 False [   18149.302755] 0003 0035 000004f2
2022-04-07 18:43:39.980069 False [   18149.302755] 0003 0036 00000585
2022-04-07 18:43:39.987204 False [   18149.311198] 0003 0035 000004f7
2022-04-07 18:43:39.987204 False [   18149.311198] 0003 0036 0000057f
2022-04-07 18:43:39.995264 False [   18149.319373] 0003 0035 00000505
2022-04-07 18:43:39.995264 False [   18149.319373] 0003 0036 0000056a
2022-04-07 18:43:40.002925 False [   18149.327781] 0003 0035 0000050c
2022-04-07 18:43:40.002925 False [   18149.327781] 0003 0036 00000561
2022-04-07 18:43:40.011427 False [   18149.335984] 0003 0035 00000510
2022-04-07 18:43:40.011427 False [   18149.335984] 0003 0036 0000055c
2022-04-07 18:43:40.021711 False [   18149.344417] 0003 0035 00000519
2022-04-07 18:43:40.021711 False [   18149.344417] 0003 0036 00000550
2022-04-07 18:43:40.029988 False [   18149.352600] 0003 0035 0000051f
2022-04-07 18:43:40.029988 False [   18149.352600] 0003 0036 00000549
2022-04-07 18:43:40.039917 False [   18149.361054] 0003 0035 00000525
2022-04-07 18:43:40.039917 False [   18149.361054] 0003 0036 0000053d
2022-04-07 18:43:40.045069 False [   18149.369332] 0003 0035 00000529
2022-04-07 18:43:40.045069 False [   18149.369332] 0003 0036 00000535
2022-04-07 18:43:40.053210 False [   18149.377618] 0003 0035 0000052c
2022-04-07 18:43:40.053210 False [   18149.377618] 0003 0036 00000530
2022-04-07 18:43:40.062547 False [   18149.385807] 0003 0035 0000052d
2022-04-07 18:43:40.062547 False [   18149.385807] 0003 0036 0000052e
2022-04-07 18:43:40.070650 False [   18149.394235] 0003 0035 0000052f
2022-04-07 18:43:40.070650 False [   18149.394235] 0003 0036 00000529
2022-04-07 18:43:40.077073 False [   18149.402471] 0003 0035 00000530
2022-04-07 18:43:40.077073 False [   18149.402471] 0003 0036 00000526
2022-04-07 18:43:40.088091 False [   18149.410855] 0003 0036 00000523
2022-04-07 18:43:40.095497 False [   18149.419083] 0003 0036 00000521
2022-04-07 18:43:40.103992 False [   18149.427504] 0003 0035 00000531
2022-04-07 18:43:40.103992 False [   18149.427504] 0003 0036 0000051f
2022-04-07 18:43:40.111825 False [   18149.435687] 0003 0036 0000051e
2022-04-07 18:43:40.119343 False [   18149.444116] 0003 0035 0000052e
2022-04-07 18:43:40.119343 False [   18149.444116] 0003 0036 0000051c
2022-04-07 18:43:40.128090 False [   18149.452316] 0003 0035 0000052c
2022-04-07 18:43:40.128090 False [   18149.452316] 0003 0036 0000051a
2022-04-07 18:43:40.137225 False [   18149.460760] 0003 0035 00000529
2022-04-07 18:43:40.137225 False [   18149.460760] 0003 0036 00000519
2022-04-07 18:43:40.144388 False [   18149.468928] 0003 0035 00000522
2022-04-07 18:43:40.153298 False [   18149.477341] 0003 0035 0000051e
2022-04-07 18:43:40.162899 True [   18149.485513] 0003 0035 0000050e
2022-04-07 18:43:40.162899 True [   18149.485513] 0003 0036 0000051b
2022-04-07 18:43:40.171166 True [   18149.493978] 0003 0035 00000505
2022-04-07 18:43:40.171166 True [   18149.493978] 0003 0036 0000051d
2022-04-07 18:43:40.179671 True [   18149.502121] 0003 0035 000004f2
2022-04-07 18:43:40.179671 True [   18149.502121] 0003 0036 00000522
2022-04-07 18:43:40.187072 True [   18149.510562] 0003 0035 000004e7
2022-04-07 18:43:40.187072 True [   18149.510562] 0003 0036 00000524
2022-04-07 18:43:40.196965 True [   18149.518802] 0003 0035 000004d7
2022-04-07 18:43:40.196965 True [   18149.518802] 0003 0036 0000052b
2022-04-07 18:43:40.203343 True [   18149.527175] 0003 0035 000004cf
2022-04-07 18:43:40.203343 True [   18149.527175] 0003 0036 0000052f
2022-04-07 18:43:40.211061 True [   18149.535361] 0003 0035 000004ba
2022-04-07 18:43:40.211061 True [   18149.535361] 0003 0036 00000538
2022-04-07 18:43:40.220276 True [   18149.543817] 0003 0035 000004af
2022-04-07 18:43:40.220276 True [   18149.543817] 0003 0036 0000053d
2022-04-07 18:43:40.228392 True [   18149.551974] 0003 0035 000004a2
2022-04-07 18:43:40.229390 True [   18149.551974] 0003 0036 00000543
2022-04-07 18:43:40.237056 True [   18149.560646] 0003 0035 0000049a
2022-04-07 18:43:40.237056 True [   18149.560646] 0003 0036 00000546
2022-04-07 18:43:40.245611 True [   18149.568681] 0003 0035 0000048a
2022-04-07 18:43:40.245611 True [   18149.568681] 0003 0036 0000054c
2022-04-07 18:43:40.252602 True [   18149.577069] 0003 0035 00000481
2022-04-07 18:43:40.252602 True [   18149.577069] 0003 0036 00000550
2022-04-07 18:43:40.262394 True [   18149.585256] 0003 0035 0000047b
2022-04-07 18:43:40.262394 True [   18149.585256] 0003 0036 00000552
2022-04-07 18:43:40.269356 True [   18149.593722] 0003 0035 00000471
2022-04-07 18:43:40.269356 True [   18149.593722] 0003 0036 00000556
2022-04-07 18:43:40.278120 True [   18149.601865] 0003 0035 0000046b
2022-04-07 18:43:40.278120 True [   18149.601865] 0003 0036 00000559
2022-04-07 18:43:40.285733 True [   18149.610304] 0003 0035 00000467
2022-04-07 18:43:40.285733 True [   18149.610304] 0003 0036 0000055b
2022-04-07 18:43:40.294599 True [   18149.618627] 0003 0035 00000463
2022-04-07 18:43:40.294599 True [   18149.618627] 0003 0036 0000055e
2022-04-07 18:43:40.302648 True [   18149.626936] 0003 0035 00000461
2022-04-07 18:43:40.302648 True [   18149.626936] 0003 0036 0000055f
2022-04-07 18:43:40.311688 True [   18149.635151] 0003 0035 0000045e
2022-04-07 18:43:40.311688 True [   18149.635151] 0003 0036 00000560
2022-04-07 18:43:40.318094 True [   18149.643564] 0003 0035 0000045b
2022-04-07 18:43:40.318094 True [   18149.643564] 0003 0036 00000563
2022-04-07 18:43:40.327014 True [   18149.651721] 0003 0035 00000458
2022-04-07 18:43:40.327014 True [   18149.651721] 0003 0036 00000565
2022-04-07 18:43:40.336752 True [   18149.660191] 0003 0035 00000456
2022-04-07 18:43:40.336752 True [   18149.660191] 0003 0036 00000567
2022-04-07 18:43:40.346401 True [   18149.668681] 0003 0035 00000454
2022-04-07 18:43:40.346401 True [   18149.668681] 0003 0036 00000569
2022-04-07 18:43:40.353757 True [   18149.676789] 0003 0035 00000453
2022-04-07 18:43:40.353757 True [   18149.676789] 0003 0036 0000056a
2022-04-07 18:43:40.369596 True [   18149.693423] 0003 0035 00000454
2022-04-07 18:43:40.387122 True [   18149.709980] 0003 0035 00000456
2022-04-07 18:43:40.394516 True [   18149.718261] 0003 0035 00000457
2022-04-07 18:43:40.401847 True [   18149.726683] 0003 0035 0000045b
