Mode = area stim
        verts = 5 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.3362259462033432 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 2
        ===============================
2022-04-07 19:06:13.824860 False [   19503.113897] 0003 0036 0000084d
2022-04-07 19:06:13.824860 False [   19503.121801] 0003 0035 0000049e
2022-04-07 19:06:13.824860 False [   19503.121801] 0003 0036 00000846
2022-04-07 19:06:13.836494 False [   19503.129993] 0003 0035 0000049c
2022-04-07 19:06:13.836494 False [   19503.129993] 0003 0036 00000841
2022-04-07 19:06:13.844012 False [   19503.138567] 0003 0035 0000049b
2022-04-07 19:06:13.844012 False [   19503.138567] 0003 0036 0000083e
2022-04-07 19:06:13.852459 False [   19503.146743] 0003 0035 0000049a
2022-04-07 19:06:13.852459 False [   19503.146743] 0003 0036 0000083b
2022-04-07 19:06:13.852459 False [   19503.155150] 0003 0035 00000499
2022-04-07 19:06:13.852459 False [   19503.155150] 0003 0036 00000839
2022-04-07 19:06:13.869666 False [   19503.163586] 0003 0036 00000838
2022-04-07 19:06:13.880982 False [   19503.171720] 0003 0035 00000498
2022-04-07 19:06:13.880982 False [   19503.171720] 0003 0036 00000836
2022-04-07 19:06:13.880982 False [   19503.179951] 0003 0036 00000835
2022-04-07 19:06:13.905910 False [   19503.204993] 0003 0035 00000497
2022-04-07 19:06:13.944140 False [   19503.229694] 0003 0036 00000836
2022-04-07 19:06:13.961657 False [   19503.238358] 0003 0036 0000083a
2022-04-07 19:06:13.961657 False [   19503.247659] 0003 0036 0000083e
2022-04-07 19:06:13.991951 False [   19503.254805] 0003 0036 00000846
2022-04-07 19:06:13.991951 False [   19503.263152] 0003 0035 00000498
2022-04-07 19:06:13.991951 False [   19503.263152] 0003 0036 0000084e
2022-04-07 19:06:13.991951 False [   19503.271460] 0003 0036 00000858
2022-04-07 19:06:14.002489 False [   19503.279934] 0003 0036 00000863
2022-04-07 19:06:14.002489 False [   19503.288252] 0003 0036 0000086e
2022-04-07 19:06:14.002489 False [   19503.297459] 0003 0035 00000497
2022-04-07 19:06:14.002489 False [   19503.297459] 0003 0036 00000879
2022-04-07 19:06:14.011064 False [   19503.304824] 0003 0035 00000496
2022-04-07 19:06:14.017485 False [   19503.304824] 0003 0036 00000886
2022-04-07 19:06:14.017485 False [   19503.312944] 0003 0035 00000493
2022-04-07 19:06:14.017485 False [   19503.312944] 0003 0036 00000894
2022-04-07 19:06:14.035135 False [   19503.321341] 0003 0035 0000048f
2022-04-07 19:06:14.035135 False [   19503.321341] 0003 0036 000008a2
2022-04-07 19:06:14.047795 False [   19503.329515] 0003 0035 0000048b
2022-04-07 19:06:14.047795 False [   19503.329515] 0003 0036 000008af
2022-04-07 19:06:14.047795 False [   19503.337962] 0003 0035 00000486
2022-04-07 19:06:14.047795 False [   19503.337962] 0003 0036 000008bd
2022-04-07 19:06:14.053493 False [   19503.346224] 0003 0035 00000481
2022-04-07 19:06:14.053493 False [   19503.346224] 0003 0036 000008ca
2022-04-07 19:06:14.053493 False [   19503.354653] 0003 0035 0000047a
2022-04-07 19:06:14.053493 False [   19503.354653] 0003 0036 000008d8
2022-04-07 19:06:14.060567 False [   19503.362762] 0003 0035 00000473
2022-04-07 19:06:14.060567 False [   19503.362762] 0003 0036 000008e5
2022-04-07 19:06:14.077589 False [   19503.371231] 0003 0035 0000046c
2022-04-07 19:06:14.077589 False [   19503.371231] 0003 0036 000008f0
2022-04-07 19:06:14.091558 False [   19503.379423] 0003 0035 00000464
2022-04-07 19:06:14.091558 False [   19503.379423] 0003 0036 000008fb
2022-04-07 19:06:14.091558 False [   19503.387857] 0003 0035 0000045d
2022-04-07 19:06:14.091558 False [   19503.387857] 0003 0036 00000905
