Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.8850851337739059 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 14:01:33.394935 False [  145607.298692] 0003 0035 0000017f
2022-04-02 14:01:33.394935 False [  145607.298692] 0003 0036 000001f3
2022-04-02 14:01:33.403436 False [  145607.306953] 0003 0035 00000181
2022-04-02 14:01:33.403436 False [  145607.306953] 0003 0036 000001f5
2022-04-02 14:01:33.413058 False [  145607.315320] 0003 0035 00000182
2022-04-02 14:01:33.413058 False [  145607.315320] 0003 0036 000001f9
2022-04-02 14:01:33.421029 False [  145607.323613] 0003 0035 00000185
2022-04-02 14:01:33.421029 False [  145607.323613] 0003 0036 000001fb
2022-04-02 14:01:33.430764 False [  145607.332158] 0003 0035 00000186
2022-04-02 14:01:33.430764 False [  145607.332158] 0003 0036 000001fe
2022-04-02 14:01:33.438313 False [  145607.340385] 0003 0035 00000188
2022-04-02 14:01:33.438313 False [  145607.340385] 0003 0036 00000200
2022-04-02 14:01:33.445370 False [  145607.349001] 0003 0035 00000189
2022-04-02 14:01:33.445370 False [  145607.349001] 0003 0036 00000203
2022-04-02 14:01:33.454990 False [  145607.356839] 0003 0035 0000018b
2022-04-02 14:01:33.454990 False [  145607.356839] 0003 0036 00000206
2022-04-02 14:01:33.462113 False [  145607.365289] 0003 0035 0000018c
2022-04-02 14:01:33.462113 False [  145607.365289] 0003 0036 00000207
2022-04-02 14:01:33.471235 False [  145607.373520] 0003 0035 0000018d
2022-04-02 14:01:33.471235 False [  145607.373520] 0003 0036 0000020a
2022-04-02 14:01:33.477731 False [  145607.381883] 0003 0035 0000018f
2022-04-02 14:01:33.477731 False [  145607.381883] 0003 0036 0000020c
2022-04-02 14:01:33.488816 False [  145607.390032] 0003 0036 0000020e
2022-04-02 14:01:33.494334 False [  145607.398710] 0003 0035 00000191
2022-04-02 14:01:33.494334 False [  145607.398710] 0003 0036 0000020f
2022-04-02 14:01:33.505563 False [  145607.407603] 0003 0035 00000192
2022-04-02 14:01:33.505563 False [  145607.407603] 0003 0036 00000211
2022-04-02 14:01:33.512532 False [  145607.415165] 0003 0035 00000193
2022-04-02 14:01:33.512532 False [  145607.415165] 0003 0036 00000213
2022-04-02 14:01:33.520467 False [  145607.423339] 0003 0035 00000194
2022-04-02 14:01:33.520467 False [  145607.423339] 0003 0036 00000215
2022-04-02 14:01:33.529840 False [  145607.431786] 0003 0035 00000195
2022-04-02 14:01:33.529840 False [  145607.431786] 0003 0036 00000218
2022-04-02 14:01:33.535870 False [  145607.439911] 0003 0035 00000197
2022-04-02 14:01:33.535870 False [  145607.439911] 0003 0036 0000021a
2022-04-02 14:01:33.545611 False [  145607.448298] 0003 0036 0000021c
2022-04-02 14:01:33.554374 False [  145607.456611] 0003 0035 00000199
2022-04-02 14:01:33.554374 False [  145607.456611] 0003 0036 0000021e
2022-04-02 14:01:33.562944 False [  145607.465017] 0003 0035 0000019a
2022-04-02 14:01:33.562944 False [  145607.465017] 0003 0036 00000220
2022-04-02 14:01:33.570810 False [  145607.473191] 0003 0035 0000019b
2022-04-02 14:01:33.570810 False [  145607.473191] 0003 0036 00000223
2022-04-02 14:01:33.579832 False [  145607.481585] 0003 0035 0000019d
2022-04-02 14:01:33.579832 False [  145607.481585] 0003 0036 00000224
