Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.035265419261927694 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:40:21.908270 True [  158745.042553] 0003 0036 00000501
2022-04-02 17:40:21.908270 True [  158745.050752] 0003 0036 00000502
2022-04-02 17:40:21.913645 True [  158745.059291] 0003 0035 00000530
2022-04-02 17:40:21.913645 True [  158745.059291] 0003 0036 00000504
2022-04-02 17:40:21.923951 True [  158745.075592] 0003 0035 0000052f
2022-04-02 17:40:21.923951 True [  158745.075592] 0003 0036 00000505
2022-04-02 17:40:21.942811 True [  158745.084138] 0003 0035 0000052e
2022-04-02 17:40:21.942811 True [  158745.084138] 0003 0036 00000506
2022-04-02 17:40:21.955259 True [  158745.092300] 0003 0035 0000052d
2022-04-02 17:40:21.955259 True [  158745.092300] 0003 0036 00000507
2022-04-02 17:40:21.955259 True [  158745.100769] 0003 0036 00000508
2022-04-02 17:40:21.979759 True [  158745.117243] 0003 0035 0000052c
2022-04-02 17:40:21.984478 True [  158745.126216] 0003 0036 00000509
2022-04-02 17:40:21.997869 True [  158745.142061] 0003 0035 0000052b
2022-04-02 17:40:21.997869 True [  158745.142061] 0003 0036 0000050a
2022-04-02 17:40:22.011625 True [  158745.158654] 0003 0036 0000050b
2022-04-02 17:40:22.047933 True [  158745.176386] 0003 0036 0000050c
2022-04-02 17:40:22.051793 True [  158745.186767] 0003 0035 0000052a
2022-04-02 17:40:22.051793 True [  158745.196798] 0003 0036 0000050d
2022-04-02 17:40:22.095432 True [  158745.243949] 0003 0036 0000050e
2022-04-02 17:40:22.133167 True [  158745.275013] 0003 0036 0000050f
2022-04-02 17:40:22.159119 True [  158745.309623] 0003 0036 00000510
2022-04-02 17:40:22.189781 True [  158745.341906] 0003 0036 00000511
2022-04-02 17:40:22.626235 True [  158745.765412] 0003 0035 0000052b
2022-04-02 17:40:22.626235 True [  158745.765412] 0003 0036 00000510
2022-04-02 17:40:22.648998 True [  158745.773625] 0003 0036 0000050e
2022-04-02 17:40:22.648998 True [  158745.782935] 0003 0035 0000052c
2022-04-02 17:40:22.648998 True [  158745.782935] 0003 0036 0000050d
2022-04-02 17:40:22.689879 True [  158745.790366] 0003 0036 0000050b
2022-04-02 17:40:22.689879 True [  158745.798947] 0003 0035 0000052d
2022-04-02 17:40:22.689879 True [  158745.798947] 0003 0036 00000509
2022-04-02 17:40:22.689879 True [  158745.807008] 0003 0036 00000508
2022-04-02 17:40:22.753507 True [  158745.815320] 0003 0036 00000507
2022-04-02 17:40:22.753507 True [  158745.825644] 0003 0035 0000052c
2022-04-02 17:40:22.753507 True [  158745.825644] 0003 0036 00000503
2022-04-02 17:40:22.753507 True [  158745.831872] 0003 0035 0000052a
2022-04-02 17:40:22.753507 True [  158745.831872] 0003 0036 00000500
2022-04-02 17:40:22.753507 True [  158745.840164] 0003 0035 00000529
2022-04-02 17:40:22.753507 True [  158745.840164] 0003 0036 000004fd
2022-04-02 17:40:22.810625 True [  158745.848722] 0003 0036 000004fa
