Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.55604959485662 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 19:39:21.324614 False [   34878.355458] 0003 0035 0000055e
2022-03-16 19:39:21.335585 False [   34878.363749] 0003 0035 0000055f
2022-03-16 19:39:21.336582 False [   34878.363749] 0003 0036 00000815
2022-03-16 19:39:21.343859 False [   34878.372187] 0003 0035 00000562
2022-03-16 19:39:21.350845 False [   34878.380394] 0003 0035 00000566
2022-03-16 19:39:21.350845 False [   34878.380394] 0003 0036 00000816
2022-03-16 19:39:21.359956 False [   34878.388722] 0003 0035 0000056b
2022-03-16 19:39:21.359956 False [   34878.388722] 0003 0036 00000817
2022-03-16 19:39:21.367284 False [   34878.396854] 0003 0035 00000572
2022-03-16 19:39:21.367284 False [   34878.396854] 0003 0036 00000818
2022-03-16 19:39:21.373022 False [   34878.405409] 0003 0035 00000579
2022-03-16 19:39:21.373022 False [   34878.405409] 0003 0036 00000819
2022-03-16 19:39:23.143234 False [   34880.175302] 0003 0035 00000605
2022-03-16 19:39:23.143234 False [   34880.175302] 0003 0036 0000005b
2022-03-16 19:39:23.151422 False [   34880.183426] 0003 0035 00000604
2022-03-16 19:39:23.160865 False [   34880.191634] 0003 0036 00000058
2022-03-16 19:39:23.167539 False [   34880.200142] 0003 0035 00000603
2022-03-16 19:39:23.167539 False [   34880.200142] 0003 0036 00000055
2022-03-16 19:39:23.177692 False [   34880.208294] 0003 0036 00000054
2022-03-16 19:39:23.185177 False [   34880.216831] 0003 0035 00000604
2022-03-16 19:39:23.185177 False [   34880.216831] 0003 0036 00000051
2022-03-16 19:39:25.489712 False [   34882.511293] 0003 0035 0000058b
2022-03-16 19:39:25.489712 False [   34882.511293] 0003 0036 000001d8
2022-03-16 19:39:26.962794 False [   34883.990350] 0003 0035 00000436
2022-03-16 19:39:26.962794 True [   34883.990350] 0003 0036 0000055c
2022-03-16 19:39:28.046280 False [   34885.070973] 0003 0035 00000589
2022-03-16 19:39:28.046280 False [   34885.070973] 0003 0036 0000075c
2022-03-16 19:39:28.051216 False [   34885.078223] 0003 0035 000000c4
2022-03-16 19:39:28.051216 False [   34885.078223] 0003 0036 000007c3
2022-03-16 19:39:28.107858 False [   34885.136367] 0003 0035 0000058a
2022-03-16 19:39:28.116718 False [   34885.144396] 0003 0035 0000058c
2022-03-16 19:39:28.123346 False [   34885.152882] 0003 0035 0000058e
2022-03-16 19:39:28.123346 False [   34885.152882] 0003 0036 0000075d
2022-03-16 19:39:28.132043 False [   34885.160919] 0003 0035 00000591
2022-03-16 19:39:28.140963 False [   34885.169321] 0003 0035 00000594
2022-03-16 19:39:28.147562 False [   34885.177483] 0003 0035 00000597
2022-03-16 19:39:28.147562 False [   34885.177483] 0003 0036 0000075e
2022-03-16 19:39:28.154844 False [   34885.185869] 0003 0035 0000059b
2022-03-16 19:39:28.154844 False [   34885.185869] 0003 0036 0000075f
2022-03-16 19:39:28.166520 False [   34885.194141] 0003 0035 0000059f
2022-03-16 19:39:28.170934 False [   34885.202773] 0003 0035 000005a3
2022-03-16 19:39:28.170934 False [   34885.202773] 0003 0036 00000760
2022-03-16 19:39:28.181083 False [   34885.210967] 0003 0035 000005a6
2022-03-16 19:39:28.190607 False [   34885.219492] 0003 0035 000005aa
2022-03-16 19:39:28.190607 False [   34885.219492] 0003 0036 00000761
2022-03-16 19:39:28.197954 False [   34885.227380] 0003 0035 000005ac
2022-03-16 19:39:28.197954 False [   34885.227380] 0003 0036 00000762
2022-03-16 19:39:28.206581 False [   34885.236099] 0003 0035 000005af
2022-03-16 19:39:28.212869 False [   34885.244110] 0003 0035 000005b1
2022-03-16 19:39:28.212869 False [   34885.244110] 0003 0036 00000763
2022-03-16 19:39:28.212869 False [   34885.244110] 0003 0035 000000c3
2022-03-16 19:39:28.223039 False [   34885.252584] 0003 0035 000005b4
2022-03-16 19:39:28.231439 False [   34885.260832] 0003 0035 000005b5
2022-03-16 19:39:28.231439 False [   34885.260832] 0003 0035 000000c2
2022-03-16 19:39:28.239968 False [   34885.269018] 0003 0035 000005b7
2022-03-16 19:39:28.239968 False [   34885.269018] 0003 0036 00000764
