Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.422351992080007 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 15:01:03.224577 True [    2796.754080] 0003 0035 000003a6
2022-04-06 15:01:03.224577 True [    2796.754080] 0003 0036 00000396
2022-04-06 15:01:03.232590 True [    2796.761254] 0003 0035 000003a1
2022-04-06 15:01:03.232590 True [    2796.761254] 0003 0036 00000399
2022-04-06 15:01:03.238030 True [    2796.769330] 0003 0035 0000039d
2022-04-06 15:01:03.238030 True [    2796.769330] 0003 0036 0000039a
2022-04-06 15:01:03.247893 True [    2796.777781] 0003 0035 00000399
2022-04-06 15:01:03.247893 True [    2796.777781] 0003 0036 0000039c
2022-04-06 15:01:03.255751 True [    2796.786247] 0003 0035 00000395
2022-04-06 15:01:03.255751 True [    2796.786247] 0003 0036 0000039e
2022-04-06 15:01:03.263800 True [    2796.794475] 0003 0035 00000391
2022-04-06 15:01:03.263800 True [    2796.794475] 0003 0036 0000039f
2022-04-06 15:01:03.272236 True [    2796.803392] 0003 0035 0000038e
2022-04-06 15:01:03.272236 True [    2796.803392] 0003 0036 000003a1
2022-04-06 15:01:03.279976 True [    2796.810989] 0003 0035 0000038b
2022-04-06 15:01:03.279976 True [    2796.810989] 0003 0036 000003a3
2022-04-06 15:01:03.292233 True [    2796.820824] 0003 0035 00000388
2022-04-06 15:01:03.292233 True [    2796.820824] 0003 0036 000003a4
2022-04-06 15:01:03.297224 True [    2796.827415] 0003 0035 00000385
2022-04-06 15:01:03.297224 True [    2796.827415] 0003 0036 000003a6
2022-04-06 15:01:03.306850 True [    2796.836923] 0003 0035 00000384
2022-04-06 15:01:03.306850 True [    2796.836923] 0003 0036 000003a7
2022-04-06 15:01:03.314178 True [    2796.843989] 0003 0035 00000382
2022-04-06 15:01:03.314178 True [    2796.843989] 0003 0036 000003a8
2022-04-06 15:01:03.321717 True [    2796.852828] 0003 0035 00000380
2022-04-06 15:01:03.321717 True [    2796.852828] 0003 0036 000003a9
2022-04-06 15:01:03.330679 True [    2796.860713] 0003 0035 0000037d
2022-04-06 15:01:03.330679 True [    2796.860713] 0003 0036 000003aa
2022-04-06 15:01:03.339374 True [    2796.869272] 0003 0035 0000037b
2022-04-06 15:01:03.339374 True [    2796.869272] 0003 0036 000003ab
2022-04-06 15:01:03.347520 True [    2796.877427] 0003 0035 00000379
2022-04-06 15:01:03.347520 True [    2796.877427] 0003 0036 000003ac
2022-04-06 15:01:03.357905 True [    2796.886394] 0003 0035 00000376
2022-04-06 15:01:03.357905 True [    2796.886394] 0003 0036 000003ae
2022-04-06 15:01:03.362874 True [    2796.893848] 0003 0035 00000374
2022-04-06 15:01:03.362874 True [    2796.893848] 0003 0036 000003af
2022-04-06 15:01:03.372017 True [    2796.902256] 0003 0035 00000371
2022-04-06 15:01:03.372017 True [    2796.902256] 0003 0036 000003b0
2022-04-06 15:01:03.380675 True [    2796.910712] 0003 0035 0000036e
2022-04-06 15:01:03.380675 True [    2796.910712] 0003 0036 000003b1
2022-04-06 15:01:03.389607 True [    2796.919604] 0003 0035 0000036c
2022-04-06 15:01:03.389607 True [    2796.919604] 0003 0036 000003b2
2022-04-06 15:01:03.396754 True [    2796.927095] 0003 0035 0000036a
2022-04-06 15:01:03.396754 True [    2796.927095] 0003 0036 000003b4
2022-04-06 15:01:03.405309 True [    2796.936288] 0003 0035 00000368
2022-04-06 15:01:03.405309 True [    2796.936288] 0003 0036 000003b5
2022-04-06 15:01:03.414348 True [    2796.943692] 0003 0035 00000367
2022-04-06 15:01:03.421558 True [    2796.952437] 0003 0035 00000365
2022-04-06 15:01:03.421558 True [    2796.952437] 0003 0036 000003b6
2022-04-06 15:01:03.429695 True [    2796.960457] 0003 0035 00000363
2022-04-06 15:01:03.429695 True [    2796.960457] 0003 0036 000003b7
2022-04-06 15:01:03.439291 True [    2796.969511] 0003 0035 00000362
2022-04-06 15:01:03.439291 True [    2796.969511] 0003 0036 000003b8
2022-04-06 15:01:03.447710 True [    2796.976985] 0003 0035 00000361
2022-04-06 15:01:03.447710 True [    2796.976985] 0003 0036 000003b9
2022-04-06 15:01:03.456099 True [    2796.985585] 0003 0035 00000360
2022-04-06 15:01:03.456099 True [    2796.985585] 0003 0036 000003ba
2022-04-06 15:01:03.471591 True [    2797.002377] 0003 0035 0000035e
2022-04-06 15:01:03.471591 True [    2797.002377] 0003 0036 000003bb
2022-04-06 15:01:03.479794 True [    2797.010489] 0003 0035 0000035d
2022-04-06 15:01:03.479794 True [    2797.010489] 0003 0036 000003bc
2022-04-06 15:01:03.489391 True [    2797.019111] 0003 0035 0000035c
2022-04-06 15:01:03.489391 True [    2797.019111] 0003 0036 000003bd
2022-04-06 15:01:03.506814 True [    2797.035225] 0003 0035 0000035b
2022-04-06 15:01:03.506814 True [    2797.035225] 0003 0036 000003be
2022-04-06 15:01:03.515082 True [    2797.043431] 0003 0035 0000035a
2022-04-06 15:01:03.520583 True [    2797.051830] 0003 0036 000003bf
2022-04-06 15:01:03.530670 True [    2797.060142] 0003 0035 00000359
2022-04-06 15:01:03.547426 True [    2797.076635] 0003 0035 00000358
2022-04-06 15:01:03.563278 True [    2797.093169] 0003 0035 00000357
2022-04-06 15:01:03.563278 True [    2797.093169] 0003 0036 000003c0
2022-04-06 15:01:03.580677 True [    2797.109812] 0003 0035 00000356
2022-04-06 15:01:03.596561 True [    2797.126439] 0003 0035 00000355
2022-04-06 15:01:03.596561 True [    2797.126439] 0003 0036 000003c1
2022-04-06 15:01:03.666265 True [    2797.192924] 0003 0035 00000354
2022-04-06 15:01:03.723319 True [    2797.251495] 0003 0035 00000355
2022-04-06 15:01:03.727653 True [    2797.259429] 0003 0036 000003c0
2022-04-06 15:01:03.746632 True [    2797.276120] 0003 0035 00000357
2022-04-06 15:01:03.746632 True [    2797.276120] 0003 0036 000003bf
2022-04-06 15:01:03.756101 True [    2797.284617] 0003 0035 00000359
2022-04-06 15:01:03.756101 True [    2797.284617] 0003 0036 000003be
2022-04-06 15:01:03.762924 True [    2797.292701] 0003 0035 0000035c
2022-04-06 15:01:03.762924 True [    2797.292701] 0003 0036 000003bc
2022-04-06 15:01:03.772696 True [    2797.301125] 0003 0035 0000035f
2022-04-06 15:01:03.772696 True [    2797.301125] 0003 0036 000003ba
2022-04-06 15:01:03.779628 True [    2797.309324] 0003 0035 00000363
2022-04-06 15:01:03.779628 True [    2797.309324] 0003 0036 000003b8
2022-04-06 15:01:03.787696 True [    2797.317744] 0003 0035 00000367
2022-04-06 15:01:03.787696 True [    2797.317744] 0003 0036 000003b5
2022-04-06 15:01:03.797026 True [    2797.325954] 0003 0035 0000036b
2022-04-06 15:01:03.797026 True [    2797.325954] 0003 0036 000003b3
2022-04-06 15:01:03.804337 True [    2797.334321] 0003 0035 00000370
2022-04-06 15:01:03.804337 True [    2797.334321] 0003 0036 000003b0
2022-04-06 15:01:03.812541 True [    2797.342598] 0003 0035 00000375
2022-04-06 15:01:03.812541 True [    2797.342598] 0003 0036 000003ad
2022-04-06 15:01:03.820124 True [    2797.350967] 0003 0035 0000037a
2022-04-06 15:01:03.820124 True [    2797.350967] 0003 0036 000003aa
2022-04-06 15:01:03.830650 True [    2797.359182] 0003 0035 00000380
2022-04-06 15:01:03.830650 True [    2797.359182] 0003 0036 000003a6
2022-04-06 15:01:03.838078 True [    2797.367613] 0003 0035 00000384
2022-04-06 15:01:03.838078 True [    2797.367613] 0003 0036 000003a3
2022-04-06 15:01:03.847379 True [    2797.375799] 0003 0035 00000388
