Mode = area stim
        verts = 22 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.0293531747692906 
        wm_size = [1600 2560] 
        stim_amp = 4 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 3
        ===============================
2022-04-07 18:39:44.172779 False [   17913.501443] 0003 0036 00000885
2022-04-07 18:39:44.182370 False [   17913.508790] 0003 0035 00000582
2022-04-07 18:39:44.182370 False [   17913.508790] 0003 0036 00000895
2022-04-07 18:39:44.190109 False [   17913.518183] 0003 0035 00000581
2022-04-07 18:39:44.190109 False [   17913.518183] 0003 0036 000008a4
2022-04-07 18:39:44.197020 False [   17913.525172] 0003 0035 0000057f
2022-04-07 18:39:44.197020 False [   17913.525172] 0003 0036 000008b1
2022-04-07 18:39:44.205789 False [   17913.534906] 0003 0035 0000057e
2022-04-07 18:39:44.205789 False [   17913.534906] 0003 0036 000008be
2022-04-07 18:39:44.214750 False [   17913.541766] 0003 0035 0000057c
2022-04-07 18:39:44.214750 False [   17913.541766] 0003 0036 000008c9
2022-04-07 18:39:44.221721 False [   17913.550511] 0003 0035 0000057b
2022-04-07 18:39:44.221721 False [   17913.550511] 0003 0036 000008d5
2022-04-07 18:39:44.230672 False [   17913.558771] 0003 0035 00000579
2022-04-07 18:39:44.230672 False [   17913.558771] 0003 0036 000008df
2022-04-07 18:39:44.240031 False [   17913.566861] 0003 0035 00000578
2022-04-07 18:39:44.240031 False [   17913.566861] 0003 0036 000008e8
2022-04-07 18:39:44.248093 False [   17913.575022] 0003 0035 00000576
2022-04-07 18:39:44.248093 False [   17913.575022] 0003 0036 000008ef
2022-04-07 18:39:44.256551 False [   17913.583706] 0003 0035 00000574
2022-04-07 18:39:44.256551 False [   17913.583706] 0003 0036 000008f5
2022-04-07 18:39:44.264212 False [   17913.591672] 0003 0035 00000573
2022-04-07 18:39:44.264212 False [   17913.591672] 0003 0036 000008fd
2022-04-07 18:39:44.272846 False [   17913.600137] 0003 0035 00000572
2022-04-07 18:39:44.272846 False [   17913.600137] 0003 0036 00000902
2022-04-07 18:39:44.279852 False [   17913.608305] 0003 0035 0000056f
2022-04-07 18:39:44.279852 False [   17913.608305] 0003 0036 0000090a
2022-04-07 18:39:44.289806 False [   17913.616954] 0003 0035 0000056d
2022-04-07 18:39:44.289806 False [   17913.616954] 0003 0036 00000910
2022-04-07 18:39:44.296956 False [   17913.625112] 0003 0035 0000056a
2022-04-07 18:39:44.296956 False [   17913.625112] 0003 0036 00000918
2022-04-07 18:39:44.306690 False [   17913.634188] 0003 0035 00000568
2022-04-07 18:39:44.306690 False [   17913.634188] 0003 0036 0000091e
