Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.7653129007762625 
    wm_size = [1200 1920] 
    stim_amp = 3 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-16 15:12:28.834162 True [   18525.926392] 0003 0036 00000206
2022-03-16 15:12:28.849622 True [   18525.943194] 0003 0035 00000284
2022-03-16 15:12:28.850620 True [   18525.943194] 0003 0036 00000204
2022-03-16 15:12:28.867015 True [   18525.959671] 0003 0035 0000027c
2022-03-16 15:12:28.867015 True [   18525.959671] 0003 0036 00000202
2022-03-16 15:12:28.884639 True [   18525.977538] 0003 0035 00000275
2022-03-16 15:12:28.884639 True [   18525.977538] 0003 0036 00000200
2022-03-16 15:12:28.902302 True [   18525.994034] 0003 0035 0000026e
2022-03-16 15:12:28.902302 True [   18525.994034] 0003 0036 000001fe
2022-03-16 15:12:28.918822 True [   18526.011051] 0003 0035 00000269
2022-03-16 15:12:28.918822 True [   18526.011051] 0003 0036 000001fc
2022-03-16 15:12:28.934517 True [   18526.027380] 0003 0035 00000265
2022-03-16 15:12:28.934517 True [   18526.027380] 0003 0036 000001fa
2022-03-16 15:12:28.951291 True [   18526.044373] 0003 0035 00000265
2022-03-16 15:12:28.951291 True [   18526.044373] 0003 0036 000001fa
2022-03-16 15:12:28.968799 True [   18526.061452] 0003 0035 00000261
2022-03-16 15:12:28.968799 True [   18526.061452] 0003 0036 000001f8
2022-03-16 15:12:28.988082 True [   18526.079364] 0003 0035 00000261
2022-03-16 15:12:28.988082 True [   18526.079364] 0003 0036 000001f8
2022-03-16 15:12:29.003174 True [   18526.094861] 0003 0035 0000025c
2022-03-16 15:12:29.003174 True [   18526.094861] 0003 0036 000001f6
2022-03-16 15:12:29.018957 True [   18526.112388] 0003 0035 00000258
2022-03-16 15:12:29.018957 True [   18526.112388] 0003 0036 000001f4
2022-03-16 15:12:29.036745 True [   18526.128876] 0003 0035 00000254
2022-03-16 15:12:29.036745 True [   18526.128876] 0003 0036 000001f2
2022-03-16 15:12:29.053208 True [   18526.145885] 0003 0035 00000250
2022-03-16 15:12:29.053208 True [   18526.145885] 0003 0036 000001ef
2022-03-16 15:12:29.070551 True [   18526.163355] 0003 0035 0000024a
2022-03-16 15:12:29.070551 True [   18526.163355] 0003 0036 000001ed
2022-03-16 15:12:29.086666 True [   18526.179622] 0003 0035 00000243
2022-03-16 15:12:29.086666 True [   18526.179622] 0003 0036 000001ea
2022-03-16 15:12:29.104576 True [   18526.196536] 0003 0035 0000023a
2022-03-16 15:12:29.104576 True [   18526.196536] 0003 0036 000001e7
2022-03-16 15:12:29.122079 True [   18526.213672] 0003 0035 00000231
2022-03-16 15:12:29.122079 True [   18526.213672] 0003 0036 000001e5
2022-03-16 15:12:29.139385 True [   18526.230848] 0003 0035 00000229
2022-03-16 15:12:29.139385 True [   18526.230848] 0003 0036 000001e2
2022-03-16 15:12:29.154231 True [   18526.247496] 0003 0035 00000222
2022-03-16 15:12:29.154231 True [   18526.247496] 0003 0036 000001e0
2022-03-16 15:12:29.171570 True [   18526.264447] 0003 0035 0000021b
2022-03-16 15:12:29.171570 True [   18526.264447] 0003 0036 000001dd
2022-03-16 15:12:29.189698 True [   18526.281782] 0003 0035 00000216
2022-03-16 15:12:29.189698 True [   18526.281782] 0003 0036 000001db
2022-03-16 15:12:29.206217 True [   18526.299521] 0003 0035 00000212
2022-03-16 15:12:29.206217 True [   18526.299521] 0003 0036 000001db
2022-03-16 15:12:29.223223 True [   18526.315066] 0003 0035 0000020e
2022-03-16 15:12:29.224228 True [   18526.315066] 0003 0036 000001d9
2022-03-16 15:12:29.239671 True [   18526.332001] 0003 0035 0000020e
2022-03-16 15:12:29.239671 True [   18526.332001] 0003 0036 000001d9
2022-03-16 15:12:29.257131 True [   18526.349386] 0003 0035 0000020a
2022-03-16 15:12:29.257131 True [   18526.349386] 0003 0036 000001d6
2022-03-16 15:12:29.274142 True [   18526.366462] 0003 0035 0000020a
2022-03-16 15:12:29.275135 True [   18526.366462] 0003 0036 000001d6
2022-03-16 15:12:29.290341 True [   18526.383014] 0003 0035 0000020a
2022-03-16 15:12:29.290341 True [   18526.383014] 0003 0036 000001d6
2022-03-16 15:12:29.306739 True [   18526.399976] 0003 0035 00000206
2022-03-16 15:12:29.306739 True [   18526.399976] 0003 0036 000001d2
2022-03-16 15:12:29.324518 True [   18526.416728] 0003 0035 00000206
2022-03-16 15:12:29.324518 True [   18526.416728] 0003 0036 000001d2
2022-03-16 15:12:29.341773 True [   18526.433637] 0003 0035 00000206
2022-03-16 15:12:29.341773 True [   18526.433637] 0003 0036 000001d2
2022-03-16 15:12:29.358727 True [   18526.450961] 0003 0035 00000202
2022-03-16 15:12:29.358727 True [   18526.450961] 0003 0036 000001ce
2022-03-16 15:12:29.374110 True [   18526.467464] 0003 0035 00000202
2022-03-16 15:12:29.374110 True [   18526.467464] 0003 0036 000001ce
2022-03-16 15:12:29.391754 True [   18526.484881] 0003 0035 00000202
2022-03-16 15:12:29.391754 True [   18526.484881] 0003 0036 000001ce
2022-03-16 15:12:29.409486 True [   18526.502243] 0003 0035 000001fe
2022-03-16 15:12:29.409486 True [   18526.502243] 0003 0036 000001ca
2022-03-16 15:12:29.425620 True [   18526.519076] 0003 0035 000001fe
2022-03-16 15:12:29.426670 True [   18526.519076] 0003 0036 000001ca
2022-03-16 15:12:29.443027 True [   18526.535477] 0003 0035 000001fe
2022-03-16 15:12:29.443027 True [   18526.535477] 0003 0036 000001ca
2022-03-16 15:12:29.459878 True [   18526.552804] 0003 0035 000001fa
2022-03-16 15:12:29.459878 True [   18526.552804] 0003 0036 000001c6
2022-03-16 15:12:29.476586 True [   18526.569685] 0003 0035 000001fa
2022-03-16 15:12:29.476586 True [   18526.569685] 0003 0036 000001c6
2022-03-16 15:12:29.493724 True [   18526.586781] 0003 0035 000001fa
2022-03-16 15:12:29.493724 True [   18526.586781] 0003 0036 000001c6
2022-03-16 15:12:29.510575 True [   18526.603762] 0003 0035 000001f6
2022-03-16 15:12:29.510575 True [   18526.603762] 0003 0036 000001c3
