Mode = area stim
        verts = 5 
        radius = 550 
        center = (800, 1280) 
        first_angle = 0.8831367290300849 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 19:17:54.277543 False [   20203.437573] 0003 0036 000002fd
2022-04-07 19:17:54.277543 False [   20203.447829] 0003 0036 00000304
2022-04-07 19:17:54.277543 False [   20203.461962] 0003 0035 000004f0
2022-04-07 19:17:54.277543 False [   20203.461962] 0003 0036 00000309
2022-04-07 19:17:54.277543 False [   20203.474686] 0003 0036 00000313
2022-04-07 19:17:54.277543 False [   20203.488956] 0003 0036 0000031f
2022-04-07 19:17:54.305858 False [   20203.503893] 0003 0036 00000327
2022-04-07 19:17:54.305858 False [   20203.519229] 0003 0036 00000335
2022-04-07 19:17:54.305858 False [   20203.532655] 0003 0036 00000344
2022-04-07 19:17:54.305858 False [   20203.545408] 0003 0035 000004ef
2022-04-07 19:17:54.305858 False [   20203.545408] 0003 0036 00000355
2022-04-07 19:17:54.305858 False [   20203.557709] 0003 0035 000004ee
2022-04-07 19:17:54.305858 False [   20203.557709] 0003 0036 0000035c
2022-04-07 19:17:54.305858 False [   20203.570442] 0003 0035 000004ed
2022-04-07 19:17:54.305858 False [   20203.570442] 0003 0036 0000036e
2022-04-07 19:17:54.305858 False [   20203.576655] 0003 0035 000004ec
2022-04-07 19:17:54.305858 False [   20203.576655] 0003 0036 00000379
2022-04-07 19:17:54.305858 False [   20203.582421] 0003 0035 000004eb
2022-04-07 19:17:54.305858 False [   20203.582421] 0003 0036 00000381
2022-04-07 19:17:54.377907 False [   20203.590990] 0003 0035 000004ea
2022-04-07 19:17:54.377907 False [   20203.590990] 0003 0036 0000038b
2022-04-07 19:17:54.377907 False [   20203.605294] 0003 0035 000004e9
2022-04-07 19:17:54.377907 False [   20203.605294] 0003 0036 00000392
2022-04-07 19:17:54.457061 False [   20203.619457] 0003 0035 000004e8
2022-04-07 19:17:54.457061 False [   20203.619457] 0003 0036 0000039c
2022-04-07 19:17:54.457061 False [   20203.629033] 0003 0035 000004e6
2022-04-07 19:17:54.457061 False [   20203.629033] 0003 0036 000003b4
2022-04-07 19:17:54.457061 False [   20203.637207] 0003 0035 000004e5
2022-04-07 19:17:54.457061 False [   20203.637207] 0003 0036 000003bc
2022-04-07 19:17:54.458058 False [   20203.648927] 0003 0036 000003c5
2022-04-07 19:17:54.458058 False [   20203.661384] 0003 0035 000004e2
2022-04-07 19:17:54.458058 False [   20203.661384] 0003 0036 000003d8
2022-04-07 19:17:54.458058 False [   20203.668958] 0003 0036 000003e5
2022-04-07 19:17:54.458058 False [   20203.677771] 0003 0036 000003f0
2022-04-07 19:17:54.521177 False [   20203.690168] 0003 0036 000003f8
2022-04-07 19:17:54.521177 False [   20203.705142] 0003 0036 000003fe
2022-04-07 19:17:54.521177 False [   20203.720638] 0003 0035 000004df
2022-04-07 19:17:54.521177 True [   20203.720638] 0003 0036 0000040f
2022-04-07 19:17:54.521177 True [   20203.727542] 0003 0035 000004e1
2022-04-07 19:17:54.521177 False [   20203.757359] 0003 0035 000004e2
2022-04-07 19:17:54.521177 True [   20203.757359] 0003 0036 0000043b
2022-04-07 19:17:54.610104 True [   20203.766687] 0003 0035 000004e1
2022-04-07 19:17:54.610104 True [   20203.766687] 0003 0036 00000452
2022-04-07 19:17:54.610104 True [   20203.773747] 0003 0036 0000045a
2022-04-07 19:17:54.610104 True [   20203.787699] 0003 0035 000004e2
2022-04-07 19:17:54.610104 True [   20203.787699] 0003 0036 00000462
2022-04-07 19:17:54.610104 True [   20203.799687] 0003 0036 00000468
2022-04-07 19:17:54.610104 True [   20203.813075] 0003 0035 000004e0
2022-04-07 19:17:54.610104 True [   20203.813075] 0003 0036 00000479
2022-04-07 19:17:54.610104 True [   20203.820979] 0003 0035 000004e1
2022-04-07 19:17:54.610104 True [   20203.820979] 0003 0036 00000484
2022-04-07 19:17:54.695933 True [   20203.823554] 0003 0036 0000048b
2022-04-07 19:17:54.696944 True [   20203.831767] 0003 0036 00000493
2022-04-07 19:17:54.696944 True [   20203.844400] 0003 0036 00000498
2022-04-07 19:17:54.696944 True [   20203.857768] 0003 0036 0000049f
2022-04-07 19:17:54.696944 True [   20203.872050] 0003 0035 000004dc
