Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 2.0931176187513074 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 15:19:11.909631 False [   18928.991806] 0003 0035 000002c1
2022-03-16 15:19:11.909631 False [   18928.991806] 0003 0036 000000c4
2022-03-16 15:19:11.924926 False [   18929.009279] 0003 0035 000002b9
2022-03-16 15:19:11.924926 False [   18929.009279] 0003 0036 000000bc
2022-03-16 15:19:11.940734 False [   18929.025917] 0003 0035 000002b3
2022-03-16 15:19:11.940734 False [   18929.025917] 0003 0036 000000b5
2022-03-16 15:19:11.956644 False [   18929.042270] 0003 0035 000002ad
2022-03-16 15:19:11.957641 False [   18929.042270] 0003 0036 000000b0
2022-03-16 15:19:11.974439 False [   18929.058916] 0003 0035 000002a5
2022-03-16 15:19:11.974439 False [   18929.058916] 0003 0036 000000ab
2022-03-16 15:19:11.995168 False [   18929.076077] 0003 0035 0000029c
2022-03-16 15:19:11.995168 False [   18929.076077] 0003 0036 000000a6
2022-03-16 15:19:12.011499 False [   18929.093448] 0003 0035 00000292
2022-03-16 15:19:12.011499 False [   18929.093448] 0003 0036 000000a1
2022-03-16 15:19:12.025963 False [   18929.110261] 0003 0035 00000289
2022-03-16 15:19:12.025963 False [   18929.110261] 0003 0036 0000009c
2022-03-16 15:19:12.042091 False [   18929.126606] 0003 0035 00000280
2022-03-16 15:19:12.042091 False [   18929.126606] 0003 0036 00000098
2022-03-16 15:19:12.060789 False [   18929.143553] 0003 0035 00000279
2022-03-16 15:19:12.060789 False [   18929.143553] 0003 0036 00000094
2022-03-16 15:19:12.076539 False [   18929.161024] 0003 0035 00000273
2022-03-16 15:19:12.076539 False [   18929.161024] 0003 0036 00000091
2022-03-16 15:19:12.096866 False [   18929.177956] 0003 0035 0000026e
2022-03-16 15:19:12.096866 False [   18929.177956] 0003 0036 0000008e
2022-03-16 15:19:12.112450 False [   18929.194539] 0003 0035 0000026a
2022-03-16 15:19:12.112450 False [   18929.194539] 0003 0036 0000008b
2022-03-16 15:19:12.128780 False [   18929.211300] 0003 0035 0000026a
2022-03-16 15:19:12.129744 False [   18929.211300] 0003 0036 0000008b
2022-03-16 15:19:12.146149 False [   18929.228290] 0003 0035 0000026a
2022-03-16 15:19:12.146149 False [   18929.228290] 0003 0036 0000008b
