Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.3674502677469232 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 14:24:30.924338 False [  146994.218618] 0003 0036 00000318
2022-04-02 14:24:30.985823 False [  146994.226261] 0003 0035 00000152
2022-04-02 14:24:30.985823 False [  146994.226261] 0003 0036 00000319
2022-04-02 14:24:30.985823 False [  146994.236201] 0003 0035 0000014e
2022-04-02 14:24:30.985823 False [  146994.236201] 0003 0036 0000031a
2022-04-02 14:24:31.092165 False [  146994.245516] 0003 0035 00000149
2022-04-02 14:24:31.092165 False [  146994.245516] 0003 0036 0000031b
2022-04-02 14:24:31.092165 False [  146994.253475] 0003 0035 00000144
2022-04-02 14:24:31.092165 False [  146994.253475] 0003 0036 0000031c
2022-04-02 14:24:31.092165 False [  146994.265389] 0003 0035 0000013e
2022-04-02 14:24:31.092165 False [  146994.280347] 0003 0035 00000137
2022-04-02 14:24:31.092165 False [  146994.285185] 0003 0035 0000012b
2022-04-02 14:24:31.092165 False [  146994.285185] 0003 0036 0000031a
2022-04-02 14:24:31.092165 False [  146994.292715] 0003 0035 00000124
2022-04-02 14:24:31.192128 False [  146994.306616] 0003 0035 0000011f
2022-04-02 14:24:31.192128 False [  146994.318593] 0003 0035 0000011a
2022-04-02 14:24:31.192128 False [  146994.318593] 0003 0036 00000319
2022-04-02 14:24:31.192128 False [  146994.330171] 0003 0035 0000010f
2022-04-02 14:24:31.192128 False [  146994.330171] 0003 0036 00000317
2022-04-02 14:24:31.192128 False [  146994.337293] 0003 0035 0000010b
2022-04-02 14:24:31.192128 False [  146994.337293] 0003 0036 00000316
2022-04-02 14:24:31.192128 False [  146994.342605] 0003 0035 00000107
2022-04-02 14:24:31.192128 False [  146994.352729] 0003 0035 00000103
2022-04-02 14:24:31.192128 False [  146994.352729] 0003 0036 00000315
2022-04-02 14:24:31.192128 False [  146994.366231] 0003 0035 00000100
2022-04-02 14:24:31.192128 False [  146994.377913] 0003 0035 000000fd
2022-04-02 14:24:31.192128 False [  146994.391806] 0003 0035 000000f6
2022-04-02 14:24:31.192128 False [  146994.391806] 0003 0036 00000314
2022-04-02 14:24:31.192128 False [  146994.398620] 0003 0035 000000f4
2022-04-02 14:24:31.192128 False [  146994.403198] 0003 0035 000000f1
2022-04-02 14:24:31.192128 False [  146994.411375] 0003 0035 000000ef
2022-04-02 14:24:31.223299 False [  146994.425070] 0003 0035 000000ee
2022-04-02 14:24:31.223299 False [  146994.436875] 0003 0035 000000ed
2022-04-02 14:24:31.223299 False [  146994.436875] 0003 0036 00000315
2022-04-02 14:24:31.223299 False [  146994.448106] 0003 0035 000000eb
2022-04-02 14:24:31.223299 False [  146994.465168] 0003 0035 000000ea
2022-04-02 14:24:31.223299 False [  146994.481995] 0003 0035 000000e8
2022-04-02 14:24:31.223299 False [  146994.481995] 0003 0036 00000316
2022-04-02 14:24:31.223299 False [  146994.494623] 0003 0035 000000e7
2022-04-02 14:24:31.223299 False [  146994.494623] 0003 0036 00000318
2022-04-02 14:24:31.223299 False [  146994.503533] 0003 0035 000000e6
2022-04-02 14:24:31.223299 False [  146994.503533] 0003 0036 0000031a
2022-04-02 14:24:31.316126 False [  146994.517150] 0003 0036 0000031b
2022-04-02 14:24:31.316126 False [  146994.534994] 0003 0035 000000e5
2022-04-02 14:24:31.316126 False [  146994.534994] 0003 0036 0000031c
2022-04-02 14:24:31.409352 False [  146994.546455] 0003 0036 0000031e
2022-04-02 14:24:31.409352 False [  146994.558483] 0003 0036 0000031f
2022-04-02 14:24:31.409352 False [  146994.571287] 0003 0035 000000e6
2022-04-02 14:24:31.409352 False [  146994.571287] 0003 0036 00000322
2022-04-02 14:24:31.409352 False [  146994.583763] 0003 0036 00000324
2022-04-02 14:24:31.409352 False [  146994.600139] 0003 0035 000000e7
2022-04-02 14:24:31.409352 False [  146994.600139] 0003 0036 00000326
2022-04-02 14:24:31.409352 False [  146994.614787] 0003 0035 000000e8
2022-04-02 14:24:31.409352 False [  146994.614787] 0003 0036 00000329
2022-04-02 14:24:31.409352 False [  146994.628131] 0003 0036 0000032a
2022-04-02 14:24:31.459495 False [  146994.642269] 0003 0035 000000ea
2022-04-02 14:24:31.459495 False [  146994.642269] 0003 0036 0000032c
2022-04-02 14:24:31.459495 False [  146994.654442] 0003 0035 000000eb
2022-04-02 14:24:31.459495 False [  146994.654442] 0003 0036 0000032f
2022-04-02 14:24:31.459495 False [  146994.667749] 0003 0036 00000331
2022-04-02 14:24:31.459495 False [  146994.681841] 0003 0035 000000ed
2022-04-02 14:24:31.459495 False [  146994.681841] 0003 0036 00000333
2022-04-02 14:24:31.459495 False [  146994.693760] 0003 0035 000000ee
2022-04-02 14:24:31.459495 False [  146994.693760] 0003 0036 00000335
2022-04-02 14:24:31.459495 False [  146994.707503] 0003 0035 000000ef
2022-04-02 14:24:31.459495 False [  146994.707503] 0003 0036 00000338
2022-04-02 14:24:31.459495 False [  146994.713984] 0003 0035 000000f1
2022-04-02 14:24:31.459495 False [  146994.713984] 0003 0036 00000339
2022-04-02 14:24:31.459495 False [  146994.717013] 0003 0035 000000f3
2022-04-02 14:24:31.459495 False [  146994.717013] 0003 0036 0000033b
2022-04-02 14:24:31.515763 False [  146994.724847] 0003 0035 000000f5
2022-04-02 14:24:31.515763 False [  146994.724847] 0003 0036 0000033d
2022-04-02 14:24:31.515763 False [  146994.737816] 0003 0035 000000f6
2022-04-02 14:24:31.515763 False [  146994.737816] 0003 0036 0000033f
2022-04-02 14:24:31.515763 False [  146994.745063] 0003 0036 00000341
2022-04-02 14:24:31.515763 False [  146994.753858] 0003 0035 000000f7
2022-04-02 14:24:31.515763 False [  146994.753858] 0003 0036 00000343
2022-04-02 14:24:31.516794 False [  146994.765389] 0003 0035 000000f8
2022-04-02 14:24:31.516794 False [  146994.765389] 0003 0036 00000345
2022-04-02 14:24:31.516794 False [  146994.769962] 0003 0035 000000f9
2022-04-02 14:24:31.516794 False [  146994.769962] 0003 0036 00000347
2022-04-02 14:24:31.565748 False [  146994.774777] 0003 0036 00000349
2022-04-02 14:24:31.565748 False [  146994.786588] 0003 0036 0000034a
2022-04-02 14:24:31.565748 False [  146994.797842] 0003 0036 0000034b
2022-04-02 14:24:31.565748 False [  146994.812897] 0003 0035 000000fa
2022-04-02 14:24:31.565748 False [  146994.812897] 0003 0036 0000034c
2022-04-02 14:24:31.565748 False [  146994.823859] 0003 0035 000000fc
2022-04-02 14:24:31.565748 False [  146994.823859] 0003 0036 0000034f
2022-04-02 14:24:31.644615 False [  146994.841302] 0003 0035 000000fd
2022-04-02 14:24:31.644615 False [  146994.841302] 0003 0036 00000352
2022-04-02 14:24:31.644615 False [  146994.853634] 0003 0035 000000fe
2022-04-02 14:24:31.644615 False [  146994.853634] 0003 0036 00000353
2022-04-02 14:24:31.644615 False [  146994.865973] 0003 0035 00000100
2022-04-02 14:24:31.644615 False [  146994.865973] 0003 0036 00000355
2022-04-02 14:24:31.644615 False [  146994.877182] 0003 0035 00000102
2022-04-02 14:24:31.644615 False [  146994.877182] 0003 0036 00000358
2022-04-02 14:24:31.718484 False [  146994.887789] 0003 0036 00000359
2022-04-02 14:24:31.718484 False [  146994.900152] 0003 0035 00000104
2022-04-02 14:24:31.718484 False [  146994.900152] 0003 0036 0000035a
2022-04-02 14:24:31.718484 False [  146994.909649] 0003 0035 00000107
2022-04-02 14:24:31.718484 False [  146994.909649] 0003 0036 0000035d
2022-04-02 14:24:31.718484 False [  146994.921800] 0003 0035 00000108
2022-04-02 14:24:31.718484 False [  146994.921800] 0003 0036 0000035e
2022-04-02 14:24:31.718484 False [  146994.935621] 0003 0035 00000109
2022-04-02 14:24:31.718484 False [  146994.935621] 0003 0036 0000035f
2022-04-02 14:24:31.718484 False [  146994.949093] 0003 0035 0000010b
2022-04-02 14:24:31.718484 False [  146994.949093] 0003 0036 00000362
2022-04-02 14:24:31.794046 False [  146994.957537] 0003 0035 0000010c
2022-04-02 14:24:31.794046 False [  146994.957537] 0003 0036 00000364
2022-04-02 14:24:31.794046 False [  146994.965760] 0003 0035 0000010d
2022-04-02 14:24:31.795051 False [  146994.981231] 0003 0035 0000010e
2022-04-02 14:24:31.795051 False [  146994.981231] 0003 0036 00000365
2022-04-02 14:24:31.795051 False [  146994.992424] 0003 0035 0000010f
2022-04-02 14:24:31.795051 False [  146994.992424] 0003 0036 00000366
2022-04-02 14:24:31.795051 False [  146995.004324] 0003 0035 00000110
2022-04-02 14:24:31.795051 False [  146995.004324] 0003 0036 00000369
2022-04-02 14:24:31.795051 False [  146995.016556] 0003 0035 00000112
2022-04-02 14:24:31.795051 False [  146995.029162] 0003 0035 00000113
2022-04-02 14:24:31.795051 False [  146995.029162] 0003 0036 0000036c
2022-04-02 14:24:31.843108 False [  146995.039947] 0003 0035 00000114
2022-04-02 14:24:31.843108 False [  146995.039947] 0003 0036 0000036d
2022-04-02 14:24:31.843108 False [  146995.052703] 0003 0035 00000115
2022-04-02 14:24:31.843108 False [  146995.052703] 0003 0036 0000036e
2022-04-02 14:24:31.843108 False [  146995.061404] 0003 0035 00000116
2022-04-02 14:24:31.843108 False [  146995.061404] 0003 0036 0000036f
2022-04-02 14:24:31.843108 False [  146995.071066] 0003 0036 00000370
2022-04-02 14:24:31.843108 False [  146995.084126] 0003 0035 00000117
2022-04-02 14:24:31.843108 False [  146995.084126] 0003 0036 00000371
2022-04-02 14:24:31.843108 False [  146995.094657] 0003 0035 00000118
2022-04-02 14:24:31.843108 False [  146995.094657] 0003 0036 00000373
2022-04-02 14:24:31.843108 False [  146995.100515] 0003 0035 00000119
2022-04-02 14:24:31.843108 False [  146995.100515] 0003 0036 00000374
2022-04-02 14:24:31.843108 False [  146995.107194] 0003 0035 0000011a
2022-04-02 14:24:31.884437 False [  146995.123746] 0003 0036 00000375
2022-04-02 14:24:31.884437 False [  146995.135225] 0003 0035 0000011b
2022-04-02 14:24:31.884437 False [  146995.135225] 0003 0036 00000376
2022-04-02 14:24:31.884437 False [  146995.145242] 0003 0035 0000011c
2022-04-02 14:24:31.884437 False [  146995.145242] 0003 0036 00000377
2022-04-02 14:24:31.884437 False [  146995.154386] 0003 0036 00000378
2022-04-02 14:24:31.948354 False [  146995.165967] 0003 0035 0000011d
2022-04-02 14:24:31.948354 False [  146995.165967] 0003 0036 00000379
2022-04-02 14:24:31.949347 False [  146995.181815] 0003 0035 0000011e
2022-04-02 14:24:31.949347 False [  146995.181815] 0003 0036 0000037a
2022-04-02 14:24:31.949347 False [  146995.190211] 0003 0035 0000011f
2022-04-02 14:24:31.949347 False [  146995.190211] 0003 0036 0000037b
2022-04-02 14:24:32.017827 False [  146995.198447] 0003 0035 00000120
2022-04-02 14:24:32.017827 False [  146995.198447] 0003 0036 0000037c
2022-04-02 14:24:32.017827 False [  146995.206973] 0003 0035 00000121
2022-04-02 14:24:32.017827 False [  146995.206973] 0003 0036 0000037e
2022-04-02 14:24:32.017827 False [  146995.216652] 0003 0035 00000122
2022-04-02 14:24:32.018828 False [  146995.216652] 0003 0036 0000037f
2022-04-02 14:24:32.018828 False [  146995.227799] 0003 0035 00000123
2022-04-02 14:24:32.018828 False [  146995.240346] 0003 0035 00000124
2022-04-02 14:24:32.018828 False [  146995.240346] 0003 0036 00000380
2022-04-02 14:24:32.018828 False [  146995.253318] 0003 0035 00000125
2022-04-02 14:24:32.018828 False [  146995.253318] 0003 0036 00000382
2022-04-02 14:24:32.018828 False [  146995.259744] 0003 0035 00000126
2022-04-02 14:24:32.018828 False [  146995.259744] 0003 0036 00000383
2022-04-02 14:24:32.093926 False [  146995.268596] 0003 0035 00000127
2022-04-02 14:24:32.093926 False [  146995.268596] 0003 0036 00000384
2022-04-02 14:24:32.093926 False [  146995.281862] 0003 0035 00000128
