Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.9799148470948775 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:01:55.948596 True [  156439.135813] 0003 0035 000004c2
2022-04-02 17:01:55.948596 True [  156439.135813] 0003 0036 000003e7
2022-04-02 17:01:55.958591 True [  156439.144534] 0003 0035 000004c3
2022-04-02 17:01:55.958591 True [  156439.144534] 0003 0036 000003eb
2022-04-02 17:01:55.965298 True [  156439.152521] 0003 0036 000003ed
2022-04-02 17:01:55.973798 True [  156439.160909] 0003 0035 000004c4
2022-04-02 17:01:55.973798 True [  156439.160909] 0003 0036 000003ef
2022-04-02 17:01:55.982415 True [  156439.169219] 0003 0036 000003f1
2022-04-02 17:01:55.990060 True [  156439.177709] 0003 0036 000003f2
2022-04-02 17:01:55.998123 True [  156439.185842] 0003 0036 000003f3
2022-04-02 17:01:56.005787 True [  156439.194067] 0003 0035 000004c5
2022-04-02 17:01:56.023746 True [  156439.211164] 0003 0036 000003f4
2022-04-02 17:01:56.039369 True [  156439.227404] 0003 0035 000004c2
2022-04-02 17:01:56.047679 True [  156439.235456] 0003 0035 000004c1
2022-04-02 17:01:56.058012 True [  156439.244318] 0003 0035 000004bf
2022-04-02 17:01:56.058012 True [  156439.244318] 0003 0036 000003f3
2022-04-02 17:01:56.064866 True [  156439.252130] 0003 0035 000004bd
2022-04-02 17:01:56.064866 True [  156439.252130] 0003 0036 000003ef
2022-04-02 17:01:56.075106 True [  156439.261426] 0003 0035 000004bb
2022-04-02 17:01:56.075106 True [  156439.261426] 0003 0036 000003eb
2022-04-02 17:01:56.082508 True [  156439.268850] 0003 0036 000003e4
2022-04-02 17:01:56.089264 True [  156439.277248] 0003 0035 000004ba
2022-04-02 17:01:56.089264 True [  156439.277248] 0003 0036 000003df
2022-04-02 17:01:56.097965 True [  156439.285323] 0003 0036 000003db
2022-04-02 17:01:56.108237 True [  156439.293944] 0003 0035 000004bc
2022-04-02 17:01:56.108237 True [  156439.293944] 0003 0036 000003d1
2022-04-02 17:01:56.113668 True [  156439.301910] 0003 0035 000004bd
2022-04-02 17:01:56.113668 True [  156439.301910] 0003 0036 000003c8
2022-04-02 17:01:56.122736 True [  156439.311015] 0003 0035 000004be
2022-04-02 17:01:56.122736 True [  156439.311015] 0003 0036 000003c4
2022-04-02 17:01:56.129341 True [  156439.318567] 0003 0035 000004c1
2022-04-02 17:01:56.129341 True [  156439.318567] 0003 0036 000003bb
2022-04-02 17:01:56.140447 True [  156439.326966] 0003 0035 000004c2
2022-04-02 17:01:56.140447 True [  156439.326966] 0003 0036 000003b5
2022-04-02 17:01:56.148207 True [  156439.335258] 0003 0035 000004c4
2022-04-02 17:01:56.148207 True [  156439.335258] 0003 0036 000003b0
2022-04-02 17:01:56.155941 True [  156439.343816] 0003 0035 000004c5
2022-04-02 17:01:56.155941 True [  156439.343816] 0003 0036 000003ae
2022-04-02 17:01:56.164039 True [  156439.351730] 0003 0036 000003ab
2022-04-02 17:01:56.174007 True [  156439.360602] 0003 0035 000004c6
2022-04-02 17:01:56.174007 True [  156439.360602] 0003 0036 000003aa
2022-04-02 17:01:56.181106 True [  156439.368627] 0003 0036 000003a9
2022-04-02 17:01:56.189437 True [  156439.377328] 0003 0036 000003a8
2022-04-02 17:01:56.197103 False [  156439.385263] 0003 0035 000004c7
2022-04-02 17:01:56.206469 False [  156439.393628] 0003 0036 000003a7
2022-04-02 17:01:56.230822 False [  156439.418171] 0003 0036 000003a6
2022-04-02 17:01:56.259381 True [  156439.443617] 0003 0036 000003a9
2022-04-02 17:01:56.264290 False [  156439.451594] 0003 0035 000004c8
2022-04-02 17:01:56.264290 True [  156439.451594] 0003 0036 000003aa
2022-04-02 17:01:56.272954 True [  156439.459862] 0003 0036 000003ac
2022-04-02 17:01:56.280443 True [  156439.468384] 0003 0035 000004c5
2022-04-02 17:01:56.280443 True [  156439.468384] 0003 0036 000003b5
2022-04-02 17:01:56.288728 True [  156439.476560] 0003 0035 000004c4
2022-04-02 17:01:56.288728 True [  156439.476560] 0003 0036 000003bc
2022-04-02 17:01:56.297417 True [  156439.484765] 0003 0035 000004c2
2022-04-02 17:01:56.297417 True [  156439.484765] 0003 0036 000003c0
2022-04-02 17:01:56.306691 True [  156439.493361] 0003 0035 000004be
2022-04-02 17:01:56.306691 True [  156439.493361] 0003 0036 000003c9
2022-04-02 17:01:56.312756 True [  156439.501409] 0003 0035 000004bb
2022-04-02 17:01:56.312756 True [  156439.501409] 0003 0036 000003d0
2022-04-02 17:01:56.321555 True [  156439.509759] 0003 0035 000004ba
2022-04-02 17:01:56.321555 True [  156439.509759] 0003 0036 000003d4
2022-04-02 17:01:56.330862 True [  156439.518015] 0003 0035 000004b8
2022-04-02 17:01:56.330862 True [  156439.518015] 0003 0036 000003d7
2022-04-02 17:01:56.338958 True [  156439.526441] 0003 0035 000004b7
2022-04-02 17:01:56.338958 True [  156439.526441] 0003 0036 000003d9
2022-04-02 17:01:56.348030 True [  156439.534625] 0003 0036 000003de
2022-04-02 17:01:56.355591 True [  156439.543030] 0003 0035 000004b5
2022-04-02 17:01:56.355591 True [  156439.543030] 0003 0036 000003e1
2022-04-02 17:01:56.364384 True [  156439.551438] 0003 0035 000004b4
2022-04-02 17:01:56.364384 True [  156439.551438] 0003 0036 000003e4
2022-04-02 17:01:56.373219 True [  156439.559721] 0003 0035 000004b3
2022-04-02 17:01:56.373219 True [  156439.559721] 0003 0036 000003e6
2022-04-02 17:01:56.380437 True [  156439.567917] 0003 0036 000003e8
2022-04-02 17:01:56.388566 True [  156439.576243] 0003 0036 000003e9
2022-04-02 17:01:56.399460 True [  156439.584615] 0003 0036 000003eb
2022-04-02 17:01:56.405171 True [  156439.592912] 0003 0035 000004b2
