Mode = area stim
        verts = 4 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.1200821656494728 
        wm_size = [1600 2560] 
        stim_amp = 4 
        baseline_stim = 3
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 18:27:18.874800 False [   17168.214234] 0003 0035 00000507
2022-04-07 18:27:18.874800 False [   17168.214234] 0003 0036 000007f2
2022-04-07 18:27:18.882037 False [   17168.222626] 0003 0035 00000505
2022-04-07 18:27:18.882037 False [   17168.222626] 0003 0036 000007fb
2022-04-07 18:27:18.892339 False [   17168.230849] 0003 0036 00000807
2022-04-07 18:27:18.900763 False [   17168.239220] 0003 0035 00000503
2022-04-07 18:27:18.900763 False [   17168.239220] 0003 0036 00000813
2022-04-07 18:27:18.906956 False [   17168.247494] 0003 0035 00000502
2022-04-07 18:27:18.906956 False [   17168.247494] 0003 0036 0000081f
2022-04-07 18:27:18.915253 False [   17168.255839] 0003 0035 00000501
2022-04-07 18:27:18.916265 False [   17168.255839] 0003 0036 0000082b
2022-04-07 18:27:18.925985 False [   17168.264060] 0003 0035 00000500
2022-04-07 18:27:18.925985 False [   17168.264060] 0003 0036 00000837
2022-04-07 18:27:18.933994 False [   17168.272528] 0003 0035 000004ff
2022-04-07 18:27:18.933994 False [   17168.272528] 0003 0036 00000842
2022-04-07 18:27:18.941354 False [   17168.280738] 0003 0035 000004fe
2022-04-07 18:27:18.942367 False [   17168.280738] 0003 0036 0000084e
2022-04-07 18:27:18.949626 False [   17168.289073] 0003 0035 000004fd
2022-04-07 18:27:18.949626 False [   17168.289073] 0003 0036 0000085b
2022-04-07 18:27:18.958423 False [   17168.297267] 0003 0035 000004fc
2022-04-07 18:27:18.958423 False [   17168.297267] 0003 0036 00000868
2022-04-07 18:27:18.966040 False [   17168.305695] 0003 0035 000004fb
2022-04-07 18:27:18.966040 False [   17168.305695] 0003 0036 00000874
2022-04-07 18:27:18.974262 False [   17168.313919] 0003 0035 000004fa
2022-04-07 18:27:18.974262 False [   17168.313919] 0003 0036 00000880
2022-04-07 18:27:18.982892 False [   17168.322383] 0003 0035 000004f8
2022-04-07 18:27:18.982892 False [   17168.322383] 0003 0036 0000088a
2022-04-07 18:27:18.990280 False [   17168.330578] 0003 0035 000004f7
2022-04-07 18:27:18.990280 False [   17168.330578] 0003 0036 00000894
2022-04-07 18:27:18.999236 False [   17168.339009] 0003 0036 0000089f
2022-04-07 18:27:19.007960 False [   17168.347174] 0003 0036 000008a8
2022-04-07 18:27:19.016032 False [   17168.355556] 0003 0036 000008af
2022-04-07 18:27:20.462254 False [   17169.801568] 0003 0035 000004e1
2022-04-07 18:27:20.462254 False [   17169.801568] 0003 0036 000001d8
2022-04-07 18:27:20.528796 False [   17169.867679] 0003 0035 000004e0
2022-04-07 18:27:20.528796 False [   17169.867679] 0003 0036 000001d9
2022-04-07 18:27:20.536812 False [   17169.875915] 0003 0035 000004de
2022-04-07 18:27:20.536812 False [   17169.875915] 0003 0036 000001da
2022-04-07 18:27:20.545265 False [   17169.884349] 0003 0035 000004da
2022-04-07 18:27:20.552694 False [   17169.892491] 0003 0035 000004d4
2022-04-07 18:27:20.561338 False [   17169.901074] 0003 0035 000004ce
2022-04-07 18:27:20.569884 False [   17169.909185] 0003 0035 000004c6
2022-04-07 18:27:20.578101 False [   17169.917589] 0003 0035 000004bd
2022-04-07 18:27:20.585457 False [   17169.925779] 0003 0035 000004b1
2022-04-07 18:27:20.585457 False [   17169.925779] 0003 0036 000001d9
2022-04-07 18:27:20.593888 False [   17169.934202] 0003 0035 000004a5
2022-04-07 18:27:20.602872 False [   17169.942410] 0003 0035 00000499
2022-04-07 18:27:20.610961 False [   17169.950783] 0003 0035 0000048c
2022-04-07 18:27:20.610961 False [   17169.950783] 0003 0036 000001d8
2022-04-07 18:27:20.619325 False [   17169.959024] 0003 0035 0000047d
2022-04-07 18:27:20.627425 False [   17169.967594] 0003 0035 0000046e
2022-04-07 18:27:20.627425 False [   17169.967594] 0003 0036 000001d7
2022-04-07 18:27:20.636449 False [   17169.975634] 0003 0035 00000460
2022-04-07 18:27:20.643836 False [   17169.984135] 0003 0035 0000044f
2022-04-07 18:27:20.652966 False [   17169.992312] 0003 0035 0000043e
2022-04-07 18:27:20.660202 False [   17170.000766] 0003 0035 0000042e
2022-04-07 18:27:20.661191 False [   17170.000766] 0003 0036 000001d6
2022-04-07 18:27:20.669172 False [   17170.008916] 0003 0035 00000424
2022-04-07 18:27:20.677092 False [   17170.017434] 0003 0035 0000040f
2022-04-07 18:27:20.685541 False [   17170.025585] 0003 0035 00000402
2022-04-07 18:27:20.685541 False [   17170.025585] 0003 0036 000001d5
2022-04-07 18:27:20.694612 False [   17170.034078] 0003 0035 000003ee
2022-04-07 18:27:20.703020 False [   17170.042212] 0003 0035 000003db
2022-04-07 18:27:20.710446 False [   17170.050602] 0003 0035 000003c8
2022-04-07 18:27:20.721845 False [   17170.058858] 0003 0035 000003b6
2022-04-07 18:27:20.728080 False [   17170.067275] 0003 0035 000003a6
2022-04-07 18:27:20.736756 False [   17170.075501] 0003 0035 00000395
2022-04-07 18:27:20.745272 False [   17170.083964] 0003 0035 00000384
2022-04-07 18:27:20.745272 False [   17170.083964] 0003 0036 000001d4
2022-04-07 18:27:20.751890 False [   17170.092271] 0003 0035 00000372
2022-04-07 18:27:20.753818 False [   17170.092271] 0003 0036 000001d3
2022-04-07 18:27:20.761281 False [   17170.100623] 0003 0035 00000361
2022-04-07 18:27:20.761281 False [   17170.100623] 0003 0036 000001d2
2022-04-07 18:27:20.770588 False [   17170.108815] 0003 0035 00000350
2022-04-07 18:27:20.770588 False [   17170.108815] 0003 0036 000001d1
2022-04-07 18:27:20.780444 False [   17170.118204] 0003 0035 0000033f
2022-04-07 18:27:20.780444 False [   17170.118204] 0003 0036 000001cf
2022-04-07 18:27:20.785995 False [   17170.125830] 0003 0035 00000335
2022-04-07 18:27:20.794467 False [   17170.133799] 0003 0035 0000031f
2022-04-07 18:27:20.794467 False [   17170.133799] 0003 0036 000001cd
2022-04-07 18:27:20.803328 False [   17170.142036] 0003 0035 0000030d
2022-04-07 18:27:20.803328 False [   17170.142036] 0003 0036 000001cb
2022-04-07 18:27:20.811292 False [   17170.150489] 0003 0035 000002fb
2022-04-07 18:27:20.811292 False [   17170.150489] 0003 0036 000001ca
2022-04-07 18:27:20.820397 False [   17170.158627] 0003 0035 000002ea
2022-04-07 18:27:20.828051 False [   17170.167094] 0003 0035 000002da
2022-04-07 18:27:20.828051 False [   17170.167094] 0003 0036 000001c8
2022-04-07 18:27:20.836435 False [   17170.175229] 0003 0035 000002d1
2022-04-07 18:27:20.844351 False [   17170.183686] 0003 0035 000002c2
2022-04-07 18:27:20.844351 False [   17170.183686] 0003 0036 000001c7
2022-04-07 18:27:20.852410 False [   17170.191884] 0003 0035 000002b8
2022-04-07 18:27:20.860265 False [   17170.200401] 0003 0035 000002a7
2022-04-07 18:27:20.860265 False [   17170.200401] 0003 0036 000001c6
2022-04-07 18:27:20.871163 False [   17170.208536] 0003 0035 0000029c
2022-04-07 18:27:20.877093 False [   17170.216973] 0003 0035 0000028c
2022-04-07 18:27:20.887088 False [   17170.225237] 0003 0035 00000282
2022-04-07 18:27:20.893771 False [   17170.233541] 0003 0035 00000272
2022-04-07 18:27:20.902213 False [   17170.241758] 0003 0035 00000268
2022-04-07 18:27:20.909923 False [   17170.250162] 0003 0035 00000259
2022-04-07 18:27:20.910921 False [   17170.250162] 0003 0036 000001c7
2022-04-07 18:27:20.919633 False [   17170.258387] 0003 0035 0000024f
2022-04-07 18:27:20.926631 False [   17170.266831] 0003 0035 00000241
2022-04-07 18:27:20.935334 False [   17170.275028] 0003 0035 00000238
2022-04-07 18:27:20.935334 False [   17170.275028] 0003 0036 000001c8
2022-04-07 18:27:20.944117 False [   17170.283405] 0003 0035 00000228
2022-04-07 18:27:20.945134 False [   17170.283405] 0003 0036 000001c9
2022-04-07 18:27:20.953181 False [   17170.291612] 0003 0035 0000021e
2022-04-07 18:27:20.961131 False [   17170.300231] 0003 0035 00000210
2022-04-07 18:27:20.961131 False [   17170.300231] 0003 0036 000001ca
2022-04-07 18:27:20.969332 False [   17170.308244] 0003 0035 00000208
2022-04-07 18:27:20.977805 False [   17170.316648] 0003 0035 000001fa
2022-04-07 18:27:20.986016 False [   17170.324948] 0003 0035 000001f1
2022-04-07 18:27:20.994278 False [   17170.333262] 0003 0035 000001e5
2022-04-07 18:27:21.002290 False [   17170.341495] 0003 0035 000001de
2022-04-07 18:27:21.011304 False [   17170.349936] 0003 0035 000001d3
2022-04-07 18:27:21.018798 False [   17170.358095] 0003 0035 000001cc
2022-04-07 18:27:21.027557 False [   17170.366537] 0003 0035 000001c1
2022-04-07 18:27:21.036483 False [   17170.374721] 0003 0035 000001ba
2022-04-07 18:27:21.036483 False [   17170.374721] 0003 0036 000001c9
2022-04-07 18:27:21.043574 False [   17170.383119] 0003 0035 000001b6
2022-04-07 18:27:21.050899 False [   17170.391336] 0003 0035 000001ac
2022-04-07 18:27:21.051909 False [   17170.391336] 0003 0036 000001c8
2022-04-07 18:27:21.060138 False [   17170.399791] 0003 0035 000001a6
2022-04-07 18:27:21.060138 False [   17170.399791] 0003 0036 000001c7
2022-04-07 18:27:21.068097 False [   17170.407997] 0003 0035 000001a1
2022-04-07 18:27:21.076599 False [   17170.416460] 0003 0035 00000199
2022-04-07 18:27:21.076599 False [   17170.416460] 0003 0036 000001c5
2022-04-07 18:27:21.084134 False [   17170.424650] 0003 0035 00000193
2022-04-07 18:27:21.084134 False [   17170.424650] 0003 0036 000001c4
2022-04-07 18:27:21.092381 False [   17170.432993] 0003 0035 0000018f
2022-04-07 18:27:21.103083 False [   17170.441335] 0003 0035 0000018c
2022-04-07 18:27:21.103083 False [   17170.441335] 0003 0036 000001c3
2022-04-07 18:27:21.109138 False [   17170.449665] 0003 0035 00000185
2022-04-07 18:27:21.109138 False [   17170.449665] 0003 0036 000001c1
2022-04-07 18:27:21.118094 False [   17170.457796] 0003 0035 00000180
2022-04-07 18:27:21.118094 False [   17170.457796] 0003 0036 000001bf
2022-04-07 18:27:21.125797 False [   17170.466283] 0003 0035 0000017d
2022-04-07 18:27:21.134132 False [   17170.474516] 0003 0035 0000017a
2022-04-07 18:27:21.142465 False [   17170.482905] 0003 0035 00000173
2022-04-07 18:27:21.142465 False [   17170.482905] 0003 0036 000001bd
2022-04-07 18:27:21.150798 False [   17170.491120] 0003 0035 0000016e
2022-04-07 18:27:21.150798 False [   17170.491120] 0003 0036 000001bb
2022-04-07 18:27:21.159939 False [   17170.499563] 0003 0035 0000016b
2022-04-07 18:27:21.159939 False [   17170.499563] 0003 0036 000001ba
2022-04-07 18:27:21.168964 False [   17170.507734] 0003 0035 00000168
2022-04-07 18:27:21.176803 False [   17170.516155] 0003 0035 00000166
2022-04-07 18:27:21.185143 False [   17170.524393] 0003 0035 00000161
2022-04-07 18:27:21.185143 False [   17170.524393] 0003 0036 000001b8
2022-04-07 18:27:21.193944 False [   17170.532769] 0003 0035 0000015c
2022-04-07 18:27:21.193944 False [   17170.532769] 0003 0036 000001b7
2022-04-07 18:27:21.201665 False [   17170.540958] 0003 0035 00000159
2022-04-07 18:27:21.201665 False [   17170.540958] 0003 0036 000001b6
2022-04-07 18:27:21.210011 False [   17170.549399] 0003 0035 00000156
2022-04-07 18:27:21.210011 False [   17170.549399] 0003 0036 000001b5
2022-04-07 18:27:21.218097 False [   17170.557697] 0003 0035 00000155
2022-04-07 18:27:21.219107 False [   17170.557697] 0003 0036 000001b4
2022-04-07 18:27:21.226510 False [   17170.566029] 0003 0035 00000153
2022-04-07 18:27:21.243168 False [   17170.582629] 0003 0035 00000152
2022-04-07 18:27:21.251362 False [   17170.590822] 0003 0035 0000014f
2022-04-07 18:27:21.260147 False [   17170.599271] 0003 0035 0000014c
2022-04-07 18:27:21.268292 False [   17170.607453] 0003 0035 0000014a
2022-04-07 18:27:21.276361 False [   17170.615869] 0003 0035 00000148
2022-04-07 18:27:21.285399 False [   17170.624085] 0003 0035 00000147
2022-04-07 18:27:21.292386 False [   17170.632521] 0003 0035 00000141
2022-04-07 18:27:21.301379 False [   17170.640714] 0003 0035 0000013d
2022-04-07 18:27:21.309304 False [   17170.649153] 0003 0035 0000013a
2022-04-07 18:27:21.318846 False [   17170.657322] 0003 0035 00000138
2022-04-07 18:27:21.326210 False [   17170.665732] 0003 0035 00000136
2022-04-07 18:27:21.335173 False [   17170.673955] 0003 0035 00000135
2022-04-07 18:27:21.342847 False [   17170.682373] 0003 0035 00000133
2022-04-07 18:27:21.359251 False [   17170.698954] 0003 0035 00000132
