Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.34174130018692 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 18:01:55.865714 False [  160038.967274] 0003 0035 000003a6
2022-04-02 18:01:55.865714 False [  160038.967274] 0003 0036 000007f2
2022-04-02 18:01:55.865714 False [  160038.973210] 0003 0035 00000389
2022-04-02 18:01:55.865714 False [  160038.973210] 0003 0036 000007ee
2022-04-02 18:01:55.865714 False [  160038.976827] 0003 0035 00000373
2022-04-02 18:01:55.865714 False [  160038.976827] 0003 0036 000007ea
2022-04-02 18:01:55.907203 False [  160038.984957] 0003 0035 00000364
2022-04-02 18:01:55.907203 False [  160038.984957] 0003 0036 000007e6
2022-04-02 18:01:55.907203 False [  160038.993571] 0003 0035 00000358
2022-04-02 18:01:55.907203 False [  160038.993571] 0003 0036 000007e2
2022-04-02 18:01:55.930416 False [  160039.006025] 0003 0035 00000352
2022-04-02 18:01:55.930416 False [  160039.006025] 0003 0036 000007de
2022-04-02 18:01:55.930416 False [  160039.020550] 0003 0035 0000034f
2022-04-02 18:01:55.930416 False [  160039.020550] 0003 0036 000007db
2022-04-02 18:01:55.930416 False [  160039.032964] 0003 0035 0000034e
2022-04-02 18:01:55.930416 False [  160039.032964] 0003 0036 000007d9
2022-04-02 18:01:55.985328 False [  160039.051375] 0003 0035 00000373
2022-04-02 18:01:55.985328 False [  160039.051375] 0003 0036 000007d4
2022-04-02 18:01:55.985328 False [  160039.061042] 0003 0035 00000383
2022-04-02 18:01:55.985328 False [  160039.061042] 0003 0036 000007d3
2022-04-02 18:01:55.985328 False [  160039.069423] 0003 0035 000003c0
2022-04-02 18:01:55.985328 False [  160039.069423] 0003 0036 000007d1
2022-04-02 18:01:55.985328 False [  160039.076516] 0003 0035 000003f1
2022-04-02 18:01:55.985328 False [  160039.076516] 0003 0036 000007d2
2022-04-02 18:01:56.076132 False [  160039.084775] 0003 0035 0000041c
2022-04-02 18:01:56.076132 False [  160039.084775] 0003 0036 000007d4
2022-04-02 18:01:56.076132 False [  160039.098878] 0003 0035 00000428
2022-04-02 18:01:56.076132 False [  160039.098878] 0003 0036 000007d5
2022-04-02 18:01:56.076132 False [  160039.111286] 0003 0035 00000454
2022-04-02 18:01:56.076132 False [  160039.111286] 0003 0036 000007d9
2022-04-02 18:01:56.076132 False [  160039.123527] 0003 0035 0000047b
2022-04-02 18:01:56.076132 False [  160039.123527] 0003 0036 000007dc
2022-04-02 18:01:56.147353 False [  160039.135278] 0003 0035 00000488
2022-04-02 18:01:56.147353 False [  160039.149307] 0003 0035 00000493
2022-04-02 18:01:56.147353 False [  160039.149307] 0003 0036 000007dd
2022-04-02 18:01:56.147353 False [  160039.162490] 0003 0035 00000495
2022-04-02 18:01:56.147353 False [  160039.176496] 0003 0035 00000497
2022-04-02 18:01:56.147353 False [  160039.190847] 0003 0035 00000491
2022-04-02 18:01:56.147353 False [  160039.204794] 0003 0035 0000047f
2022-04-02 18:01:56.147353 False [  160039.204794] 0003 0036 000007dc
2022-04-02 18:01:56.147353 False [  160039.214570] 0003 0035 00000443
2022-04-02 18:01:56.147353 False [  160039.214570] 0003 0036 000007db
2022-04-02 18:01:56.182430 False [  160039.224876] 0003 0035 00000423
2022-04-02 18:01:56.182430 False [  160039.224876] 0003 0036 000007da
2022-04-02 18:01:56.182430 False [  160039.238006] 0003 0035 00000402
2022-04-02 18:01:56.182430 False [  160039.251172] 0003 0035 000003c9
2022-04-02 18:01:56.182430 False [  160039.251172] 0003 0036 000007db
2022-04-02 18:01:56.182430 False [  160039.265128] 0003 0035 000003aa
2022-04-02 18:01:56.182430 False [  160039.265128] 0003 0036 000007df
2022-04-02 18:01:56.182430 False [  160039.273851] 0003 0035 000003a5
2022-04-02 18:01:56.182430 False [  160039.273851] 0003 0036 000007e1
2022-04-02 18:01:56.182430 False [  160039.283131] 0003 0036 000007e5
2022-04-02 18:01:56.182430 False [  160039.285446] 0003 0035 000003a7
2022-04-02 18:01:56.182430 False [  160039.285446] 0003 0036 000007e7
2022-04-02 18:01:56.264267 False [  160039.292686] 0003 0035 000003af
2022-04-02 18:01:56.264267 False [  160039.292686] 0003 0036 000007ec
2022-04-02 18:01:56.264267 False [  160039.308194] 0003 0035 000003c0
2022-04-02 18:01:56.264267 False [  160039.308194] 0003 0036 000007f3
2022-04-02 18:01:56.265287 False [  160039.322794] 0003 0035 000003d8
2022-04-02 18:01:56.265287 False [  160039.322794] 0003 0036 000007fa
2022-04-02 18:01:56.301737 False [  160039.333906] 0003 0035 0000040b
2022-04-02 18:01:56.301737 False [  160039.333906] 0003 0036 00000803
2022-04-02 18:01:56.301737 False [  160039.343148] 0003 0035 0000041b
2022-04-02 18:01:56.301737 False [  160039.343148] 0003 0036 00000805
2022-04-02 18:01:56.301737 False [  160039.350623] 0003 0035 0000044b
2022-04-02 18:01:56.301737 False [  160039.362236] 0003 0035 00000469
2022-04-02 18:01:56.301737 False [  160039.374811] 0003 0035 00000481
2022-04-02 18:01:56.301737 False [  160039.374811] 0003 0036 00000803
2022-04-02 18:01:56.301737 False [  160039.388237] 0003 0035 00000493
2022-04-02 18:01:56.301737 False [  160039.388237] 0003 0036 00000800
2022-04-02 18:01:56.301737 False [  160039.397297] 0003 0035 000004ac
2022-04-02 18:01:56.301737 False [  160039.397297] 0003 0036 000007fc
2022-04-02 18:01:56.301737 False [  160039.404042] 0003 0035 000004b3
2022-04-02 18:01:56.301737 False [  160039.404042] 0003 0036 000007fa
2022-04-02 18:01:56.353885 False [  160039.408920] 0003 0035 000004ba
2022-04-02 18:01:56.353885 False [  160039.408920] 0003 0036 000007f7
2022-04-02 18:01:56.353885 False [  160039.417345] 0003 0035 000004bf
2022-04-02 18:01:56.353885 False [  160039.417345] 0003 0036 000007f4
2022-04-02 18:01:56.353885 False [  160039.426827] 0003 0035 000004c1
2022-04-02 18:01:56.353885 False [  160039.440252] 0003 0035 000004c3
2022-04-02 18:01:56.353885 False [  160039.440252] 0003 0036 000007f2
2022-04-02 18:01:56.379643 False [  160039.451673] 0003 0035 000004c8
2022-04-02 18:01:56.379643 False [  160039.451673] 0003 0036 000007ef
