Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 3.096564172022006 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:32:02.558582 True [  158245.716529] 0003 0035 000004b1
2022-04-02 17:32:02.558582 True [  158245.716529] 0003 0036 00000422
2022-04-02 17:32:02.564276 True [  158245.724953] 0003 0035 000004b3
2022-04-02 17:32:02.564276 True [  158245.724953] 0003 0036 0000041e
2022-04-02 17:32:02.572797 True [  158245.733160] 0003 0035 000004b4
2022-04-02 17:32:02.572797 True [  158245.733160] 0003 0036 0000041a
2022-04-02 17:32:02.580449 True [  158245.741591] 0003 0035 000004b6
2022-04-02 17:32:02.580449 True [  158245.741591] 0003 0036 00000417
2022-04-02 17:32:02.589660 True [  158245.749780] 0003 0035 000004b7
2022-04-02 17:32:02.589660 True [  158245.749780] 0003 0036 00000414
2022-04-02 17:32:02.599851 True [  158245.758454] 0003 0035 000004b9
2022-04-02 17:32:02.599851 True [  158245.758454] 0003 0036 00000410
2022-04-02 17:32:02.608937 True [  158245.766437] 0003 0035 000004ba
2022-04-02 17:32:02.608937 True [  158245.766437] 0003 0036 0000040e
2022-04-02 17:32:02.613702 True [  158245.774904] 0003 0035 000004bc
2022-04-02 17:32:02.613702 True [  158245.774904] 0003 0036 0000040a
2022-04-02 17:32:02.624870 True [  158245.783435] 0003 0035 000004bd
2022-04-02 17:32:02.624870 True [  158245.783435] 0003 0036 00000408
2022-04-02 17:32:02.630255 True [  158245.791558] 0003 0035 000004be
2022-04-02 17:32:02.630255 True [  158245.791558] 0003 0036 00000405
2022-04-02 17:32:02.641697 True [  158245.799659] 0003 0035 000004bf
2022-04-02 17:32:02.641697 True [  158245.799659] 0003 0036 00000403
2022-04-02 17:32:02.649080 True [  158245.808112] 0003 0035 000004c0
2022-04-02 17:32:02.649080 True [  158245.808112] 0003 0036 00000400
2022-04-02 17:32:02.658040 True [  158245.816496] 0003 0035 000004c1
2022-04-02 17:32:02.658040 True [  158245.816496] 0003 0036 000003fe
2022-04-02 17:32:02.664271 True [  158245.824805] 0003 0035 000004c3
2022-04-02 17:32:02.664271 True [  158245.824805] 0003 0036 000003fb
2022-04-02 17:32:02.671266 True [  158245.832880] 0003 0035 000004c4
2022-04-02 17:32:02.671266 True [  158245.832880] 0003 0036 000003f8
2022-04-02 17:32:02.680082 True [  158245.841325] 0003 0035 000004c6
2022-04-02 17:32:02.680082 True [  158245.841325] 0003 0036 000003f4
2022-04-02 17:32:02.689659 True [  158245.849519] 0003 0035 000004c8
2022-04-02 17:32:02.689659 True [  158245.849519] 0003 0036 000003f1
2022-04-02 17:32:02.698830 True [  158245.857960] 0003 0035 000004c9
2022-04-02 17:32:02.698830 True [  158245.857960] 0003 0036 000003ef
2022-04-02 17:32:02.704251 True [  158245.866202] 0003 0035 000004ca
2022-04-02 17:32:02.704251 True [  158245.866202] 0003 0036 000003eb
2022-04-02 17:32:02.715597 True [  158245.874525] 0003 0035 000004cc
2022-04-02 17:32:02.715597 True [  158245.874525] 0003 0036 000003e8
2022-04-02 17:32:02.724267 True [  158245.882788] 0003 0035 000004cd
2022-04-02 17:32:02.724267 True [  158245.882788] 0003 0036 000003e5
2022-04-02 17:32:02.730229 True [  158245.891160] 0003 0035 000004ce
2022-04-02 17:32:02.730229 True [  158245.891160] 0003 0036 000003e2
2022-04-02 17:32:02.740482 True [  158245.899439] 0003 0035 000004d0
2022-04-02 17:32:02.740482 True [  158245.899439] 0003 0036 000003de
2022-04-02 17:32:02.748399 False [  158245.907909] 0003 0035 000004d1
2022-04-02 17:32:02.748399 False [  158245.907909] 0003 0036 000003dc
2022-04-02 17:32:02.756906 False [  158245.916105] 0003 0035 000004d2
2022-04-02 17:32:02.756906 False [  158245.916105] 0003 0036 000003d9
2022-04-02 17:32:02.765297 False [  158245.924510] 0003 0035 000004d4
2022-04-02 17:32:02.765297 False [  158245.924510] 0003 0036 000003d5
2022-04-02 17:32:02.774156 False [  158245.932639] 0003 0035 000004d6
2022-04-02 17:32:02.774156 False [  158245.932639] 0003 0036 000003d2
2022-04-02 17:32:02.780158 False [  158245.941010] 0003 0035 000004d8
2022-04-02 17:32:02.780158 False [  158245.941010] 0003 0036 000003ce
2022-04-02 17:32:02.789423 False [  158245.949208] 0003 0035 000004da
2022-04-02 17:32:02.789423 False [  158245.949208] 0003 0036 000003ca
2022-04-02 17:32:02.799590 False [  158245.957621] 0003 0035 000004de
2022-04-02 17:32:02.799590 False [  158245.957621] 0003 0036 000003c5
2022-04-02 17:32:02.808204 False [  158245.965922] 0003 0035 000004e1
2022-04-02 17:32:02.808204 False [  158245.965922] 0003 0036 000003c0
