Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.659885543289989 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 13:39:12.731411 False [  144266.656343] 0003 0036 00000288
2022-04-02 13:39:12.738892 False [  144266.664080] 0003 0035 00000165
2022-04-02 13:39:12.738892 False [  144266.664080] 0003 0036 0000028b
2022-04-02 13:39:12.746913 False [  144266.672548] 0003 0035 00000167
2022-04-02 13:39:12.746913 False [  144266.672548] 0003 0036 0000028e
2022-04-02 13:39:12.755019 False [  144266.680703] 0003 0035 00000169
2022-04-02 13:39:12.755019 False [  144266.680703] 0003 0036 00000291
2022-04-02 13:39:12.764315 False [  144266.689442] 0003 0035 0000016a
2022-04-02 13:39:12.764315 False [  144266.689442] 0003 0036 00000295
2022-04-02 13:39:12.772462 False [  144266.697284] 0003 0035 0000016c
2022-04-02 13:39:12.772462 False [  144266.697284] 0003 0036 00000297
2022-04-02 13:39:12.780620 False [  144266.705902] 0003 0035 0000016d
2022-04-02 13:39:12.780620 False [  144266.705902] 0003 0036 0000029a
2022-04-02 13:39:12.788956 False [  144266.714286] 0003 0035 0000016f
2022-04-02 13:39:12.788956 False [  144266.714286] 0003 0036 0000029d
2022-04-02 13:39:12.797936 False [  144266.722312] 0003 0035 00000171
2022-04-02 13:39:12.797936 False [  144266.722312] 0003 0036 000002a0
2022-04-02 13:39:12.805888 False [  144266.730930] 0003 0035 00000173
2022-04-02 13:39:12.805888 False [  144266.730930] 0003 0036 000002a2
2022-04-02 13:39:12.821947 False [  144266.747176] 0003 0035 00000175
2022-04-02 13:39:12.821947 False [  144266.747176] 0003 0036 000002a6
2022-04-02 13:39:12.830816 False [  144266.756100] 0003 0035 00000177
2022-04-02 13:39:12.830816 False [  144266.756100] 0003 0036 000002ab
2022-04-02 13:39:12.839204 False [  144266.763823] 0003 0035 0000017a
2022-04-02 13:39:12.839204 False [  144266.763823] 0003 0036 000002ae
2022-04-02 13:39:12.847314 False [  144266.772407] 0003 0035 0000017c
2022-04-02 13:39:12.847314 False [  144266.772407] 0003 0036 000002b2
2022-04-02 13:39:12.854950 False [  144266.780567] 0003 0035 0000017e
2022-04-02 13:39:12.854950 False [  144266.780567] 0003 0036 000002b5
2022-04-02 13:39:12.864467 False [  144266.789048] 0003 0035 00000180
2022-04-02 13:39:12.864467 False [  144266.789048] 0003 0036 000002b8
2022-04-02 13:39:12.871715 False [  144266.797156] 0003 0035 00000181
2022-04-02 13:39:12.871715 False [  144266.797156] 0003 0036 000002bb
2022-04-02 13:39:12.881617 False [  144266.806154] 0003 0035 00000183
2022-04-02 13:39:12.881617 False [  144266.806154] 0003 0036 000002be
2022-04-02 13:39:12.889611 False [  144266.813792] 0003 0035 00000185
2022-04-02 13:39:12.889611 False [  144266.813792] 0003 0036 000002c1
2022-04-02 13:39:12.896953 False [  144266.822188] 0003 0035 00000187
2022-04-02 13:39:12.896953 False [  144266.822188] 0003 0036 000002c4
2022-04-02 13:39:12.905430 False [  144266.830591] 0003 0035 00000188
2022-04-02 13:39:12.905430 False [  144266.830591] 0003 0036 000002c7
2022-04-02 13:39:12.914485 False [  144266.838906] 0003 0035 0000018a
2022-04-02 13:39:12.914485 False [  144266.838906] 0003 0036 000002c9
2022-04-02 13:39:12.921703 False [  144266.847273] 0003 0035 0000018c
2022-04-02 13:39:12.921703 False [  144266.847273] 0003 0036 000002cc
2022-04-02 13:39:12.930272 False [  144266.855542] 0003 0035 0000018e
2022-04-02 13:39:12.930272 False [  144266.855542] 0003 0036 000002ce
2022-04-02 13:39:12.938935 False [  144266.863746] 0003 0035 00000190
2022-04-02 13:39:12.938935 False [  144266.863746] 0003 0036 000002d1
2022-04-02 13:39:12.946942 False [  144266.872849] 0003 0035 00000192
2022-04-02 13:39:12.947940 False [  144266.872849] 0003 0036 000002d4
2022-04-02 13:39:12.955561 False [  144266.880398] 0003 0035 00000193
2022-04-02 13:39:12.955561 False [  144266.880398] 0003 0036 000002d7
2022-04-02 13:39:12.963717 False [  144266.888504] 0003 0035 00000195
2022-04-02 13:39:12.963717 False [  144266.888504] 0003 0036 000002d9
2022-04-02 13:39:12.972587 False [  144266.896925] 0003 0035 00000197
2022-04-02 13:39:12.972587 False [  144266.896925] 0003 0036 000002db
2022-04-02 13:39:12.979925 False [  144266.905310] 0003 0035 00000198
2022-04-02 13:39:12.979925 False [  144266.905310] 0003 0036 000002de
2022-04-02 13:39:12.996174 False [  144266.921743] 0003 0035 0000019a
2022-04-02 13:39:12.996174 False [  144266.921743] 0003 0036 000002e1
2022-04-02 13:39:13.004794 False [  144266.930489] 0003 0035 0000019d
2022-04-02 13:39:13.004794 False [  144266.930489] 0003 0036 000002e4
2022-04-02 13:39:13.013413 False [  144266.938574] 0003 0035 0000019f
2022-04-02 13:39:13.013413 False [  144266.938574] 0003 0036 000002e7
2022-04-02 13:39:13.022218 False [  144266.946938] 0003 0035 000001a1
2022-04-02 13:39:13.022218 False [  144266.946938] 0003 0036 000002ea
2022-04-02 13:39:13.030520 False [  144266.955081] 0003 0035 000001a3
2022-04-02 13:39:13.030520 False [  144266.955081] 0003 0036 000002ed
2022-04-02 13:39:13.038488 False [  144266.963495] 0003 0035 000001a5
2022-04-02 13:39:13.038488 False [  144266.963495] 0003 0036 000002ef
2022-04-02 13:39:13.047551 False [  144266.972121] 0003 0035 000001a6
2022-04-02 13:39:13.047551 False [  144266.972121] 0003 0036 000002f2
2022-04-02 13:39:13.063005 False [  144266.988405] 0003 0035 000001a8
2022-04-02 13:39:13.063005 False [  144266.988405] 0003 0036 000002f4
2022-04-02 13:39:13.070914 False [  144266.996481] 0003 0035 000001a9
2022-04-02 13:39:13.070914 False [  144266.996481] 0003 0036 000002f5
2022-04-02 13:39:13.079977 False [  144267.004890] 0003 0035 000001aa
2022-04-02 13:39:13.079977 False [  144267.004890] 0003 0036 000002f8
2022-04-02 13:39:13.088082 False [  144267.013461] 0003 0035 000001ac
2022-04-02 13:39:13.088082 False [  144267.013461] 0003 0036 000002fa
2022-04-02 13:39:13.097992 False [  144267.022316] 0003 0036 000002fb
2022-04-02 13:39:13.105563 False [  144267.029957] 0003 0035 000001ae
2022-04-02 13:39:13.105563 False [  144267.029957] 0003 0036 000002fd
2022-04-02 13:39:13.122057 False [  144267.046443] 0003 0035 000001af
2022-04-02 13:39:13.122057 False [  144267.046443] 0003 0036 000002ff
2022-04-02 13:39:13.130594 False [  144267.054916] 0003 0035 000001b0
2022-04-02 13:39:13.130594 False [  144267.054916] 0003 0036 00000300
2022-04-02 13:39:13.137812 False [  144267.063123] 0003 0035 000001b1
2022-04-02 13:39:13.137812 False [  144267.063123] 0003 0036 00000302
2022-04-02 13:39:13.146145 False [  144267.071592] 0003 0035 000001b2
2022-04-02 13:39:13.146145 False [  144267.071592] 0003 0036 00000304
2022-04-02 13:39:13.154404 False [  144267.079576] 0003 0035 000001b3
2022-04-02 13:39:13.154404 False [  144267.079576] 0003 0036 00000305
2022-04-02 13:39:13.164717 False [  144267.088422] 0003 0036 00000307
2022-04-02 13:39:13.171302 False [  144267.096188] 0003 0035 000001b4
2022-04-02 13:39:13.171302 False [  144267.096188] 0003 0036 00000308
2022-04-02 13:39:13.179460 False [  144267.104748] 0003 0035 000001b6
2022-04-02 13:39:13.179460 False [  144267.104748] 0003 0036 0000030a
2022-04-02 13:39:13.190181 False [  144267.112916] 0003 0035 000001b7
2022-04-02 13:39:13.190181 False [  144267.112916] 0003 0036 0000030c
