Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.1833950819581911 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 13:47:21.793001 True [  144755.711316] 0003 0035 000001b8
2022-04-02 13:47:21.793001 True [  144755.711316] 0003 0036 000003d7
2022-04-02 13:47:21.802828 True [  144755.719969] 0003 0035 000001b7
2022-04-02 13:47:21.802828 True [  144755.719969] 0003 0036 000003d5
2022-04-02 13:47:21.818841 True [  144755.736071] 0003 0035 000001b5
2022-04-02 13:47:21.818841 True [  144755.736071] 0003 0036 000003d3
2022-04-02 13:47:21.825866 True [  144755.744352] 0003 0035 000001b4
2022-04-02 13:47:21.825866 True [  144755.744352] 0003 0036 000003d1
2022-04-02 13:47:21.843385 True [  144755.761179] 0003 0035 000001ac
2022-04-02 13:47:21.843385 True [  144755.761179] 0003 0036 000003c5
2022-04-02 13:47:21.851424 True [  144755.769367] 0003 0035 000001a8
2022-04-02 13:47:21.851424 True [  144755.769367] 0003 0036 000003bd
2022-04-02 13:47:21.859620 True [  144755.777638] 0003 0035 000001a5
2022-04-02 13:47:21.859620 True [  144755.777638] 0003 0036 000003b8
2022-04-02 13:47:21.868366 True [  144755.785805] 0003 0035 000001a4
2022-04-02 13:47:21.868366 True [  144755.785805] 0003 0036 000003b5
2022-04-02 13:47:21.876368 True [  144755.794259] 0003 0035 0000019f
2022-04-02 13:47:21.876368 True [  144755.794259] 0003 0036 000003ad
2022-04-02 13:47:21.884597 True [  144755.802467] 0003 0035 0000019b
2022-04-02 13:47:21.884597 False [  144755.802467] 0003 0036 000003a5
2022-04-02 13:47:21.893330 False [  144755.810898] 0003 0035 00000198
2022-04-02 13:47:21.893330 False [  144755.810898] 0003 0036 000003a0
2022-04-02 13:47:21.901313 False [  144755.819096] 0003 0035 00000197
2022-04-02 13:47:21.901313 False [  144755.819096] 0003 0036 0000039d
2022-04-02 13:47:21.910023 False [  144755.827479] 0003 0035 00000195
2022-04-02 13:47:21.910023 False [  144755.827479] 0003 0036 0000039a
