Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.0747089519444473 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:28:08.065659 True [  158011.227105] 0003 0036 00000455
2022-04-02 17:28:08.071834 True [  158011.235364] 0003 0035 000004e9
2022-04-02 17:28:08.071834 True [  158011.235364] 0003 0036 00000450
2022-04-02 17:28:08.081858 False [  158011.243781] 0003 0035 000004f5
2022-04-02 17:28:08.081858 False [  158011.243781] 0003 0036 00000449
2022-04-02 17:28:08.091985 False [  158011.252238] 0003 0035 00000504
2022-04-02 17:28:08.091985 False [  158011.252238] 0003 0036 0000043f
2022-04-02 17:28:08.098582 False [  158011.260669] 0003 0035 00000515
2022-04-02 17:28:08.098582 False [  158011.260669] 0003 0036 00000433
2022-04-02 17:28:08.104483 False [  158011.268642] 0003 0035 00000527
2022-04-02 17:28:08.104483 False [  158011.268642] 0003 0036 00000428
2022-04-02 17:28:08.114451 False [  158011.276945] 0003 0035 00000539
2022-04-02 17:28:08.114451 False [  158011.276945] 0003 0036 0000041e
2022-04-02 17:28:08.123463 False [  158011.285094] 0003 0035 00000549
2022-04-02 17:28:08.123463 False [  158011.285094] 0003 0036 00000414
2022-04-02 17:28:08.131453 False [  158011.293453] 0003 0035 00000557
2022-04-02 17:28:08.131453 False [  158011.293453] 0003 0036 0000040a
2022-04-02 17:28:08.138828 False [  158011.301640] 0003 0035 00000561
2022-04-02 17:28:08.138828 False [  158011.301640] 0003 0036 00000402
2022-04-02 17:28:08.148240 False [  158011.310164] 0003 0035 00000568
2022-04-02 17:28:08.148240 False [  158011.310164] 0003 0036 000003fc
2022-04-02 17:28:08.156007 False [  158011.318412] 0003 0035 0000056c
2022-04-02 17:28:08.156007 False [  158011.318412] 0003 0036 000003f8
2022-04-02 17:28:08.163389 False [  158011.326705] 0003 0035 0000056d
2022-04-02 17:28:08.163389 False [  158011.326705] 0003 0036 000003f5
2022-04-02 17:28:08.172747 False [  158011.335043] 0003 0035 0000056e
2022-04-02 17:28:08.172747 False [  158011.335043] 0003 0036 000003f3
2022-04-02 17:28:08.200231 False [  158011.359848] 0003 0035 0000056d
2022-04-02 17:28:08.207903 False [  158011.368493] 0003 0035 0000056c
2022-04-02 17:28:08.207903 False [  158011.368493] 0003 0036 000003f4
2022-04-02 17:28:08.220881 False [  158011.376661] 0003 0035 00000567
2022-04-02 17:28:08.220881 False [  158011.376661] 0003 0036 000003f6
2022-04-02 17:28:08.222865 False [  158011.385077] 0003 0035 00000561
2022-04-02 17:28:08.222865 False [  158011.385077] 0003 0036 000003f9
2022-04-02 17:28:08.234945 False [  158011.393239] 0003 0035 00000557
2022-04-02 17:28:08.234945 False [  158011.393239] 0003 0036 000003fe
2022-04-02 17:28:08.238984 False [  158011.401527] 0003 0035 0000054c
2022-04-02 17:28:08.238984 False [  158011.401527] 0003 0036 00000404
