Mode = area stim
        verts = 22 
        radius = 550 
        center = (800, 1280) 
        first_angle = 2.1548132804826836 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 19:18:55.576552 False [   20264.717054] 0003 0035 00000552
2022-04-07 19:18:55.576552 False [   20264.717054] 0003 0036 00000420
2022-04-07 19:18:55.576552 False [   20264.730906] 0003 0035 00000545
2022-04-07 19:18:55.576552 False [   20264.730906] 0003 0036 00000422
2022-04-07 19:18:55.576552 False [   20264.747402] 0003 0035 00000540
2022-04-07 19:18:55.576552 False [   20264.747402] 0003 0036 00000423
2022-04-07 19:18:55.576552 False [   20264.763169] 0003 0035 00000536
2022-04-07 19:18:55.576552 False [   20264.763169] 0003 0036 00000424
2022-04-07 19:18:55.663286 False [   20264.776716] 0003 0035 0000052d
2022-04-07 19:18:55.663286 False [   20264.784674] 0003 0035 0000051e
2022-04-07 19:18:55.663286 False [   20264.791066] 0003 0035 0000051a
2022-04-07 19:18:55.663286 True [   20264.803984] 0003 0035 00000515
2022-04-07 19:18:55.663286 True [   20264.861782] 0003 0035 00000502
2022-04-07 19:18:55.663286 True [   20264.876372] 0003 0035 000004fe
2022-04-07 19:18:55.763321 True [   20264.891277] 0003 0035 000004fb
2022-04-07 19:18:55.763321 True [   20264.905819] 0003 0035 000004f7
2022-04-07 19:18:55.763321 True [   20264.918842] 0003 0035 000004f4
2022-04-07 19:18:55.763321 True [   20264.918842] 0003 0036 00000423
2022-04-07 19:18:55.763321 True [   20264.928645] 0003 0035 000004f0
2022-04-07 19:18:55.763321 True [   20264.928645] 0003 0036 00000422
2022-04-07 19:18:55.763321 True [   20264.937302] 0003 0035 000004ef
2022-04-07 19:18:55.763321 True [   20264.950102] 0003 0035 000004ee
2022-04-07 19:18:55.763321 True [   20264.950102] 0003 0036 00000421
2022-04-07 19:18:55.763321 True [   20264.962448] 0003 0035 000004ec
2022-04-07 19:18:55.791028 True [   20264.978122] 0003 0035 000004e9
2022-04-07 19:18:55.791028 True [   20264.994070] 0003 0035 000004e5
2022-04-07 19:18:55.791028 True [   20265.010526] 0003 0035 000004e2
2022-04-07 19:18:55.791028 True [   20265.025216] 0003 0035 000004df
2022-04-07 19:18:55.791028 True [   20265.038522] 0003 0035 000004de
2022-04-07 19:18:55.791028 True [   20265.051413] 0003 0035 000004db
2022-04-07 19:18:55.791028 True [   20265.051413] 0003 0036 00000422
2022-04-07 19:18:55.791028 True [   20265.061189] 0003 0035 000004d8
2022-04-07 19:18:55.791028 True [   20265.061189] 0003 0036 00000424
2022-04-07 19:18:55.869145 True [   20265.069908] 0003 0035 000004d7
2022-04-07 19:18:55.869145 True [   20265.090259] 0003 0035 000004d5
2022-04-07 19:18:55.869145 True [   20265.090259] 0003 0036 00000425
2022-04-07 19:18:55.913366 True [   20265.103570] 0003 0035 000004d4
2022-04-07 19:18:55.913366 True [   20265.103570] 0003 0036 00000426
2022-04-07 19:18:55.913366 True [   20265.115275] 0003 0035 000004d3
2022-04-07 19:18:55.913366 True [   20265.115275] 0003 0036 00000427
2022-04-07 19:18:55.913366 True [   20265.128174] 0003 0035 000004d1
2022-04-07 19:18:55.913366 True [   20265.128174] 0003 0036 00000428
2022-04-07 19:18:55.913366 True [   20265.141324] 0003 0035 000004d0
2022-04-07 19:18:55.913366 True [   20265.141324] 0003 0036 00000429
2022-04-07 19:18:55.913366 True [   20265.154565] 0003 0035 000004ce
2022-04-07 19:18:55.913366 True [   20265.168375] 0003 0035 000004cd
2022-04-07 19:18:55.913366 True [   20265.168375] 0003 0036 0000042a
2022-04-07 19:18:55.947104 True [   20265.181169] 0003 0035 000004cc
2022-04-07 19:18:55.947104 True [   20265.181169] 0003 0036 0000042b
2022-04-07 19:18:55.947104 True [   20265.198511] 0003 0035 000004cb
2022-04-07 19:18:55.947104 True [   20265.212359] 0003 0036 0000042c
2022-04-07 19:18:56.020822 True [   20265.227462] 0003 0035 000004ca
2022-04-07 19:18:56.109659 True [   20265.248269] 0003 0036 0000042b
